Product,Manufacturer,Category,Material,Widths,Cost ex VAT,Sell ex VAT,Sell inc VAT,Twickenham,Richmond
Tigris,Associated Weavers,Carpet,100% Micro Polyester,"4, 5",12.86,25.833333333333336,31.0,,Yes
Tuftex [Rolls Only],Associated Weavers,Carpet,100% Polypropylene,"4, 5",6.78125,13.333333333333332,16.0,,
Ultimate Harvest Heathers,Associated Weavers,Carpet,100% Polypropylene,"3, 4, 5",16.182,32.5,39.0,,
Hermes,Associated Weavers,Carpet,100% iSense Polyamide,"4, 5",22.3,40.0,48.0,,
Obsession,Associated Weavers,Carpet,100% iSense Polyamide,"4, 5",21.79,39.166666666666664,47.0,,
Serenade,Associated Weavers,Carpet,100% iSense Polyamide,"4, 5",21.1,38.333333333333336,46.0,,
Splendour,Associated Weavers,Carpet,100% iSense Polyamide,"4, 5",18.39,36.666666666666664,44.0,,
Serenity,Associated Weavers,Carpet,100% iSense Polyamide,"4, 5",26.06,44.16666666666667,53.0,,
Subtlety,Associated Weavers,Carpet,100% iSense Polyamide,"4, 5",21.1,38.333333333333336,46.0,,
Surprise,Associated Weavers,Carpet,100% iSense Polyamide,"4, 5",21.32,38.333333333333336,46.0,,
Suspense,Associated Weavers,Carpet,100% iSense Polyamide,"4, 5",27.8,47.5,57.0,,
Kai,Associated Weavers,Carpet,100% Econyl Nylon,4,15.44,30.833333333333336,37.0,,
Oshun,Associated Weavers,Carpet,100% Econyl Nylon,"4, 5",22.65,40.83333333333333,49.0,,
Varun,Associated Weavers,Carpet,100% Econyl Nylon,"4, 5",21.37,38.333333333333336,46.0,,
