Product,Manufacturer,Material,Widths,Price,Twickenham,Richmond
Aristocat,Abingdon Carpets,100% Polypropylene,"Widths: 2.5M, 4M, 5M",£31.00 per SQM,Yes,
Balmoral,Abingdon Carpets,80% Wool,"Widths: 2.5M, 4M, 5M",£33.00 per SQM,,
Balmoral Deluxe,Abingdon Carpets,80% Wool,"Widths: 2.5M, 4M, 5M",£37.00 per SQM,,
Caress,Abingdon Carpets,100% Polypropylene,"Widths: 2.5M, 4M, 5M",£31.00 per SQM,,
Charter Berber Deluxe,Abingdon Carpets,80% Wool,"Widths: 2.5M, 4M, 5M",£43.00 per SQM,,Yes
Charter Berber Loop,Abingdon Carpets,100% Wool,"Widths: 2.5M, 4M, 5M",£45.00 per SQM,,Yes
Charter Plain Loop,Abingdon Carpets,100% Wool,"Widths: 2.5M, 4M, 5M",£48.00 per SQM,,Yes
Deep Feelings,Abingdon Carpets,100% Polyester,"Widths: 2.5M, 4M, 5M",£44.00 per SQM,Yes,
Finesse,Abingdon Carpets,100% Polypropylene,"Widths: 2.5M, 4M, 5M",£26.00 per SQM,,
Indulgence,Abingdon Carpets,100% Polypropylene,"Widths: 2.5M, 4M, 5M",£40.00 per SQM,Yes,
Lasting Romance,Abingdon Carpets,100% Polyester,"Widths: 2.5M, 4M, 5M",£36.00 per SQM,Yes,
Royal Sovereign,Abingdon Carpets,100% Wool,"Widths: 2.5M, 4M, 5M",£33.00 per SQM,Yes,
Royal Windsor,Abingdon Carpets,100% Wool,"Widths: 2.5M, 4M, 5M",£30.00 per SQM,Yes,
Wild Silk,Abingdon Carpets,100% Polyester,"Widths: 2.5M, 4M, 5M",£36.00 per SQM,,
AF Coir Boucle Natural,Alternative Flooring,100% Coir,"Widths: 4M, 5M",£40.00 per SQM,,
AF Coir Herringbone Natural,Alternative Flooring,100% Coir,"Widths: 4M, 5M",£32.00 per SQM,,
AF Coir Panama Natural,Alternative Flooring,100% Coir,"Widths: 4M, 5M",£32.00 per SQM,,
AF Jute Big Boucle Crumpet,Alternative Flooring,100% Jute,Width: 4M,£53.00 per SQM,,
AF Jute Big Boucle Toast,Alternative Flooring,100% Jute,Width: 4M,£53.00 per SQM,,
AF Jute Big Panama Pancake,Alternative Flooring,100% Jute,Width: 4M,£53.00 per SQM,,
AF Jute Big Panama Waffle,Alternative Flooring,100% Jute,Width: 4M,£53.00 per SQM,,
AF Jute Boucle Natural,Alternative Flooring,100% Jute,Width: 4M,£48.00 per SQM,,
AF Jute Boucle Scone,Alternative Flooring,100% Jute,Width: 4M,£52.00 per SQM,,
AF Jute Chevron Natural,Alternative Flooring,100% Jute,Width: 4M,£47.00 per SQM,,
AF Jute Herringbone Maltloaf,Alternative Flooring,100% Jute,Width: 4M,£52.00 per SQM,,
AF Jute Herringbone Natural,Alternative Flooring,100% Jute,Width: 4M,£47.00 per SQM,,
AF Jute Panama Flapjack,Alternative Flooring,100% Jute,Width: 4M,£52.00 per SQM,,
AF Seagrass Balmoral Basketweave,Alternative Flooring,100% Seagrass,Width: 4M,£45.00 per SQM,,
AF Seagrass Buckingham Basketweave,Alternative Flooring,100% Seagrass,Width: 4M,£42.00 per SQM,,
AF Seagrass Fine Herringbone,Alternative Flooring,100% Seagrass,Width: 4M,£45.00 per SQM,,
AF Seagrass Herringbone,Alternative Flooring,100% Seagrass,Width: 4M,£36.00 per SQM,,
AF Seagrass Natural,Alternative Flooring,100% Seagrass,Width: 4M,£33.00 per SQM,,
AF Seagrass Superior,Alternative Flooring,100% Seagrass,Width: 4M,£45.00 per SQM,,
AF Sisal Basketweave Summer Hamper,Alternative Flooring,100% Sisal,Width: 4M,£59.00 per SQM,,
AF Sisal Basketweave Winter Hamper,Alternative Flooring,100% Sisal,Width: 4M,£59.00 per SQM,,
AF Sisal Boucle,Alternative Flooring,100% Sisal,"Widths: 4M, 5M",£53.00 per SQM,,
AF Sisal Bubbleweave,Alternative Flooring,100% Sisal,Width: 4M,£67.00 per SQM,,
AF Sisal Herringbone,Alternative Flooring,100% Sisal,"Widths: 4M, 5M",£57.00 per SQM,,
AF Sisal Hopscotch,Alternative Flooring,100% Sisal,Width: 4M,£69.00 per SQM,,
AF Sisal Malay,Alternative Flooring,100% Sisal,"Widths: 4M, 5M",£58.00 per SQM,,
AF Sisal Panama,Alternative Flooring,100% Sisal,"Widths: 4M, 5M",£58.00 per SQM,,
AF Sisal Panama Acapulco,Alternative Flooring,100% Sisal,Width: 4M,£69.00 per SQM,,
AF Sisal Super Boucle,Alternative Flooring,100% Sisal,Width: 4M,£55.00 per SQM,,
AF Sisal Tweed,Alternative Flooring,100% Sisal,Width: 4M,£59.00 per SQM,,
AF Woosie Boucle,Alternative Flooring,100% Sisal,Width: 4M,£74.00 per SQM,,
AF Woosie Check,Alternative Flooring,100% Sisal,Width: 4M,£74.00 per SQM,,
AF Woosie Panama,Alternative Flooring,100% Sisal,Width: 4M,£74.00 per SQM,,
Anywhere Boucle,Alternative Flooring,100% Polyproylene,Width: 4M,£51.35 per SQM,,
Anywhere Herringbone,Alternative Flooring,100% Polyproylene,Width: 4M,£53.00 per SQM,,
Anywhere Panama,Alternative Flooring,100% Polyproylene,Width: 4M,£53.00 per SQM,,
Anywhere Rope,Alternative Flooring,100% Polyproylene,Width: 4M,£53.00 per SQM,,
Anywhere Shadow,Alternative Flooring,100% Polyproylene,Width: 4M,£53.00 per SQM,,
Barefoot Ahstanga Silk,Alternative Flooring,"70% Wool, 30% Rayon Silk","Widths: 4M, 5M",£98.00 per SQM,,Yes
Barefoot Bikram,Alternative Flooring,100% Undyed Wool,"Widths: 4M, 5M",£79.00 per SQM,,Yes
Barefoot Hatha,Alternative Flooring,100% Undyed Wool,"Widths: 4M, 5M",£79.00 per SQM,,Yes
Margo Selby Frolic,Alternative Flooring,100% Wool,Width: 4M,£76.00 per SQM,,
Margo Selby Rock,Alternative Flooring,100% Wool,Width: 4M,£76.00 per SQM,,
Margo Selby Sun,Alternative Flooring,100% Wool,Width: 4M,£76.00 per SQM,,
Margo Selby Surf,Alternative Flooring,100% Wool,Width: 4M,£76.00 per SQM,,
No Bother Sisal Boucle,Alternative Flooring,100% Sisal,"Widths: 4M, 5M",£57.00 per SQM,,
No Bother Sisal Super Boucle,Alternative Flooring,100% Sisal,Width: 4M,£62.00 per SQM,,
Plush Sheer,Alternative Flooring,100% Polyamide,"Widths: 4M, 5M",£94.00 per SQM,,
Plush Stripe,Alternative Flooring,100% Polyamide,"Widths: 4M, 5M",£94.00 per SQM,,
Plush Velvet,Alternative Flooring,100% Polyamide,"Widths: 4M, 5M",£94.00 per SQM,,
Quirky Ashley Hicks Daisy,Alternative Flooring,"80% Wool, 20% Nylon",Width: 3.66M,£116.00 per SQM,,
Quirky Ben Pentreath Cube,Alternative Flooring,"80% Wool, 20% Nylon",Width: 3.66M,£116.00 per SQM,,
Quirky Ben Pentreath Deco,Alternative Flooring,"80% Wool, 20% Nylon",Width: 3.66M,£116.00 per SQM,,
Quirky Ben Pentreath Lattice,Alternative Flooring,"80% Wool, 20% Nylon",Width: 3.66M,£116.00 per SQM,,
Quirky Ben Pentreath Tetra,Alternative Flooring,"80% Wool, 20% Nylon",Width: 3.66M,£116.00 per SQM,,
Quirky Geo,Alternative Flooring,"80% Wool, 20% Nylon",Width: 3.66M,£107.00 per SQM,,
Quirky Honeycomb,Alternative Flooring,"80% Wool, 20% Nylon",Width: 3.66M,£107.00 per SQM,,
Quirky Hot Herring,Alternative Flooring,"80% Wool, 20% Nylon",Width: 3.66M,£107.00 per SQM,,
Quirky Leopard,Alternative Flooring,"80% Wool, 20% Nylon",Width: 3.66M,£107.00 per SQM,,
Quirky Margo Selby Button,Alternative Flooring,"80% Wool, 20% Nylon",Width: 3.66M,£116.00 per SQM,,
Quirky Margo Selby Fair Isle,Alternative Flooring,"80% Wool, 20% Nylon",Width: 3.66M,£116.00 per SQM,,
Quirky Margo Selby Patch,Alternative Flooring,"80% Wool, 20% Nylon",Width: 3.66M,£116.00 per SQM,,
Quirky Margo Selby Ribbon,Alternative Flooring,"80% Wool, 20% Nylon",Width: 3.66M,£116.00 per SQM,,
Quirky Margo Selby Shuttle,Alternative Flooring,"80% Wool, 20% Nylon",Width: 3.66M,£116.00 per SQM,,
Quirky Spotty,Alternative Flooring,"80% Wool, 20% Nylon",Width: 3.66M,£107.00 per SQM,,
Quirky Tartan,Alternative Flooring,"80% Wool, 20% Nylon",Width: 3.66M,£107.00 per SQM,,
Quirky Zebo,Alternative Flooring,"80% Wool, 20% Nylon",Width: 3.66M,£107.00 per SQM,,
Rock 'n' Roll,Alternative Flooring,100% Wool,Width: 4M,£74.00 per SQM,,
Wool Berber,Alternative Flooring,100% Wool,"Widths: 4M, 5M",£57.00 per SQM,,
Wool Croft,Alternative Flooring,100% Wool,"Widths: 4M, 5M",£70.00 per SQM,,
Wool Herringbone,Alternative Flooring,100% Wool,"Widths: 4M, 5M",£61.00 per SQM,,
Wool Hygge Fika,Alternative Flooring,100% Wool,"Widths: 4M, 5M",£56.00 per SQM,,
Wool Hygge Koselig,Alternative Flooring,100% Wool,"Widths: 4M, 5M",£56.00 per SQM,,
Wool Hygge Sisu,Alternative Flooring,100% Wool,"Widths: 4M, 5M",£56.00 per SQM,,
Wool Iconic Chevron,Alternative Flooring,100% Wool,"Widths: 4M, 5M",£74.00 per SQM,,
Wool Iconic Herringbone,Alternative Flooring,100% Wool,Width: 4M,£74.00 per SQM,,
Wool Iconic Herringstripe,Alternative Flooring,100% Wool,Width: 4M,£74.00 per SQM,,
Wool Knot,Alternative Flooring,100% Wool,"Widths: 4M, 5M",£74.00 per SQM,,
Wool Milkshake,Alternative Flooring,100% Wool,"Widths: 4M, 5M",£74.00 per SQM,,
Wool Motown,Alternative Flooring,100% Wool,"Widths: 4M, 5M",£71.00 per SQM,,
Wool Pebble,Alternative Flooring,100% Wool,Width: 4M,£97.00 per SQM,,
Wool Rhythm,Alternative Flooring,100% Wool,Width: 4M,£71.00 per SQM,,
Wool Rib,Alternative Flooring,100% Wool,"Widths: 4M, 5M",£49.00 per SQM,,
Wool Skein,Alternative Flooring,100% Wool,"Widths: 4M, 5M",£52.00 per SQM,,
Wool Tipple,Alternative Flooring,100% Wool,"Widths: 4M, 5M",£68.00 per SQM,,
Alora,Artisan Luxury Flooring,100% Nylon,Width: 4M,£126.00 per SQM,,
Eleganza,Artisan Luxury Flooring,100% Polyester,"Widths: 4M, 5M",£45.00 per SQM,Yes,Yes
Lusso,Artisan Luxury Flooring,100% Nylon,"Widths: 4M, 5M",£81.00 per SQM,Yes,Yes
Seta,Artisan Luxury Flooring,100% Nylon,"Widths: 4M, 5M",£53.00 per SQM,Yes,Yes
AWs California Dreams,Associated Weavers,100% Nylon,"Widths: 4M, 5M",£45.00 per SQM,,
AWs Gladiator,Associated Weavers,100% Polypropylene,"Widths: 4M, 5M",£20.00 per SQM,,
AWs Island Weave [Rolls Only],Associated Weavers,100% Polypropylene,"Widths: 4M, 5M",£15.00 per SQM,,
AWs Promenade,Associated Weavers,100% Polypropylene,"Widths: 3M, 4M, 5M",£28.00 per SQM,,
AWs Sophistication,Associated Weavers,100% Polypropylene,"Widths: 3M, 4M, 5M",£33.00 per SQM,,
AWs Stainaway Harvest Heathers,Associated Weavers,100% Polypropylene,"Widths: 3M, 4M, 5M",£23.00 per SQM,,
AWs Stainaway Tweed,Associated Weavers,100% Polypropylene,"Widths: 3M, 4M, 5M",£31.00 per SQM,,
AWs Stainguard Harvest Heathers,Associated Weavers,100% Polypropylene,"Widths: 3M, 4M, 5M",£28.00 per SQM,,
AWs Temptation,Associated Weavers,100% Polypropylene,"Widths: 3M, 4M, 5M",£38.00 per SQM,,
AWs Tuftex [Rolls Only],Associated Weavers,100% Polypropylene,"Widths: 4M, 5M",£16.00 per SQM,,
AWs Ultimate Harvest Heathers,Associated Weavers,100% Polypropylene,"Widths: 3M, 4M, 5M",£39.00 per SQM,,
Gaia Dorado,Associated Weavers,100% Micro Polyester,"Widths: 4M, 5M",£38.00 per SQM,,Yes
Gaia Ganges,Associated Weavers,100% Micro Polyester,"Widths: 4M, 5M",£26.00 per SQM,,
Gaia Indus,Associated Weavers,100% Micro Polyester,"Widths: 4M, 5M",£36.00 per SQM,,
Gaia Tigris,Associated Weavers,100% Micro Polyester,"Widths: 4M, 5M",£31.00 per SQM,,Yes
Invictus Aurelius,Associated Weavers,100% Polypropylene,"Widths: 3M, 4M, 5M",£38.00 per SQM,,
Invictus Cassius,Associated Weavers,100% Polypropylene,"Widths: 3M, 4M, 5M",£40.00 per SQM,,
Invictus Centaurus,Associated Weavers,100% Polypropylene,"Widths: 3M, 4M, 5M",£40.00 per SQM,,
Invictus Centurion,Associated Weavers,100% Polypropylene,"Widths: 3M, 4M, 5M",£28.00 per SQM,,
Invictus Darius,Associated Weavers,100% Polypropylene,"Widths: 3M, 4M, 5M",£33.00 per SQM,,
Invictus Magnificus,Associated Weavers,100% Polypropylene,"Widths: 3M, 4M, 5M",£41.00 per SQM,,
Invictus Orion,Associated Weavers,100% Polypropylene,"Widths: 3M, 4M, 5M",£33.00 per SQM,,
Invictus Septimus,Associated Weavers,100% Polypropylene,"Widths: 3M, 4M, 5M",£28.00 per SQM,,
Invictus Severus,Associated Weavers,100% Polypropylene,"Widths: 3M, 4M, 5M",£41.00 per SQM,,
Invictus Sirius,Associated Weavers,100% Polypropylene,"Widths: 3M, 4M, 5M",£37.00 per SQM,,Yes
Invictus Tiberius,Associated Weavers,100% Polypropylene,"Widths: 3M, 4M, 5M",£33.00 per SQM,,
iSense Obsession,Associated Weavers,100% iSense Polyamide,"Widths: 4M, 5M",£47.00 per SQM,,
iSense Serenity,Associated Weavers,100% iSense Polyamide,"Widths: 4M, 5M",£53.00 per SQM,,
iSense Splendour,Associated Weavers,100% iSense Polyamide,"Widths: 4M, 5M",£44.00 per SQM,,
iSense Subtlety,Associated Weavers,100% iSense Polyamide,"Widths: 4M, 5M",£46.00 per SQM,,
iSense Surprise,Associated Weavers,100% iSense Polyamide,"Widths: 4M, 5M",£46.00 per SQM,,
iSense Suspense,Associated Weavers,100% iSense Polyamide,"Widths: 4M, 5M",£57.00 per SQM,,
Sedna Kai,Associated Weavers,100% Econyl Nylon,Width: 4M,£37.00 per SQM,,
Sedna Oshun,Associated Weavers,100% Econyl Nylon,"Widths: 4M, 5M",£49.00 per SQM,,
Sedna Varuna,Associated Weavers,100% Econyl Nylon,"Widths: 4M, 5M",£46.00 per SQM,,
Cobble Weave,Axminster Carpets,"80% Wool, 20% Yak Hair","Widths: 4M, 5M",£72.00 per SQM,,Yes
Devonia,Axminster Carpets,"80% Wool, 20% Nylon","Widths: 4M, 5M",£54.00 per SQM,,
Hazy Days,Axminster Carpets,100% Wool,Width: 3.66M,£98.00 per SQM,,
Moorland,Axminster Carpets,100% Wool,"Widths: 4M, 5M",£56.00 per SQM,,
Myth & Moor,Axminster Carpets,"80% Wool, 20% Nylon",Width: 3.66M,£95.00 per SQM,,
Simply Natural,Axminster Carpets,100% Wool,"Widths: 4M, 5M",£69.00 per SQM,,Yes
Velvet Collection,Axminster Carpets,"80% Wool, 15% Nylon, 5% PA","Widths: 4M, 5M",£90.00 per SQM,,
Globe,Best Wool Carpets,"50% Wool, 50% PP","Widths: 4M, 5M",£50.00 per SQM,,
Imperial,Best Wool Carpets,100% NZ Wool,Width: 5M,£65.00 per SQM,Yes,Yes
Beachcomber,Brockway,100% Wool,"Widths: 4M, 5M",£56.00 per SQM,,Yes
British Rare Breeds,Brockway,100% Wool,"Widths: 4M, 5M",£65.00 per SQM,,Yes
British Rare Breeds Loop,Brockway,100% Wool,"Widths: 4M, 5M",£52.00 per SQM,,Yes
Cotswolds,Brockway,100% Wool,Width: 5M,£61.00 per SQM,,Yes
Dimensions Berber,Brockway,80% Wool,"Widths: 4M, 5M",£46.00 per SQM,,
Dimensions Heathers 40,Brockway,80% Wool,"Widths: 4M, 5M",£46.00 per SQM,,
Dimensions Heathers 50,Brockway,80% Wool,"Widths: 4M, 5M",£51.00 per SQM,,
Dimensions Plains 40,Brockway,80% Wool,"Widths: 4M, 5M",£46.00 per SQM,Yes,
Dimensions Plains 50,Brockway,80% Wool,"Widths: 4M, 5M",£51.00 per SQM,,
Elements,Brockway,100% Wool,Width: 5M,£69.00 per SQM,,Yes
Galloway,Brockway,100% Wool,Width: 5M,£69.00 per SQM,,Yes
Gatsby,Brockway,100% Wool,Width: 4M,£77.00 per SQM,Yes,Yes
Heathcote,Brockway,100% Wool,"Widths: 4M, 5M",£34.00 per SQM,,Yes
Helvellyn,Brockway,100% Wool,"Widths: 4M, 5M",£58.00 per SQM,,Yes
Herdwick Herringbone Runner,Brockway,100% Wool,Width: 0.69M,£131.00 per SQM,,Yes
Lakeland Herdwick,Brockway,100% Wool,"Widths: 4M, 5M",£61.00 per SQM,,Yes
Lakeland Herdwick Loop,Brockway,100% Wool,"Widths: 4M, 5M",£61.00 per SQM,,Yes
Lakeland Herdwick Twist,Brockway,100% Wool,"Widths: 4M, 5M",£61.00 per SQM,,Yes
Lakeland Herdwick Weave,Brockway,100% Wool,Width: 4M,£61.00 per SQM,,Yes
Landscapes,Brockway,100% Wool,Width: 5M,£74.00 per SQM,,Yes
Lingdale,Brockway,80% Wool,"Widths: 4M, 5M",£38.00 per SQM,,
Lingdale Elite,Brockway,80% Wool,"Widths: 4M, 5M",£44.00 per SQM,,
Natural Tweed,Brockway,100% Wool,Width: 5M,£58.00 per SQM,,Yes
Orion Twist,Brockway,80% Wool,"Widths: 4M, 5M",£46.00 per SQM,,
Orion Twist Major,Brockway,80% Wool,"Widths: 4M, 5M",£56.00 per SQM,,
Padstow,Brockway,100% Wool,"Widths: 4M, 5M",£61.00 per SQM,,Yes
Portofino,Brockway,100% Wool,"Widths: 4M, 5M",£65.00 per SQM,,Yes
Romney,Brockway,100% Wool,"Widths: 4M, 5M",£45.00 per SQM,,Yes
Rosedale,Brockway,80% Wool,"Widths: 4M, 5M",£43.00 per SQM,,
Salcombe,Brockway,100% Wool,Width: 5M,£73.00 per SQM,,Yes
Serenity,Brockway,100% Wool,Width: 5M,£71.00 per SQM,,Yes
Solar,Brockway,80% Wool,"Widths: 4M, 5M",£64.00 per SQM,,
Coastal Loop,Cavalier Carpets,100% Wool,"Widths: 4M, 5M",£55.00 per SQM,Yes,Yes
Cosmopolitan Regal (50oz),Cavalier Carpets,80% Wool,"Widths: 4M, 5M",£46.00 per SQM,,
Cosmopolitan Sovereign (60oz),Cavalier Carpets,80% Wool,"Widths: 4M, 5M",£48.00 per SQM,,
Cosmopolitan Supreme (40oz),Cavalier Carpets,80% Wool,"Widths: 4M, 5M",£40.00 per SQM,,
Criterion Twist Regal (50oz),Cavalier Carpets,80% Wool,"Widths: 4M, 5M",£46.00 per SQM,,
Criterion Twist Sovereign (60oz),Cavalier Carpets,80% Wool,"Widths: 4M, 5M",£48.00 per SQM,,
Criterion Twist Supreme (40oz),Cavalier Carpets,80% Wool,"Widths: 4M, 5M",£40.00 per SQM,,
Curlew,Cavalier Carpets,100% Wool,"Widths: 4M, 5M",£44.00 per SQM,Yes,Yes
Guildhall Twist (50oz),Cavalier Carpets,80% Wool,"Widths: 4M, 5M",£61.00 per SQM,,
Lupo,Cavalier Carpets,100% Wool,"Widths: 4M, 5M",£44.00 per SQM,,
Millstone,Cavalier Carpets,100% Wool,"Widths: 4M, 5M",£54.00 per SQM,,
Owlet,Cavalier Carpets,100% Undyed Wool,"Widths: 4M, 5M",£55.00 per SQM,Yes,Yes
Silken,Cavalier Carpets,100% Polyester,"Widths: 4M, 5M",£36.00 per SQM,,
Burnham,Clarendon Carpets,"50% Wool, 50% Synthetic","Widths: 4M, 5M",£23.00 per SQM,,
Cavendish,Clarendon Carpets,"50% Wool, 50% PP","Widths: 4M, 5M",£41.00 per SQM,Yes,Yes
Chigwell,Clarendon Carpets,"50% Wool, 50% Synthetic","Widths: 4M, 5M",£21.00 per SQM,Yes,
Connoisseur Velvet,Clarendon Carpets,100% PP,"Widths: 4M, 5M",£33.00 per SQM,Yes,Yes
Eton,Clarendon Carpets,100% Wool,"Widths: 4M, 5M",£36.00 per SQM,Yes,Yes
Fine Lines,Clarendon Carpets,"50% Wool, 50% Synthetic","Widths: 4M, 5M",£41.00 per SQM,Yes,Yes
Garden City,Clarendon Carpets,100% NZ Wool,"Widths: 4M, 5M",£48.00 per SQM,Yes,Yes
Hampstead,Clarendon Carpets,"50% Wool, 50% PP","Widths: 4M, 5M",£41.00 per SQM,Yes,
Harrow,Clarendon Carpets,100% Wool,"Widths: 4M, 5M",£36.00 per SQM,Yes,Yes
Kingston,Clarendon Carpets,100% Wool,"Widths: 4M, 5M",£29.00 per SQM,Yes,
Mayfair Loop,Clarendon Carpets,"50% Wool, 50% Synthetic","Widths: 4M, 5M",£41.00 per SQM,Yes,Yes
Mortlake,Clarendon Carpets,100% Wool,"Widths: 4M, 5M",£25.00 per SQM,Yes,
New Elite Twist,Clarendon Carpets,100% PP,"Widths: 4M, 5M",£20.00 per SQM,Yes,
Royal Cambridge,Clarendon Carpets,100% Wool,"Widths: 4M, 5M",£28.00 per SQM,Yes,
Royal Sweden,Clarendon Carpets,100% Wool,"Widths: 4M, 5M",£28.00 per SQM,Yes,
Royal Windsor,Clarendon Carpets,100% Wool,"Widths: 4M, 5M",£28.00 per SQM,Yes,
Shoreditch,Clarendon Carpets,100% Wool,"Widths: 4M, 5M",£45.00 per SQM,,
Stonebridge,Clarendon Carpets,100% NZ Wool,"Widths: 4M, 5M",£56.00 per SQM,Yes,Yes
Vogue Velour,Clarendon Carpets,100% Polyamide,"Widths: 5M, 5M",£49.00 per SQM,,
Wool Supreme,Clarendon Carpets,100% Wool,"Widths: 4M, 5M",£32.00 per SQM,Yes,
Apollo Comfort,Cormar Carpets,100% PP,"Widths: 4M, 5M",£28.00 per SQM,,
Apollo Plus,Cormar Carpets,100% PP,"Widths: 4M, 5M",£20.00 per SQM,Yes,
Fairisle,Cormar Carpets,100% Wool,"Widths: 4M, 5M",£44.00 per SQM,Yes,Yes
