Product,Manufacturer,Width & Length,Thickness,Price,Twickenham,Richmond
Form Barrel Oak (1220.4mm x 177.8mm),Amtico,117.8 (w) x 2.5 (l),2.5 (t),£64.99 per SQM,,
Form Barrel Oak (1505mm x 235mm),Amtico,235 (w) x 2.5 (l),2.5 (t),£64.99 per SQM,,
Form Artisan Basket Weave (305mm x 75mm),Amtico,75 (w) x 2.5 (l),2.5 (t),£64.99 per SQM,,
Form Artisan Basket Weave (114mm x 114mm),Amtico,114 (w) x 2.5 (l),2.5 (t),£64.99 per SQM,,
Form Pavestone (305mm x 152mm),Amtico,152 (w) x 2.5 (l),2.5 (t),£64.99 per SQM,,
Form Pavestone (305mm x 305mm),Amtico,305 (w) x 2.5 (l),2.5 (t),£64.99 per SQM,,
Form Pavestone (457mm x 305mm),Amtico,305 (w) x 2.5 (l),2.5 (t),£64.99 per SQM,,
Form Hex (176mm x 152mm),Amtico,152 (w) x 2.5 (l),2.5 (t),£64.99 per SQM,,
Spacia Acoustic (915mm x 102mm),Amtico,102 (w) x 2.5 (l),2.5 (t),£55.99 per SQM,,
Spacia Acoustic (1220mm x 185mm),Amtico,185 (w) x 2.5 (l),2.5 (t),£55.99 per SQM,,
Spacia Stones (915mm x 102mm),Amtico,229 (w) x 2.5 (l),2.5 (t),£55.99 per SQM,,
Spacia Stones (305mm x 305mm),Amtico,305 (w) x 2.5 (l),2.5 (t),£45.99 per SQM,,
Spacia Stones (457mm x 305mm),Amtico,305 (w) x 2.5 (l),2.5 (t),£45.99 per SQM,,
Spacia Stones (457mm x 457mm),Amtico,457 (w) x 2.5 (l),2.5 (t),£45.99 per SQM,,
Spacia Woods (915mm x 102mm),Amtico,102 (w) x 2.5 (l),2.5 (t),£45.99 per SQM,,
Spacia Woods (1220mm x 185mm),Amtico,185 (w) x 2.5 (l),2.5 (t),£45.99 per SQM,,
Spacia Heritage Oak Woods (1219mm x 184mm),Amtico,184 (w) x 2.5 (l),2.5 (t),£45.99 per SQM,,
Spacia Parquet (229mm x 76mm),Amtico,76 (w) x 2.5 (l),2.5 (t),£45.99 per SQM,,
Spacia Parquet (457mm x 102mm),Amtico,102 (w) x 2.5 (l),2.5 (t),£45.99 per SQM,,
Spacia Boardwalk (1220mm x 185mm),Amtico,185 (w) x 2.5 (l),2.5 (t),£45.99 per SQM,,
Spacia Boardwalk (915mm x 102mm),Amtico,102 (w) x 2.5 (l),2.5 (t),£45.99 per SQM,,
Spacia XXL Tiles (915mm x 610mm),Amtico,610 (w) x 2.5 (l),2.5 (t),£54.99 per SQM,,
Decor & Decor x National Trust,Amtico,Various (w) x 2.5 (l),2.5 (t),£142.99 per SQM,,
Decor Chequer,Amtico,Various (w) x 2.5 (l),2.5 (t),£75.99 per SQM,,
Click Smart Woods (1245mm x 178mm),Amtico,178 (w) x 6 (l),6 (t),£52.99 per SQM,,
Click Smart Stones (607mm x 303mm),Amtico,303 (w) x 6 (l),6 (t),£52.99 per SQM,,
Click Smart In-Register Embossed Wood (1211mm x 178mm),Amtico,178 (w) x 6 (l),6 (t),£52.99 per SQM,,
Click Smart Parquet (610mm x 114mm),Amtico,114 (w) x 6 (l),6 (t),£56.99 per SQM,,
Access Stone (450mm x 450mm),Amtico,450 (w) x 5 (l),5 (t),£52.99 per SQM,,
Access Wood (1000mm x 150mm),Amtico,150 (w) x 5 (l),5 (t),£52.99 per SQM,,
Signature 36+ Woods,Amtico,Various (w) x 2.5 (l),2.5 (t),£83.99 per SQM,,
Signature 36+ Stones,Amtico,Various (w) x 2.5 (l),2.5 (t),£83.99 per SQM,,
Spacia 36+ Woods,Amtico,Various (w) x 2.5 (l),2.5 (t),£55.99 per SQM,,
Spacia 36+ Stones,Amtico,Various (w) x 2.5 (l),2.5 (t),£55.99 per SQM,,
Borders Décor Classic Mono DC257B,Amtico,13 (w) x 2.5 (l),2.5 (t),£31.99 per SQM,,
Borders Pinstripe Bold AR0B4000,Amtico,13 (w) x 2.5 (l),2.5 (t),£31.99 per SQM,,
Borders Pinstripe Fine AR0B4001,Amtico,13 (w) x 2.5 (l),2.5 (t),£31.99 per SQM,,
Borders Pinstripe Medium AR0B4002,Amtico,13 (w) x 2.5 (l),2.5 (t),£31.99 per SQM,,
Borders Marble Diamond Border DC296B,Amtico,13 (w) x 2.5 (l),2.5 (t),£31.99 per SQM,,
Borders Gothic Arch Border AR0B670B,Amtico,13 (w) x 2.5 (l),2.5 (t),£19.99 per SQM,,
Borders Ellipse Border AR0B7100,Amtico,13 (w) x 2.5 (l),2.5 (t),£19.99 per SQM,,
Borders Mondrian Border AR0B7400,Amtico,13 (w) x 2.5 (l),2.5 (t),£19.99 per SQM,,
Borders Metro Border AR0B6600,Amtico,13 (w) x 2.5 (l),2.5 (t),£19.99 per SQM,,
Borders Deco Pleat Border AR0B680B,Amtico,13 (w) x 2.5 (l),2.5 (t),£19.99 per SQM,,
Borders Piping Border AR0B6400,Amtico,13 (w) x 2.5 (l),2.5 (t),£19.99 per SQM,,
