Pre-Build Name,SKU,Labour Cost,Labour Sell Price,Group,Subgroup 1,Pre-Build Notes,Pre-Build Description,Estimated Time,Pre-Build Sell Price
Vinyl Installation - Full Adhere,INS71439VIN,12.0,14.166666666666668,Vinyl,Installation,,,60,14.166666666666668
Vinyl Installation - Loose Lay (Minimum),INS31512VIN,100.0,116.66666666666666,Vinyl,Installation,,,60,116.66666666666666
Vinyl Installation - Full Adhere (Minimum),INS31972VIN,150.0,175.0,Vinyl,Installation,,,60,175.0
Vinyl Installation - Step,INS76906VIN,50.0,58.33333333333333,Vinyl,Installation,,,60,58.33333333333333
Vinyl Installation - Miscellaneous,INS38551VIN,1.0,1.15,Vinyl,Installation,,,60,1.15
Ply Installation - 12mm,INS54620VIN,35.0,40.83333333333333,Vinyl,Sub floor works,,,60,40.83333333333333
Smoothing Compound Installation,INS30266GEN,45.0,54.16666666666667,General,Sub floor works,,,60,54.16666666666667
Acrylic DPM Installation,INS69728GEN,8.0,9.583333333333334,General,Sub floor works,,,60,9.583333333333334
Acrylic DPM Installation (Minimum),INS36069GEN,300.0,354.16666666666663,General,Sub floor works,,,60,354.16666666666663
Moisture Suppressant Installation,INS73958GEN,8.0,9.583333333333334,General,Sub floor works,,,60,9.583333333333334
Moisture Suppressant Installation (Minimum),INS61476GEN,300.0,354.16666666666663,General,Sub floor works,,,60,354.16666666666663
LVT Installation - Plank,INS81790LVT,18.0,20.833333333333336,LVT,Installation,,,60,20.833333333333336
LVT Installation - Tile,INS82140LVT,18.0,20.833333333333336,LVT,Installation,,,60,20.833333333333336
LVT Installation - Herringbone,INS82037LVT,25.0,29.166666666666664,LVT,Installation,,,60,29.166666666666664
LVT Installation - Small Herringbone,INS83828LVT,30.0,35.0,LVT,Installation,,,60,35.0
LVT Installation - Design Work,INS31496LVT,35.0,40.83333333333333,LVT,Installation,,,60,40.83333333333333
LVT Installation - Border (Without Inlay),INS21027LVT,10.0,11.666666666666668,LVT,Installation,,,60,11.666666666666668
LVT Installation - Border (With Inlay),INS67064LVT,15.0,16.666666666666668,LVT,Installation,,,60,16.666666666666668
Ply (SP101) Installation inc. Feather (For LVT),INS20329LVT,36.5,41.66666666666667,LVT,Sub floor works,,,60,41.66666666666667
LVT Installation - Minimum (1 Day),INS27761LVT,400.0,458.33333333333337,LVT,Installation,,,60,458.33333333333337
LVT Installation - Step,INS64192LVT,50.0,58.33333333333333,LVT,Installation,,,60,58.33333333333333
LVT Installation - Miscellaneous,INS15455LVT,1.0,1.15,LVT,Installation,,,60,1.15
Primer Application,INS33086GEN,2.5,2.916666666666667,General,Sub floor works,,,60,2.916666666666667
SPC / Click Installation - Plank,INS86442SPC,15.0,17.5,SPC / Click,Installation,,,60,17.5
SPC / Click Installation - Tile,INS97061SPC,15.0,17.5,SPC / Click,Installation,,,60,17.5
SPC / Click Installation - Herringbone,INS83210SPC,22.0,25.0,SPC / Click,Installation,,,60,25.0
SPC / Click Installation - Minimum (1 Day),INS77984SPC,350.0,395.83333333333337,SPC / Click,Installation,,,60,395.83333333333337
SPC / Click Installation - Step,INS13563SPC,50.0,58.33333333333333,SPC / Click,Installation,,,60,58.33333333333333
SPC / Click Installation - Miscellaneous,INS96868SPC,1.0,1.15,SPC / Click,Installation,,,60,1.15
Ply Installation - 12mm(+),INS66352GEN,35.0,40.83333333333333,General,Sub floor works,,,60,40.83333333333333
Laminate Installation - Plank,INS59231LAM,15.0,17.25,Laminate,Installation,,,60,17.25
Laminate Installation - Tile,INS39516LAM,15.0,17.25,Laminate,Installation,,,60,17.25
Laminate Installation - Herringbone,INS75486LAM,22.5,25.874999999999996,Laminate,Installation,,,60,25.874999999999996
Laminate Installation - Minimum (1 Day),INS53597LAM,350.0,402.49999999999994,Laminate,Installation,,,60,402.49999999999994
Laminate Installation - Step,INS46959LAM,50.0,57.49999999999999,Laminate,Installation,,,60,57.49999999999999
Laminate Installation - Miscellaneous,INS47210LAM,1.0,1.15,Laminate,Installation,,,60,1.15
Skirting Installation,INS37722GEN,20.0,23.0,General,Installation,,,60,23.0
Remove Existing Skirting,INS42318GEN,4.0,4.6,General,Installation,,,60,4.6
Wood Installation - Plank,INS19563WOO,24.0,27.5,Wood,Installation,,,60,27.5
Wood Installation - Herringbone,INS88991WOO,31.5,36.666666666666664,Wood,Installation,,,60,36.666666666666664
Wood Installation - Chevron,INS82970WOO,31.5,36.666666666666664,Wood,Installation,,,60,36.666666666666664
Wood Installation - Marquetry Design,INS66901WOO,35.0,40.83333333333333,Wood,Installation,,,60,40.83333333333333
Wood Installation - Marquetry Panel,INS38200WOO,31.5,36.666666666666664,Wood,Installation,,,60,36.666666666666664
Wood Installation - Minimum (1 Day),INS21466WOO,400.0,458.33333333333337,Wood,Installation,,,60,458.33333333333337
Wood Installation - Step,INS61118WOO,65.0,75.0,Wood,Installation,,,60,75.0
Wood Installation - Miscellaneous,INS93316WOO,1.0,1.15,Wood,Installation,,,60,1.15
Wood Installation - Border (Without Inlay),INS38822WOO,20.0,23.333333333333336,Wood,Installation,,,60,23.333333333333336
Wood Installation - Border (With Inlay),INS71230WOO,30.0,35.0,Wood,Installation,,,60,35.0
Undercut Skirting,INS30669WOO,20.0,23.333333333333336,Wood,Installation,,,60,23.333333333333336
Install Sound Reducing Underlay (Adhere),INS26625WOO,7.0,8.125,Wood,Installation,,,60,8.125
Undercut Step,INS11171WOO,54.0,62.5,Wood,Installation,,,60,62.5
