Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Faux Sisal Installation - Adhere Gripper,INS34647FAU,Installer,1.0,1.0,1.25,Faux Sisal,Installation,"Faux Sisal Installation - Adhere Gripper, Faux Sisal, Installation",
Carpet Installation,INS48410CAR,Installer,5.5,5.5,6.25,Carpet,Installation,"Carpet Installation, Carpet, Installation",
Carpet Installation (Minimum),INS37171CAR,Installer,65.0,65.0,75.0,Carpet,Installation,"Carpet Installation (Minimum), Carpet, Installation",
Carpet Installation - Full Adhere,INS84128CAR,Installer,8.0,8.0,9.166666666666666,Carpet,Installation,"Carpet Installation - Full Adhere, Carpet, Installation",
Carpet Installation - Full Adhere (Minimum),INS89693CAR,Installer,100.0,100.0,116.66666666666666,Carpet,Installation,"Carpet Installation - Full Adhere (Minimum), Carpet, Installation",
Carpet Installation - Stairs (Straight Flight),INS91244CAR,Installer,75.0,75.0,83.33333333333334,Carpet,Installation,"Carpet Installation - Stairs (Straight Flight), Carpet, Installation",
Carpet Installation - Stairs (Winder Flight),INS41232CAR,Installer,100.0,100.0,125.0,Carpet,Installation,"Carpet Installation - Stairs (Winder Flight), Carpet, Installation",
Carpet Installation - Stairs (Open Plan Flight),INS66175CAR,Installer,150.0,150.0,166.66666666666669,Carpet,Installation,"Carpet Installation - Stairs (Open Plan Flight), Carpet, Installation",
Carpet Installation - Stairs as Runner (Straight Flight),INS74088CAR,Installer,100.0,100.0,125.0,Carpet,Installation,"Carpet Installation - Stairs as Runner (Straight Flight), Carpet, Installation",
Carpet Installation - Stairs as Runner (Winder Flight),INS40966CAR,Installer,125.0,125.0,145.83333333333334,Carpet,Installation,"Carpet Installation - Stairs as Runner (Winder Flight), Carpet, Installation",
Carpet Installation - Miscellaneous,INS61990CAR,Installer,1.0,1.0,1.15,Carpet,Installation,"Carpet Installation - Miscellaneous, Carpet, Installation",
Carpet Installation - Seaming,INS62866CAR,Installer,5.0,5.0,5.833333333333334,Carpet,Installation,"Carpet Installation - Seaming, Carpet, Installation",
