Pre-Build Name,SKU,Labour Cost,Labour Sell Price,Group,Subgroup 1,Pre-Build Notes,Pre-Build Description,Estimated Time,Pre-Build Sell Price
Carpet Installation - Seam Doorway (Each),INS63902CAR,20.0,24.166666666666664,Carpet,Installation,,,60,24.166666666666664
"Carpet Installation - Runner Template (Straight, Off Site)",INS56349CAR,50.0,58.33333333333333,Carpet,Installation,,,60,58.33333333333333
Carpet Installation - Runner Template (Straight Flight),INS76241CAR,75.0,83.33333333333334,Carpet,Installation,,,60,83.33333333333334
Carpet Installation - Runner Template (Winder Flight),INS60599CAR,100.0,125.0,Carpet,Installation,,,60,125.0
Carpet Installation - Adhere Gripper,INS61158CAR,1.0,1.25,Carpet,Installation,,,60,1.25
Carpet Tile Installation,INS83421CAR,8.0,9.166666666666666,Carpet,Installation,,,60,9.166666666666666
Carpet Tile Installation (Minimum),INS69314CAR,100.0,116.66666666666666,Carpet,Installation,,,60,116.66666666666666
Carpet Installation Premium - Heavy / Large,INS62539CAR,4.0,4.583333333333333,Carpet,Installation,,,60,4.583333333333333
Paper Felt Installation,INS86464CAR,1.0,1.25,Carpet,Installation,,,60,1.25
Installation - Cut Door (Each),INS50976CAR,30.0,35.0,Carpet,Installation,,,60,35.0
Installation - Travel / Parking / ULEZ / CC,INS87693CAR,1.0,1.15,Carpet,Installation,,,60,1.15
Installation - Apply Sealant,INS39923CAR,3.0,3.75,Carpet,Installation,,,60,3.75
Stair Rod Installation,INS77503CAR,8.0,10.0,Carpet,Installation,,,60,10.0
Move (Emptied) Furniture,INS46970CAR,25.0,29.166666666666664,Carpet,Furniture,,,60,29.166666666666664
Lay Floor Protection,INS51087CAR,2.5,2.916666666666667,Carpet,Installation,,,60,2.916666666666667
Delivery (Minimum),INS61126CAR,45.0,54.16666666666667,Carpet,Delivery,,,60,54.16666666666667
Delivery,INS81097CAR,1.0,1.15,Carpet,Delivery,,,60,1.15
Ply Installation - Standard,INS12469CAR,30.0,35.0,Carpet,Sub floor works,,,60,35.0
Preparation - Miscellaneous,INS24975CAR,1.0,1.1583333333333332,Carpet,Sub floor works,,,60,1.1583333333333332
Removal (Uplift & Disposal) of Carpet etc.,INS68104CAR,3.5,4.166666666666667,Carpet,Uplift,,,60,4.166666666666667
Removal (Uplift & Disposal) of Adhered Carpet etc. ,INS18098CAR,5.0,5.833333333333334,Carpet,Uplift,,,60,5.833333333333334
Removal (Uplift & Disposal) of Laminate etc.,INS44345CAR,7.0,8.125,Carpet,Uplift,,,60,8.125
Removal (Uplift & Disposal) of Floating Wood Flooring etc. ,INS76972CAR,9.5,11.25,Carpet,Uplift,,,60,11.25
Removal (Uplift & Disposal) of Adhered Wood Flooring etc. ,INS90798CAR,12.5,14.583333333333332,Carpet,Uplift,,,60,14.583333333333332
Removal (Uplift & Disposal) of (Ceramic) Tiles etc. ,INS98157CAR,15.0,20.833333333333336,Carpet,Uplift,,,60,20.833333333333336
Removal (Uplift & Disposal) - Minimum charge,INS56489CAR,70.0,83.33333333333334,Carpet,Uplift,,,60,83.33333333333334
Vinyl Installation - Loose Lay,INS41353SHE,8.0,9.166666666666666,Sheet Vinyl,Installation,,,60,9.166666666666666
Vinyl Installation - Full Adhere,INS71439VIN,12.0,14.166666666666668,Vinyl,Installation,,,60,14.166666666666668
Vinyl Installation - Loose Lay (Minimum),INS31512VIN,100.0,116.66666666666666,Vinyl,Installation,,,60,116.66666666666666
Vinyl Installation - Full Adhere (Minimum),INS31972VIN,150.0,175.0,Vinyl,Installation,,,60,175.0
Vinyl Installation - Step,INS76906VIN,50.0,58.33333333333333,Vinyl,Installation,,,60,58.33333333333333
Vinyl Installation - Miscellaneous,INS38551VIN,1.0,1.15,Vinyl,Installation,,,60,1.15
Installation - Cut Door (Each),INS67431VIN,30.0,35.0,Vinyl,Installation,,,60,35.0
Installation - Travel / Parking / ULEZ / CC,INS94856VIN,1.0,1.15,Vinyl,Installation,,,60,1.15
Installation - Apply Sealant,INS45188VIN,3.0,3.75,Vinyl,Installation,,,60,3.75
Move (Emptied) Furniture,INS56643VIN,25.0,29.166666666666664,Vinyl,Furniture,,,60,29.166666666666664
Lay Floor Protection,INS91419VIN,2.5,2.916666666666667,Vinyl,Installation,,,60,2.916666666666667
Delivery (Minimum),INS77631VIN,45.0,54.16666666666667,Vinyl,Delivery,,,60,54.16666666666667
Delivery,INS79986VIN,1.0,1.15,Vinyl,Delivery,,,60,1.15
Ply Installation - Standard,INS58338VIN,30.0,35.0,Vinyl,Sub floor works,,,60,35.0
Ply Installation - 12mm,INS54620VIN,35.0,40.83333333333333,Vinyl,Sub floor works,,,60,40.83333333333333
Preparation - Miscellaneous,INS63367VIN,1.0,1.1583333333333332,Vinyl,Sub floor works,,,60,1.1583333333333332
Smoothing Compound Installation,INS30266VIN,45.0,54.16666666666667,Vinyl,Sub floor works,,,60,54.16666666666667
Acrylic DPM Installation,INS69728VIN,8.0,9.583333333333334,Vinyl,Sub floor works,,,60,9.583333333333334
Acrylic DPM Installation (Minimum),INS36069VIN,300.0,354.16666666666663,Vinyl,Sub floor works,,,60,354.16666666666663
Moisture Suppressant Installation,INS73958VIN,8.0,9.583333333333334,Vinyl,Sub floor works,,,60,9.583333333333334
Moisture Suppressant Installation (Minimum),INS61476VIN,300.0,354.16666666666663,Vinyl,Sub floor works,,,60,354.16666666666663
Removal (Uplift & Disposal) of Carpet etc.,INS48816VIN,3.5,4.166666666666667,Vinyl,Uplift,,,60,4.166666666666667
Removal (Uplift & Disposal) of Adhered Carpet etc. ,INS30633VIN,5.0,5.833333333333334,Vinyl,Uplift,,,60,5.833333333333334
Removal (Uplift & Disposal) of Laminate etc.,INS59225VIN,7.0,8.125,Vinyl,Uplift,,,60,8.125
Removal (Uplift & Disposal) of Floating Wood Flooring etc. ,INS43864VIN,9.5,11.25,Vinyl,Uplift,,,60,11.25
Removal (Uplift & Disposal) of Adhered Wood Flooring etc. ,INS25878VIN,12.5,14.583333333333332,Vinyl,Uplift,,,60,14.583333333333332
