Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Bergen 190 Pure,WO39721LAM,Lamett,48.74,48.74,73.33333333333333,Wood,Plank,Lamett Bergen 190 Pure,Price per SQM: £88.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Carcassone Black,WO70904LAM,Lamett,54.0,54.0,75.83333333333333,Wood,Plank,Lamett Carcassone Black,"Price per SQM: £91.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Carcassone Blanco,WO96447LAM,Lamett,54.0,54.0,75.83333333333333,Wood,Plank,Lamett Carcassone Blanco,"Price per SQM: £91.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Carcassone Look Unfinished,WO62515LAM,Lamett,54.0,54.0,75.83333333333333,Wood,Plank,Lamett Carcassone Look Unfinished,"Price per SQM: £91.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Carcassone Natural,WO46594LAM,Lamett,54.0,54.0,75.83333333333333,Wood,Plank,Lamett Carcassone Natural,"Price per SQM: £91.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Carcassone DC Granola,WO17708LAM,Lamett,72.93,72.93,102.5,Wood,Plank,Lamett Carcassone DC Granola,Price per SQM: £123.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Carcassone DC Caramel,WO95366LAM,Lamett,72.93,72.93,102.5,Wood,Plank,Lamett Carcassone DC Caramel,Price per SQM: £123.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Carcassone DC Crumble,WO90387LAM,Lamett,72.93,72.93,102.5,Wood,Plank,Lamett Carcassone DC Crumble,Price per SQM: £123.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Carcassone DC Café Au Lait,WO74306LAM,Lamett,72.93,72.93,102.5,Wood,Plank,Lamett Carcassone DC Café Au Lait,Price per SQM: £123.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Carcassone DC Amaretto,WO87364LAM,Lamett,72.93,72.93,102.5,Wood,Plank,Lamett Carcassone DC Amaretto,Price per SQM: £123.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Carcassone DC Latte,WO34389LAM,Lamett,72.93,72.93,102.5,Wood,Plank,Lamett Carcassone DC Latte,Price per SQM: £123.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Chalet 190 Invisible,WO88874LAM,Lamett,31.88,31.88,52.5,Wood,Plank,Lamett Chalet 190 Invisible,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Chalet 190 Natural,WO91101LAM,Lamett,31.88,31.88,52.5,Wood,Plank,Lamett Chalet 190 Natural,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
