SKU,Product,Manufacturer,Category,Material,Width,Sell ex VAT,Sell inc VAT,Colour,Slug,Image URL
RU95181OFF,Lintzford,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Sherwin,lintzford-sherwin,product-images/runner/off-the-loom/lintzford/lintzford-sherwin.jpg
RU95181OFF,Lintzford,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Sakhir,lintzford-sakhir,product-images/runner/off-the-loom/lintzford/lintzford-sakhir.jpg
RU95181OFF,Lintzford,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Petrol,lintzford-petrol,product-images/runner/off-the-loom/lintzford/lintzford-petrol.jpg
RU95181OFF,Lintzford,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Shale,lintzford-shale,product-images/runner/off-the-loom/lintzford/lintzford-shale.jpg
RU95181OFF,Lintzford,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Juniper,lintzford-juniper,product-images/runner/off-the-loom/lintzford/lintzford-juniper.jpg
RU95181OFF,Lintzford,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Viridian,lintzford-viridian,product-images/runner/off-the-loom/lintzford/lintzford-viridian.jpg
RU95181OFF,Lintzford,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Saddle,lintzford-saddle,product-images/runner/off-the-loom/lintzford/lintzford-saddle.jpg
RU70219OFF,Morden,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Hemlock,morden-hemlock,product-images/runner/off-the-loom/morden/morden-hemlock.jpg
RU70219OFF,Morden,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Bala,morden-bala,product-images/runner/off-the-loom/morden/morden-bala.jpg
RU70219OFF,Morden,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Vida,morden-vida,product-images/runner/off-the-loom/morden/morden-vida.jpg
RU70219OFF,Morden,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Cinnamon,morden-cinnamon,product-images/runner/off-the-loom/morden/morden-cinnamon.jpg
RU70219OFF,Morden,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Wisteria,morden-wisteria,product-images/runner/off-the-loom/morden/morden-wisteria.jpg
RU70219OFF,Morden,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Fennel Green,morden-fennel-green,product-images/runner/off-the-loom/morden/morden-fennel-green.jpg
RU70219OFF,Morden,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Canary Yellow,morden-canary-yellow,product-images/runner/off-the-loom/morden/morden-canary-yellow.jpg
RU70219OFF,Morden,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Pretty Pink,morden-pretty-pink,product-images/runner/off-the-loom/morden/morden-pretty-pink.jpg
RU70219OFF,Morden,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Navy Blue,morden-navy-blue,product-images/runner/off-the-loom/morden/morden-navy-blue.jpg
RU70219OFF,Morden,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Raspberry,morden-raspberry,product-images/runner/off-the-loom/morden/morden-raspberry.jpg
RU70219OFF,Morden,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Lounge Green,morden-lounge-green,product-images/runner/off-the-loom/morden/morden-lounge-green.jpg
RU70219OFF,Morden,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Dijon Yellow,morden-dijon-yellow,product-images/runner/off-the-loom/morden/morden-dijon-yellow.jpg
RU70219OFF,Morden,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Parisian Pink,morden-parisian-pink,product-images/runner/off-the-loom/morden/morden-parisian-pink.jpg
RU70219OFF,Morden,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Griffin,morden-griffin,product-images/runner/off-the-loom/morden/morden-griffin.jpg
RU70219OFF,Morden,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Dormouse,morden-dormouse,product-images/runner/off-the-loom/morden/morden-dormouse.jpg
RU70219OFF,Morden,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Sand Beige,morden-sand-beige,product-images/runner/off-the-loom/morden/morden-sand-beige.jpg
RU70219OFF,Morden,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Owl,morden-owl,product-images/runner/off-the-loom/morden/morden-owl.jpg
RU70219OFF,Morden,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,French Grey,morden-french-grey,product-images/runner/off-the-loom/morden/morden-french-grey.jpg
RU70219OFF,Morden,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Dolphin Grey,morden-dolphin-grey,product-images/runner/off-the-loom/morden/morden-dolphin-grey.jpg
RU70219OFF,Morden,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Dorian,morden-dorian,product-images/runner/off-the-loom/morden/morden-dorian.jpg
RU70219OFF,Morden,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Flint,morden-flint,product-images/runner/off-the-loom/morden/morden-flint.jpg
RU70219OFF,Morden,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Gunmetal Grey,morden-gunmetal-grey,product-images/runner/off-the-loom/morden/morden-gunmetal-grey.jpg
RU70219OFF,Morden,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,135.0,162.0,Sage Green,morden-sage-green,product-images/runner/off-the-loom/morden/morden-sage-green.jpg
RU30969OFF,Rothbury,Off The Loom,Runner,"100% NZ Wool, 3-Ply",640,139.16666666666666,167.0,Black,rothbury-black,product-images/runner/off-the-loom/rothbury/rothbury-black.jpg
RU30969OFF,Rothbury,Off The Loom,Runner,"100% NZ Wool, 3-Ply",640,139.16666666666666,167.0,Soft Sky Blue,rothbury-soft-sky-blue,product-images/runner/off-the-loom/rothbury/rothbury-soft-sky-blue.jpg
RU30969OFF,Rothbury,Off The Loom,Runner,"100% NZ Wool, 3-Ply",640,139.16666666666666,167.0,Easy Green,rothbury-easy-green,product-images/runner/off-the-loom/rothbury/rothbury-easy-green.jpg
RU30969OFF,Rothbury,Off The Loom,Runner,"100% NZ Wool, 3-Ply",640,139.16666666666666,167.0,Denim Blue,rothbury-denim-blue,product-images/runner/off-the-loom/rothbury/rothbury-denim-blue.jpg
RU30969OFF,Rothbury,Off The Loom,Runner,"100% NZ Wool, 3-Ply",640,139.16666666666666,167.0,Raisin,rothbury-raisin,product-images/runner/off-the-loom/rothbury/rothbury-raisin.jpg
RU30969OFF,Rothbury,Off The Loom,Runner,"100% NZ Wool, 3-Ply",640,139.16666666666666,167.0,Fossil Grey,rothbury-fossil-grey,product-images/runner/off-the-loom/rothbury/rothbury-fossil-grey.jpg
RU30969OFF,Rothbury,Off The Loom,Runner,"100% NZ Wool, 3-Ply",640,139.16666666666666,167.0,Pink Bloom,rothbury-pink-bloom,product-images/runner/off-the-loom/rothbury/rothbury-pink-bloom.jpg
RU30969OFF,Rothbury,Off The Loom,Runner,"100% NZ Wool, 3-Ply",640,139.16666666666666,167.0,Soft Pewter,rothbury-soft-pewter,product-images/runner/off-the-loom/rothbury/rothbury-soft-pewter.jpg
RU46508OFF,Stannington,Off The Loom,Runner,"100% NZ Wool, 3-Ply",640,144.16666666666666,173.0,Crew,stannington-crew,product-images/runner/off-the-loom/stannington/stannington-crew.jpg
RU46508OFF,Stannington,Off The Loom,Runner,"100% NZ Wool, 3-Ply",640,144.16666666666666,173.0,Piper,stannington-piper,product-images/runner/off-the-loom/stannington/stannington-piper.jpg
RU46508OFF,Stannington,Off The Loom,Runner,"100% NZ Wool, 3-Ply",640,144.16666666666666,173.0,Yara,stannington-yara,product-images/runner/off-the-loom/stannington/stannington-yara.jpg
RU46508OFF,Stannington,Off The Loom,Runner,"100% NZ Wool, 3-Ply",640,144.16666666666666,173.0,Wren,stannington-wren,product-images/runner/off-the-loom/stannington/stannington-wren.jpg
RU46508OFF,Stannington,Off The Loom,Runner,"100% NZ Wool, 3-Ply",640,144.16666666666666,173.0,Novah,stannington-novah,product-images/runner/off-the-loom/stannington/stannington-novah.jpg
RU46508OFF,Stannington,Off The Loom,Runner,"100% NZ Wool, 3-Ply",640,144.16666666666666,173.0,Troon,stannington-troon,product-images/runner/off-the-loom/stannington/stannington-troon.jpg
RU36119SOP,Sophie Cooney Jute Collection (70 CM),Sophie Cooney Runners,Runner,"100% Jute, (Handwoven)",700,158.33333333333334,190.0,Blueberry Blue,sophie-cooney-jute-collection-70-cm-blueberry-blue,product-images/runner/sophie-cooney-runners/sophie-cooney-jute-collection-70-cm/sophie-cooney-jute-collection-70-cm-blueberry-blue.jpg
RU36119SOP,Sophie Cooney Jute Collection (70 CM),Sophie Cooney Runners,Runner,"100% Jute, (Handwoven)",700,158.33333333333334,190.0,Burnt Orange,sophie-cooney-jute-collection-70-cm-burnt-orange,product-images/runner/sophie-cooney-runners/sophie-cooney-jute-collection-70-cm/sophie-cooney-jute-collection-70-cm-burnt-orange.jpg
RU36119SOP,Sophie Cooney Jute Collection (70 CM),Sophie Cooney Runners,Runner,"100% Jute, (Handwoven)",700,158.33333333333334,190.0,Purple,sophie-cooney-jute-collection-70-cm-purple,product-images/runner/sophie-cooney-runners/sophie-cooney-jute-collection-70-cm/sophie-cooney-jute-collection-70-cm-purple.jpg
RU36119SOP,Sophie Cooney Jute Collection (70 CM),Sophie Cooney Runners,Runner,"100% Jute, (Handwoven)",700,158.33333333333334,190.0,Sage Green,sophie-cooney-jute-collection-70-cm-sage-green,product-images/runner/sophie-cooney-runners/sophie-cooney-jute-collection-70-cm/sophie-cooney-jute-collection-70-cm-sage-green.jpg
RU49794SOP,Sophie Cooney Attica Design (60 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",600,329.16666666666663,395.0,Blue,sophie-cooney-attica-design-60-cm-blue,product-images/runner/sophie-cooney-runners/sophie-cooney-attica-design-60-cm/sophie-cooney-attica-design-60-cm-blue.jpg
RU49794SOP,Sophie Cooney Attica Design (60 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",600,329.16666666666663,395.0,Purple,sophie-cooney-attica-design-60-cm-purple,product-images/runner/sophie-cooney-runners/sophie-cooney-attica-design-60-cm/sophie-cooney-attica-design-60-cm-purple.jpg
RU78044SOP,Sophie Cooney Attica Design (70 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",700,354.16666666666663,425.0,Blue,sophie-cooney-attica-design-70-cm-blue,product-images/runner/sophie-cooney-runners/sophie-cooney-attica-design-70-cm/sophie-cooney-attica-design-70-cm-blue.jpg
RU78044SOP,Sophie Cooney Attica Design (70 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",700,354.16666666666663,425.0,Purple,sophie-cooney-attica-design-70-cm-purple,product-images/runner/sophie-cooney-runners/sophie-cooney-attica-design-70-cm/sophie-cooney-attica-design-70-cm-purple.jpg
RU84272SOP,Sophie Cooney Eye Design (60 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",600,329.16666666666663,395.0,Blue,sophie-cooney-eye-design-60-cm-blue,product-images/runner/sophie-cooney-runners/sophie-cooney-eye-design-60-cm/sophie-cooney-eye-design-60-cm-blue.jpg
