SKU,Product,Manufacturer,Category,Width,Length,Thickness,Sell ex VAT,Sell inc VAT,Colour,Slug,Image URL
RE96532LAM,Caldera 300X600,Lamett,Vinyl,300,600,4+1,40.83333333333333,49.0,Grigio,caldera-300x600-grigio,product-images/vinyl/lamett/caldera-300x600/caldera-300x600-grigio.jpg
RE96532LAM,Caldera 300X600,Lamett,Vinyl,300,600,4+1,40.83333333333333,49.0,Scuro,caldera-300x600-scuro,product-images/vinyl/lamett/caldera-300x600/caldera-300x600-scuro.jpg
RE96532LAM,Caldera 300X600,Lamett,Vinyl,300,600,4+1,40.83333333333333,49.0,Seasalt,caldera-300x600-seasalt,product-images/vinyl/lamett/caldera-300x600/caldera-300x600-seasalt.jpg
RE96532LAM,Caldera 300X600,Lamett,Vinyl,300,600,4+1,40.83333333333333,49.0,Stone,caldera-300x600-stone,product-images/vinyl/lamett/caldera-300x600/caldera-300x600-stone.jpg
RE46875LAM,Caldera 615X615,Lamett,Vinyl,615,615,5.5+1,54.16666666666667,65.0,Basalt,caldera-615x615-basalt,product-images/vinyl/lamett/caldera-615x615/caldera-615x615-basalt.jpg
RE46875LAM,Caldera 615X615,Lamett,Vinyl,615,615,5.5+1,54.16666666666667,65.0,Grigio,caldera-615x615-grigio,product-images/vinyl/lamett/caldera-615x615/caldera-615x615-grigio.jpg
RE46875LAM,Caldera 615X615,Lamett,Vinyl,615,615,5.5+1,54.16666666666667,65.0,Scuro,caldera-615x615-scuro,product-images/vinyl/lamett/caldera-615x615/caldera-615x615-scuro.jpg
RE46875LAM,Caldera 615X615,Lamett,Vinyl,615,615,5.5+1,54.16666666666667,65.0,Seasalt,caldera-615x615-seasalt,product-images/vinyl/lamett/caldera-615x615/caldera-615x615-seasalt.jpg
RE46875LAM,Caldera 615X615,Lamett,Vinyl,615,615,5.5+1,54.16666666666667,65.0,Stone,caldera-615x615-stone,product-images/vinyl/lamett/caldera-615x615/caldera-615x615-stone.jpg
RE69950LAM,Caldera 615X1230,Lamett,Vinyl,615,1230,6.5+1,57.5,69.0,Grigio,caldera-615x1230-grigio,product-images/vinyl/lamett/caldera-615x1230/caldera-615x1230-grigio.jpg
RE69950LAM,Caldera 615X1230,Lamett,Vinyl,615,1230,6.5+1,57.5,69.0,Scuro,caldera-615x1230-scuro,product-images/vinyl/lamett/caldera-615x1230/caldera-615x1230-scuro.jpg
RE76271LAM,Ivalo,Lamett,Vinyl,176,1213,4+1,49.16666666666667,59.0,Amaranth,ivalo-amaranth,product-images/vinyl/lamett/ivalo/ivalo-amaranth.jpg
RE76271LAM,Ivalo,Lamett,Vinyl,176,1213,4+1,49.16666666666667,59.0,Barley,ivalo-barley,product-images/vinyl/lamett/ivalo/ivalo-barley.jpg
RE76271LAM,Ivalo,Lamett,Vinyl,176,1213,4+1,49.16666666666667,59.0,Black,ivalo-black,product-images/vinyl/lamett/ivalo/ivalo-black.jpg
