SKU,Product,Manufacturer,Category,Type,Species,Finish,Width,Length,Thickness,Sell ex VAT,Slug,Image URL
WO78112PAN,Bois Flotte - Authentic (Chevron 139) 1019821,Panaget,Wood,Chevron,European Oak,Matt Lacquer,139,500 – 2000,14/3.4,98.33333333333334,bois-flotte-authentic-chevron-139-1019821,product-images/wood/panaget/bois-flotte-authentic-chevron-139-1019821.jpg
WO17345PAN,Bois Flotte - Authentic (Diva 139) 1017897,Panaget,Wood,Plank,European Oak,Matt Lacquer,139,495 – 1992,14/3.4,60.0,bois-flotte-authentic-diva-139-1017897,product-images/wood/panaget/bois-flotte-authentic-diva-139-1017897.jpg
WO44295PAN,Bois Flotte - Authentic (Diva 184) 1016634,Panaget,Wood,Plank,European Oak,Matt Lacquer,184,500 – 2000,14/3.4,78.33333333333333,bois-flotte-authentic-diva-184-1016634,product-images/wood/panaget/bois-flotte-authentic-diva-184-1016634.jpg
WO13281PAN,Bois Flotte - Authentic (Diva 223) 1016985,Panaget,Wood,Plank,European Oak,Matt Lacquer,223,700 – 2000,15/4.5,101.66666666666666,bois-flotte-authentic-diva-223-1016985,product-images/wood/panaget/bois-flotte-authentic-diva-223-1016985.jpg
WO26750PAN,Bois Flotte - Authentic (Diva Click 184) 1000059,Panaget,Wood,Plank,European Oak,Matt Lacquer,184,495 – 1992,12/2.5,71.66666666666667,bois-flotte-authentic-diva-click-184-1000059,product-images/wood/panaget/bois-flotte-authentic-diva-click-184-1000059.jpg
WO73529PAN,Bois Flotte - Authentic (Herringbone 139) 1016617,Panaget,Wood,Herringbone,European Oak,Matt Lacquer,139,800,14/3.4,82.5,bois-flotte-authentic-herringbone-139-1016617,product-images/wood/panaget/bois-flotte-authentic-herringbone-139-1016617.jpg
WO14239PAN,Bois Flotte - Classic (Diva 139) 1019701,Panaget,Wood,Plank,European Oak,Matt Lacquer,139,495 – 1992,14/3.4,69.16666666666667,bois-flotte-classic-diva-139-1019701,product-images/wood/panaget/bois-flotte-classic-diva-139-1019701.jpg
WO96500PAN,Bois Flotte - Classic (Diva 184) 1006159,Panaget,Wood,Plank,European Oak,Matt Lacquer,184,500 – 2000,14/3.4,82.5,bois-flotte-classic-diva-184-1006159,product-images/wood/panaget/bois-flotte-classic-diva-184-1006159.jpg
WO55719PAN,Bois Flotte - Classic (Diva Click 139) 1005774,Panaget,Wood,Plank,European Oak,Matt Lacquer,139,495 – 1992,12/2.5,64.16666666666667,bois-flotte-classic-diva-click-139-1005774,product-images/wood/panaget/bois-flotte-classic-diva-click-139-1005774.jpg
WO35030PAN,Bois Flotte - Intenso (Diva 139) 1017017,Panaget,Wood,Plank,European Oak,Matt Lacquer,139,495 – 1992,12/2.5,54.16666666666667,bois-flotte-intenso-diva-139-1017017,product-images/wood/panaget/bois-flotte-intenso-diva-139-1017017.jpg
WO97297PAN,Bois Flotte - Zenitude (Diva 139) 1007643,Panaget,Wood,Plank,European Oak,Matt Lacquer,139,495 – 1992,12/2.5,58.33333333333333,bois-flotte-zenitude-diva-139-1007643,product-images/wood/panaget/bois-flotte-zenitude-diva-139-1007643.jpg
WO52768PAN,Bois Flotte - Zenitude (Diva 184) 1007330,Panaget,Wood,Plank,European Oak,Matt Lacquer,139,500 – 2000,14/3.4,74.16666666666667,bois-flotte-zenitude-diva-184-1007330,product-images/wood/panaget/bois-flotte-zenitude-diva-184-1007330.jpg
