SKU,Product,Manufacturer,Category,Material,Widths,Sell ex VAT,Sell inc VAT,Colour,Slug,Image URL
CA13115ALT,AF Sisal Malay,Alternative Flooring,Carpet,100% Sisal,4 | 5,48.33333333333333,58.0,Dragon Grass,af-sisal-malay-dragon-grass,product-images/carpet/alternative-flooring/af-sisal-malay/af-sisal-malay-dragon-grass.jpg
CA13115ALT,AF Sisal Malay,Alternative Flooring,Carpet,100% Sisal,4 | 5,48.33333333333333,58.0,Jin,af-sisal-malay-jin,product-images/carpet/alternative-flooring/af-sisal-malay/af-sisal-malay-jin.jpg
CA13115ALT,AF Sisal Malay,Alternative Flooring,Carpet,100% Sisal,4 | 5,48.33333333333333,58.0,Lhasa,af-sisal-malay-lhasa,product-images/carpet/alternative-flooring/af-sisal-malay/af-sisal-malay-lhasa.jpg
CA13115ALT,AF Sisal Malay,Alternative Flooring,Carpet,100% Sisal,4 | 5,48.33333333333333,58.0,Macau,af-sisal-malay-macau,product-images/carpet/alternative-flooring/af-sisal-malay/af-sisal-malay-macau.jpg
CA13115ALT,AF Sisal Malay,Alternative Flooring,Carpet,100% Sisal,4 | 5,48.33333333333333,58.0,Shanghai,af-sisal-malay-shanghai,product-images/carpet/alternative-flooring/af-sisal-malay/af-sisal-malay-shanghai.jpg
CA13115ALT,AF Sisal Malay,Alternative Flooring,Carpet,100% Sisal,4 | 5,48.33333333333333,58.0,Shaolin,af-sisal-malay-shaolin,product-images/carpet/alternative-flooring/af-sisal-malay/af-sisal-malay-shaolin.jpg
CA13115ALT,AF Sisal Malay,Alternative Flooring,Carpet,100% Sisal,4 | 5,48.33333333333333,58.0,Taiping,af-sisal-malay-taiping,product-images/carpet/alternative-flooring/af-sisal-malay/af-sisal-malay-taiping.jpg
CA13115ALT,AF Sisal Malay,Alternative Flooring,Carpet,100% Sisal,4 | 5,48.33333333333333,58.0,Tigers Eye,af-sisal-malay-tigers-eye,product-images/carpet/alternative-flooring/af-sisal-malay/af-sisal-malay-tigers-eye.jpg
CA13115ALT,AF Sisal Malay,Alternative Flooring,Carpet,100% Sisal,4 | 5,48.33333333333333,58.0,Tongli,af-sisal-malay-tongli,product-images/carpet/alternative-flooring/af-sisal-malay/af-sisal-malay-tongli.jpg
CA14337ALT,AF Sisal Panama,Alternative Flooring,Carpet,100% Sisal,4 | 5,48.33333333333333,58.0,Donegal,af-sisal-panama-donegal,product-images/carpet/alternative-flooring/af-sisal-panama/af-sisal-panama-donegal.jpg
CA14337ALT,AF Sisal Panama,Alternative Flooring,Carpet,100% Sisal,4 | 5,48.33333333333333,58.0,Penwood,af-sisal-panama-penwood,product-images/carpet/alternative-flooring/af-sisal-panama/af-sisal-panama-penwood.jpg
CA14337ALT,AF Sisal Panama,Alternative Flooring,Carpet,100% Sisal,4 | 5,48.33333333333333,58.0,Pershore,af-sisal-panama-pershore,product-images/carpet/alternative-flooring/af-sisal-panama/af-sisal-panama-pershore.jpg
CA14337ALT,AF Sisal Panama,Alternative Flooring,Carpet,100% Sisal,4 | 5,48.33333333333333,58.0,Pilsbury,af-sisal-panama-pilsbury,product-images/carpet/alternative-flooring/af-sisal-panama/af-sisal-panama-pilsbury.jpg
CA27692ALT,AF Sisal Super Boucle,Alternative Flooring,Carpet,100% Sisal,4,45.83333333333333,55.0,Barton,af-sisal-super-boucle-barton,product-images/carpet/alternative-flooring/af-sisal-super-boucle/af-sisal-super-boucle-barton.jpg
CA27692ALT,AF Sisal Super Boucle,Alternative Flooring,Carpet,100% Sisal,4,45.83333333333333,55.0,Bodmin,af-sisal-super-boucle-bodmin,product-images/carpet/alternative-flooring/af-sisal-super-boucle/af-sisal-super-boucle-bodmin.jpg
CA27692ALT,AF Sisal Super Boucle,Alternative Flooring,Carpet,100% Sisal,4,45.83333333333333,55.0,Brancaster,af-sisal-super-boucle-brancaster,product-images/carpet/alternative-flooring/af-sisal-super-boucle/af-sisal-super-boucle-brancaster.jpg
CA27692ALT,AF Sisal Super Boucle,Alternative Flooring,Carpet,100% Sisal,4,45.83333333333333,55.0,Bulford,af-sisal-super-boucle-bulford,product-images/carpet/alternative-flooring/af-sisal-super-boucle/af-sisal-super-boucle-bulford.jpg
CA43984ALT,AF Sisal Tweed,Alternative Flooring,Carpet,100% Sisal,4,49.16666666666667,59.0,Tarvie,af-sisal-tweed-tarvie,product-images/carpet/alternative-flooring/af-sisal-tweed/af-sisal-tweed-tarvie.jpg
CA43984ALT,AF Sisal Tweed,Alternative Flooring,Carpet,100% Sisal,4,49.16666666666667,59.0,Tomatin,af-sisal-tweed-tomatin,product-images/carpet/alternative-flooring/af-sisal-tweed/af-sisal-tweed-tomatin.jpg
CA16793ALT,Anywhere Boucle,Alternative Flooring,Carpet,100% Polyproylene,4,42.79166666666667,51.35,Caramel,anywhere-boucle-caramel,product-images/carpet/alternative-flooring/anywhere-boucle/anywhere-boucle-caramel.jpg
CA16793ALT,Anywhere Boucle,Alternative Flooring,Carpet,100% Polyproylene,4,42.79166666666667,51.35,Cocoa,anywhere-boucle-cocoa,product-images/carpet/alternative-flooring/anywhere-boucle/anywhere-boucle-cocoa.jpg
CA16793ALT,Anywhere Boucle,Alternative Flooring,Carpet,100% Polyproylene,4,42.79166666666667,51.35,Copper,anywhere-boucle-copper,product-images/carpet/alternative-flooring/anywhere-boucle/anywhere-boucle-copper.jpg
