SKU,Product,Manufacturer,Supplier,Category,Type,Thickness,Pack Quantity,Species,Finish,Width,Length,Cost ex VAT,Sell ex VAT,Sell inc VAT,Twickenham,Richmond,Discontinued?,Show on Website?
WO82723LAM,Cottage 190 Natural,Lamett,Lamett,Wood,Plank,14/3,2.12,European Oak,Lacquer,190,650 - 1900,33.0,54.16666666666667,65,Yes,Yes,,Yes
WO22888LAM,Cottage 190 Paris Brown,Lamett,Lamett,Wood,Plank,14/3,2.12,European Oak,Lacquer,190,650 - 1900,29.92,49.16666666666667,59,Yes,Yes,,Yes
WO89781LAM,Cottage 260 Invisible,Lamett,Lamett,Wood,Plank,15/4,3.432,European Oak,Lacquer,260,600 - 2200,43.2,65.0,78,Yes,Yes,,Yes
WO60629LAM,Cottage 260 Natural,Lamett,Lamett,Wood,Plank,15/4,3.432,European Oak,Lacquer,260,600 - 2200,43.2,65.0,78,Yes,Yes,,Yes
WO15637LAM,Cottage Herringbone Invisible,Lamett,Lamett,Wood,Herringbone,14/3,1.44,European Oak,Lacquer,120,600,35.0,54.16666666666667,65,Yes,,,Yes
WO46986LAM,Cottage Herringbone Natural,Lamett,Lamett,Wood,Herringbone,14/3,1.44,European Oak,Lacquer,120,600,35.0,54.16666666666667,65,Yes,,,Yes
WO60154LAM,Country Double Smoked Pure,Lamett,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,37.21,57.5,69,Yes,Yes,,Yes
WO39043LAM,Country Smoked Coffee,Lamett,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,37.21,57.5,69,Yes,Yes,,Yes
WO18883LAM,Country Smoked Grey,Lamett,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,37.21,57.5,69,Yes,Yes,,Yes
WO94406LAM,Country Smoked Natural,Lamett,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,37.21,57.5,69,Yes,Yes,,Yes
WO36561LAM,Country Smoked White,Lamett,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,37.21,57.5,69,Yes,Yes,,Yes
WO55968LAM,Country White,Lamett,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,37.21,57.5,69,,Yes,,Yes
WO15099LAM,Farm Antique,Lamett,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,46.64,70.0,84,Yes,Yes,,Yes
WO38068LAM,Farm Harvest,Lamett,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,46.64,70.0,84,Yes,Yes,,Yes
WO56937LAM,Farm Herringbone Antique,Lamett,Lamett,Wood,Herringbone,15/3,1.25,European Oak,Oil,125,625,56.95,80.0,96,Yes,Yes,,Yes
WO57968LAM,Farm Herringbone Old Church,Lamett,Lamett,Wood,Herringbone,15/3,1.25,European Oak,Oil,125,625,56.95,80.0,96,Yes,Yes,,Yes
WO70668LAM,Farm Herringbone Pure,Lamett,Lamett,Wood,Herringbone,15/3,1.25,European Oak,Oil,125,625,56.95,80.0,96,,Yes,,Yes
WO17207LAM,Farm Herringbone Traditions,Lamett,Lamett,Wood,Herringbone,15/3,1.25,European Oak,Oil,125,625,56.95,80.0,96,Yes,Yes,,Yes
WO81827LAM,Farm Herringbone White,Lamett,Lamett,Wood,Herringbone,15/3,1.25,European Oak,Oil,125,625,56.95,80.0,96,,Yes,,Yes
WO93436LAM,Farm Old Church,Lamett,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,46.64,70.0,84,Yes,Yes,,Yes
WO21150LAM,Farm Pure,Lamett,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,46.64,70.0,84,Yes,Yes,,Yes
WO55351LAM,Farm Traditions,Lamett,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,46.64,70.0,84,Yes,Yes,,Yes
WO48149LAM,Farm White,Lamett,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,46.64,70.0,84,Yes,Yes,,Yes
WO19488LAM,New York Coffee,Lamett,Lamett,Wood,Plank,14/3.5,2.12,European Oak,Lacquer,190,630 - 1860,54.23,75.83333333333333,91,Yes,,,Yes
WO46820LAM,New York Natural,Lamett,Lamett,Wood,Plank,14/3.5,2.12,European Oak,Lacquer,190,630 - 1860,54.23,75.83333333333333,91,Yes,,,Yes
WO77772LAM,New York Pure Plus,Lamett,Lamett,Wood,Plank,14/3.5,2.12,European Oak,Lacquer,190,630 - 1860,54.23,75.83333333333333,91,Yes,,,Yes
WO16146LAM,New York Skyline,Lamett,Lamett,Wood,Plank,14/3.5,2.12,European Oak,Lacquer,190,630 - 1860,54.23,75.83333333333333,91,Yes,,,Yes
WO43964LAM,New York Sunset,Lamett,Lamett,Wood,Plank,14/3.5,2.12,European Oak,Lacquer,190,630 - 1860,54.23,75.83333333333333,91,Yes,,,Yes
WO68589LAM,New York Wheat,Lamett,Lamett,Wood,Plank,14/3.5,2.12,European Oak,Lacquer,190,630 - 1860,54.23,75.83333333333333,91,Yes,,,Yes
WO98198LAM,Oslo 150 Mont Blanc,Lamett,Lamett,Wood,Plank,15/3,2.232,European Oak,Oil,150,630 - 1860,38.47,60.0,72,,Yes,,Yes
WO90370LAM,Oslo 150 Natural,Lamett,Lamett,Wood,Plank,15/3,2.232,European Oak,Oil,150,630 - 1860,38.47,60.0,72,,Yes,,Yes
