SKU,Product,Manufacturer,Category,Material,Width,Colours,Cost ex VAT,Sell ex VAT,Sell inc VAT,Twickenham,Richmond,Discontinued?,Show on Website?
RU69135FLE,Sackville,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 7",77.0,138.33,165.996,,Yes,,Yes
RU82878FLE,Scroll,Fleetwood Fox,Runner,100% New Zealand Wool,700,"6AC, 8AC",86.0,155.0,186.0,,Yes,,Yes
RU23884FLE,Serrano,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 8",86.0,155.0,186.0,,Yes,,Yes
RU39067FLE,Sherringham,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 4, 6, 7, 8, 9, 10",77.0,138.33,165.996,,Yes,,Yes
RU92690FLE,Skipwith,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 4, 5",77.0,138.33,165.996,,Yes,,Yes
RU32501FLE,Tamar,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 3, 5, 6, 7, 8",77.0,138.33,165.996,,Yes,,Yes
RU83858FLE,Tarleton,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 5, 6, 7",77.0,138.33,165.996,,Yes,,Yes
RU26690FLE,Twig,Fleetwood Fox,Runner,100% New Zealand Wool,700,"2, 3, 4",86.0,155.0,186.0,,Yes,,Yes
RU42487FLE,Vanston,Fleetwood Fox,Runner,100% New Zealand Wool,700,"2, 3, 4, 6",77.0,138.33,165.996,,Yes,,Yes
RU75892FLE,Villiers,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 4, 7",77.0,138.33,165.996,,Yes,,Yes
RU33626FLE,Whitby,Fleetwood Fox,Runner,100% New Zealand Wool,700,"2, 4, 5",77.0,138.33,165.996,,Yes,,Yes
RU35163FLE,Winchcombe,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 4",77.0,138.33,165.996,,Yes,,Yes
RU71591FLE,Woodville,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 4, 6, 9, 10, 11, 12, 14, 15, 16, 19, 20, 21, 25",77.0,138.33,165.996,,Yes,,Yes
RU84953FLE,Zennor,Fleetwood Fox,Runner,100% New Zealand Wool,700,"1, 2, 3, 4",77.0,138.33,165.996,,Yes,,Yes
RU22993KER,Moroccan Runner,Kersaint Cobb,Runner,100% Sisal,690,"Arabesque, Fez, Maroc Light, Marrakech, Medina, Meknes, Moorish Spaces, Riad Hide, Rooftop Sundown, Rose Water, Souk Puzzle, Tetouan",36.15,138.33,69.0,,Yes,,Yes
