SKU,Product,Manufacturer,Category,Type,Thickness,Pack Quantity,Width,Length,Colours,Cost ex VAT,Sell ex VAT,Sell inc VAT,Twickenham,Richmond,Discontinued?,Show on Website?
RE68064PAR,Basic 5.3 - Infinity Natural 1744607,Parador,Vinyl,LVT,5.3,2.176,225,1209,,19.8,44.16666666666667,53.0,,,,
RE82765PAR,Trendtime 8 - Imperial Light Grey 1744828,Parador,Vinyl,LVT,6,2.055,225,1522,,20.64,45.83333333333333,55.0,,,,
RE70704PAR,Classic 2070 - Explorer Rock Grey 1744630,Parador,Vinyl,LVT,6,1.904,225,1209,,19.75,44.16666666666667,53.0,,,,
RE58979PAR,Trendtime 8 - Symphony Grey 1744830,Parador,Vinyl,LVT,6,2.055,225,1522,,20.64,45.83333333333333,55.0,,,,
RE99050PAR,Trendtime 8 - Studioline Sanded 1744833,Parador,Vinyl,LVT,6,2.055,225,1522,,20.64,45.83333333333333,55.0,,,,
RE32994PAR,Trendtime 8 - Pacific Natural 1744831,Parador,Vinyl,LVT,6,2.055,225,1522,,20.64,45.83333333333333,55.0,,,,
RE45265PAR,Basic 5.3 - Pastel Grey 1743005,Parador,Vinyl,LVT,5.3,2.176,225,1209,,19.8,44.16666666666667,53.0,,,,
RE82916PAR,Classic 2070 - Oak Sanded 1744621,Parador,Vinyl,LVT,6,1.904,225,1209,,19.75,44.16666666666667,53.0,,,,
RE16922PAR,Basic 5.3 - Oak Memory Natural 1743003,Parador,Vinyl,LVT,5.3,2.176,225,1209,,19.8,44.16666666666667,53.0,,,,
RE64183PAR,Basic 5.3 - Royal Light Limed 1743006,Parador,Vinyl,LVT,5.3,2.176,225,1209,,19.8,44.16666666666667,53.0,,,,
RE93498PAR,Classic 2070 - Natural Mix Grey 1744628,Parador,Vinyl,LVT,6,1.904,225,1209,,19.75,44.16666666666667,53.0,,,,
RE44509PAR,Classic 2070 - Vintage Grey Antique 1744626,Parador,Vinyl,LVT,6,1.904,225,1209,,19.75,44.16666666666667,53.0,,,,
RE57795PAR,Basic 5.3 - Oak Memory Sanded 1743002,Parador,Vinyl,LVT,5.3,2.176,225,1209,,19.8,44.16666666666667,53.0,,,,
RE97432PAR,Basic 5.3 - Studioline Sanded 1743008,Parador,Vinyl,LVT,5.3,2.176,225,1209,,19.8,44.16666666666667,53.0,,,,
RE78181PAR,Basic 5.3 - Sierra Natural 1743007,Parador,Vinyl,LVT,5.3,2.176,225,1209,,19.8,44.16666666666667,53.0,,,,
RE48958PAR,Modular 1 - Spirit Smoked 1730773,Parador,Vinyl,SPC,8,2.493,194,1285,,15.56,35.833333333333336,43.0,,,,
RE62811PAR,Modular 1 - Nordic Grey 1744548,Parador,Vinyl,SPC,8,2.493,194,1285,,15.56,35.833333333333336,43.0,,,,
RE50768PAR,Modular 1 - Atmosphere Sanded 1744544,Parador,Vinyl,SPC,8,2.493,194,1285,,15.56,35.833333333333336,43.0,,,,
RE41434PAR,Modular 1 - Rustic Grey 1730774,Parador,Vinyl,SPC,8,2.493,194,1285,,15.56,35.833333333333336,43.0,,,,
RE99802PAR,Modular 1 - Urban Grey Limed 1730771,Parador,Vinyl,SPC,8,2.493,194,1285,,15.56,35.833333333333336,43.0,,,,
RE14660PAR,Modular 1 - Oak Pure Pearl Grey 1730768,Parador,Vinyl,SPC,8,2.493,194,1285,,15.56,35.833333333333336,43.0,,,,
RE84914PAR,Modular 1 - Urban Light Limed 1730769,Parador,Vinyl,SPC,8,2.493,194,1285,,15.56,35.833333333333336,43.0,,,,
RE61167PAR,Modular 1 'Chateau' - Nordic Grey  1744559,Parador,Vinyl,SPC,8,3.102,194,1285,,21.38,47.5,57.0,,,,
RE32901PAR,Modular 1 'Chateau' - Pure Light 1730803,Parador,Vinyl,SPC,8,3.102,194,1285,,21.38,47.5,57.0,,,,
RE33435PAR,Modular 1 'Chateau' - Urban Grey Limed 1730807,Parador,Vinyl,SPC,8,3.102,194,1285,,21.38,47.5,57.0,,,,
RE14150PAR,Modular 1 - Oak Pure Natural 1730766,Parador,Vinyl,SPC,8,2.493,194,1285,,15.56,35.833333333333336,43.0,,,,
RE40138PAR,Modular 1 - Atmosphere Natural 1744545,Parador,Vinyl,SPC,8,2.493,194,1285,,15.56,35.833333333333336,43.0,,,,
RE39877PAR,Modular 1 'Chateau' - Oak Pure Pearl Grey 1730804,Parador,Vinyl,SPC,8,3.102,194,1285,,21.38,47.5,57.0,,,,
RE44430PAR,Modular 1 'Chateau' - Nordic White 1744558,Parador,Vinyl,SPC,8,3.102,194,1285,,21.38,47.5,57.0,,,,
RE17565PAR,Modular 1 - Cross Cut 1744552,Parador,Vinyl,SPC,8,2.493,194,1285,,15.56,35.833333333333336,43.0,,,,
RE55792WOO,Brecon Glacial Oak,Woodpecker,Vinyl,SPC,6,2.2,180,1220,,25.0,44.16666666666667,53.0,,Yes,,Yes
RE52862WOO,Brecon Ivory Oak,Woodpecker,Vinyl,SPC,6,2.2,180,1220,,25.0,44.16666666666667,53.0,,Yes,,Yes
RE42022WOO,Brecon Barley Oak,Woodpecker,Vinyl,SPC,6,2.2,180,1220,,25.0,44.16666666666667,53.0,,Yes,,Yes
RE70729WOO,Brecon Dove Oak,Woodpecker,Vinyl,SPC,6,2.2,180,1220,,25.0,44.16666666666667,53.0,,Yes,,Yes
RE89437WOO,Brecon Blanche Oak,Woodpecker,Vinyl,SPC,6,2.2,180,1220,,25.0,44.16666666666667,53.0,,Yes,,Yes
RE15526WOO,Brecon Seashell Oak,Woodpecker,Vinyl,SPC,6,2.2,180,1220,,25.0,44.16666666666667,53.0,,Yes,,Yes
RE79238WOO,Brecon Warehouse Oak,Woodpecker,Vinyl,SPC,6,2.2,180,1220,,25.0,44.16666666666667,53.0,,Yes,,Yes
RE66059WOO,Brecon River Oak,Woodpecker,Vinyl,SPC,6,2.2,180,1220,,25.0,44.16666666666667,53.0,,Yes,,Yes
RE81095WOO,Brecon Whisper Oak,Woodpecker,Vinyl,SPC,6,2.2,180,1220,,25.0,44.16666666666667,53.0,,Yes,,Yes
RE64663WOO,Brecon Weathered Oak,Woodpecker,Vinyl,SPC,6,2.2,180,1220,,25.0,44.16666666666667,53.0,,Yes,,Yes
RE23157WOO,Brecon Valley Oak,Woodpecker,Vinyl,SPC,6,2.2,180,1220,,25.0,44.16666666666667,53.0,,Yes,,Yes
RE17499WOO,Brecon Farm Oak,Woodpecker,Vinyl,SPC,6,2.2,180,1220,,25.0,44.16666666666667,53.0,,Yes,,Yes
RE68810WOO,Brecon Vintage Oak,Woodpecker,Vinyl,SPC,6,2.2,180,1220,,25.0,44.16666666666667,53.0,,Yes,,Yes
RE35702WOO,Brecon Heritage Oak,Woodpecker,Vinyl,SPC,6,2.2,180,1220,,25.0,44.16666666666667,53.0,,Yes,,Yes
RE87187WOO,Brecon Bracken Oak,Woodpecker,Vinyl,SPC,6,2.2,180,1220,,25.0,44.16666666666667,53.0,,Yes,,Yes
RE91753WOO,Brecon Shoreline Oak,Woodpecker,Vinyl,SPC,6,2.2,180,1220,,25.0,44.16666666666667,53.0,,Yes,,Yes
RE21394WOO,Brecon Vintage Oak Herringbone,Woodpecker,Vinyl,SPC,6,0.72,120,600,,26.5,46.66666666666667,56.0,,Yes,,Yes
RE90661WOO,Brecon Shoreline Oak Herringbone,Woodpecker,Vinyl,SPC,6,0.72,120,600,,26.5,46.66666666666667,56.0,,Yes,,Yes
RE91548WOO,Brecon Whisper Oak Herringbone,Woodpecker,Vinyl,SPC,6,0.72,120,600,,26.5,46.66666666666667,56.0,,Yes,,Yes
RE62271WOO,Brecon River Oak Herringbone,Woodpecker,Vinyl,SPC,6,0.72,120,600,,26.5,46.66666666666667,56.0,,Yes,,Yes
RE70317WOO,Brecon Blanche Oak Herringbone,Woodpecker,Vinyl,SPC,6,0.72,120,600,,26.5,46.66666666666667,56.0,,Yes,,Yes
RE89060WOO,Brecon Seashell Oak Herringbone,Woodpecker,Vinyl,SPC,6,0.72,120,600,,26.5,46.66666666666667,56.0,,Yes,,Yes
RE47007WOO,Lynton Seagrass Oak,Woodpecker,Vinyl,SPC,7,2.01,165,1220,,34.5,56.66666666666667,68.0,,Yes,,Yes
RE61140WOO,Lynton Chiffon Oak,Woodpecker,Vinyl,SPC,7,2.01,165,1220,,34.5,56.66666666666667,68.0,,Yes,,Yes
RE19028WOO,Lynton Estuary Oak,Woodpecker,Vinyl,SPC,7,2.01,165,1220,,34.5,56.66666666666667,68.0,,Yes,,Yes
RE40106WOO,Lynton Natural Oak,Woodpecker,Vinyl,SPC,7,2.01,165,1220,,34.5,56.66666666666667,68.0,,Yes,,Yes
RE46026WOO,Lynton Evening Oak,Woodpecker,Vinyl,SPC,7,2.01,165,1220,,34.5,56.66666666666667,68.0,,Yes,,Yes
RE45109WOO,Lynton Weald Oak,Woodpecker,Vinyl,SPC,7,2.01,165,1220,,34.5,56.66666666666667,68.0,,Yes,,Yes
RE51865AMT,Signature Standard,Amtico,Vinyl,LVT,2.5,Various,Various,Various,"Aged Oak, Alpine Oak, American Oak, Antique Wood, Ashdown Oak, Aspen Oak, Basilica Salt, Basilica Shell, Berkswell Stone, Berwick Oak, Bianca Classic Marble, Black Burnished Metal, Blockley Stone, Blonde Oak, Bordeaux Oak, Brushed Oak, Buckingham Oak, Buxton Oak, Chargot Oak, Chateau Oak, Chatham Concrete, Chiltern Oak, Classic Oak, Classic Walnut, Clowes Oak, Coombe Stone, Cornish Oak, Crema Marfil, Cumbrian Slate, Dark Walnut, Darley Oak, Deptford Concrete, Diffusion Aloe, Diffusion Cashew, Diffusion Chambray, Diffusion Eve, Diffusion Husk, Diffusion Loam, Diffusion Lux, Diffusion Malt, Dockland Oak, Dry Teak, Dublin, Encaustic Jasper, Encaustic Kyanite, Encaustic Okra, Encaustic Storm, Exposed Concrete, Farmhouse Oak, French Oak, Fresh Oak, Friston Oak, Fumed Oak, Fused Birch, Glint Orb, Glint Void, Golden Oak, Graphite Slate, Grey Burnished Metal, Grigio Classic Marble, Grizedale Oak, Hackfall Oak, Halo Pine, Hamsterley Oak, Harbour Pine, Helsinki, Henley Oak, Honed Limestone Natural, Ilmington Stone, Kentmere Slate, Kirby Oak, Kura Anise, Kura Caraway, Kura Kala, Kura Opium, Laughton Oak, Light Cherry, Lime Washed Wood, Lock Oak, Malvern Oak, Manor Oak, Marlow Oak, Marrakech, Merbau, Mirabelle Creme, Modernist Frame, Modernist Spire, Modernist Vault, Napoli, Natural Limed Wood, Nero Classic Marble, Nomad Oak, Onyx Marble, Packwood Stone, Paris, Parisian Pine, Pearl Wash Wood, Priory Oak, Ratley Stone, Reclaimed Oak, Regency Walnut, Rio, Riverstone Tundra, Rosa Classic Marble, Rosewood, Rotterdam Oak, Russet Burnished Metal, Salted Oak, Sanctuary Grain, Sevilla, Shore Oak, Shottery Limestone, Sloane Concrete, Solar Pine, Stria Ash, Stria Basalt, Stria Rock, Stria Sediment, Stria Volcanic, Stucco Clay, Stucco Elk, Stucco Flax, Stucco Haze, Stucco Huckleberry, Stucco Indigo, Stucco Mist, Stucco Nutmeg, Stucco Opaline, Stucco Pebble, Stucco Putty, Stucco Quartz, Stucco Roselle, Tay Oak, Teak, Tempus Echo, Tempus Embrace, Tempus Harmony, Tempus Pause, Tempus Restore, Tempus Soothe, Tollymore Oak, Tortora Classic Marble, Toulouse Oak, Trace Kaolin, Trace Scree, Trevellas Oak, Tyne Concrete, Union Oak, Verbier Oak, Verde Classic Marble, Verdigris Burnished Metal, Versailles Oak, Waterloo Concrete, Wharf Oak, Wharncliffe Oak, Whinlatter Oak, White Oak, White Wash Wood, Whitley Stone, Wild Walnut, Wilmcote Limestone, Wilverley Oak, Woolwich Concrete, Worn Concrete, Worn Oak, Yarncliff Oak, York Oak",43.1,63.324999999999996,75.99,,,,Yes
RE80293AMT,Signature Acoustic,Amtico,Vinyl,LVT,2.5,Various,Various,Various,"Aged Oak, Alpine Oak, American Oak, Antique Wood, Ashdown Oak, Aspen Oak, Basilica Salt, Basilica Shell, Berkswell Stone, Berwick Oak, Bianca Classic Marble, Black Burnished Metal, Blockley Stone, Blonde Oak, Bordeaux Oak, Brushed Oak, Buckingham Oak, Buxton Oak, Chargot Oak, Chateau Oak, Chatham Concrete, Chiltern Oak, Classic Oak, Classic Walnut, Clowes Oak, Coombe Stone, Cornish Oak, Crema Marfil, Cumbrian Slate, Dark Walnut, Darley Oak, Deptford Concrete, Diffusion Aloe, Diffusion Cashew, Diffusion Chambray, Diffusion Eve, Diffusion Husk, Diffusion Loam, Diffusion Lux, Diffusion Malt, Dockland Oak, Dry Teak, Dublin, Encaustic Jasper, Encaustic Kyanite, Encaustic Okra, Encaustic Storm, Exposed Concrete, Farmhouse Oak, French Oak, Fresh Oak, Friston Oak, Fumed Oak, Fused Birch, Glint Orb, Glint Void, Golden Oak, Graphite Slate, Grey Burnished Metal, Grigio Classic Marble, Grizedale Oak, Hackfall Oak, Halo Pine, Hamsterley Oak, Harbour Pine, Helsinki, Henley Oak, Honed Limestone Natural, Ilmington Stone, Kentmere Slate, Kirby Oak, Kura Anise, Kura Caraway, Kura Kala, Kura Opium, Laughton Oak, Light Cherry, Lime Washed Wood, Lock Oak, Malvern Oak, Manor Oak, Marlow Oak, Marrakech, Merbau, Mirabelle Creme, Modernist Frame, Modernist Spire, Modernist Vault, Napoli, Natural Limed Wood, Nero Classic Marble, Nomad Oak, Onyx Marble, Packwood Stone, Paris, Parisian Pine, Pearl Wash Wood, Priory Oak, Ratley Stone, Reclaimed Oak, Regency Walnut, Rio, Riverstone Tundra, Rosa Classic Marble, Rosewood, Rotterdam Oak, Russet Burnished Metal, Salted Oak, Sanctuary Grain, Sevilla, Shore Oak, Shottery Limestone, Sloane Concrete, Solar Pine, Stria Ash, Stria Basalt, Stria Rock, Stria Sediment, Stria Volcanic, Stucco Clay, Stucco Elk, Stucco Flax, Stucco Haze, Stucco Huckleberry, Stucco Indigo, Stucco Mist, Stucco Nutmeg, Stucco Opaline, Stucco Pebble, Stucco Putty, Stucco Quartz, Stucco Roselle, Tay Oak, Teak, Tempus Echo, Tempus Embrace, Tempus Harmony, Tempus Pause, Tempus Restore, Tempus Soothe, Tollymore Oak, Tortora Classic Marble, Toulouse Oak, Trace Kaolin, Trace Scree, Trevellas Oak, Tyne Concrete, Union Oak, Verbier Oak, Verde Classic Marble, Verdigris Burnished Metal, Versailles Oak, Waterloo Concrete, Wharf Oak, Wharncliffe Oak, Whinlatter Oak, White Oak, White Wash Wood, Whitley Stone, Wild Walnut, Wilmcote Limestone, Wilverley Oak, Woolwich Concrete, Worn Concrete, Worn Oak, Yarncliff Oak, York Oak",50.5,72.49166666666666,86.99,,,,Yes
RE45992AMT,Form Artisan Wood (915mm x 152mm),Amtico,Vinyl,LVT,2.5,2.5,152,915,"Amber Oak, Bergen Oak, Bister Oak, Boardwalk Oak, Bureau Oak, Burnished Timber, Carved Oak, Cottage Limed Wood, Cowrie Oak, Dimmet Oak, Drift Oak, Dusted Oak, Eventide Oak, Fawn Oak, Gotland Oak, Kalmar Oak, Native Grey Wood, Rural Oak, Seaboard Oak, Shell Oak, Skerry Oak, Strand Oak, Valley Oak",35.25,54.158333333333324,64.99,,,,Yes
RE30758AMT,Form Artisan Wood (1220mm x 185mm),Amtico,Vinyl,LVT,2.5,2,185,1220,"Amber Oak, Bergen Oak, Bister Oak, Boardwalk Oak, Bureau Oak, Burnished Timber, Carved Oak, Cottage Limed Wood, Cowrie Oak, Dimmet Oak, Drift Oak, Dusted Oak, Eventide Oak, Fawn Oak, Gotland Oak, Kalmar Oak, Native Grey Wood, Rural Oak, Seaboard Oak, Shell Oak, Skerry Oak, Strand Oak, Valley Oak",35.25,54.158333333333324,64.99,,,,Yes
RE80933AMT,Form Artisan Parquet (229mm x 76mm),Amtico,Vinyl,LVT,2.5,2.5,76,229,"Amber Oak, Bergen Oak, Bister Oak, Boardwalk Oak, Bureau Oak, Burnished Timber, Carved Oak, Cottage Limed Wood, Cowrie Oak, Dimmet Oak, Drift Oak, Dusted Oak, Eventide Oak, Fawn Oak, Gotland Oak, Kalmar Oak, Native Grey Wood, Rural Oak, Seaboard Oak, Shell Oak, Skerry Oak, Strand Oak, Valley Oak",35.25,54.158333333333324,64.99,,,,Yes
RE46824AMT,Form Artisan Parquet (457mm x 114mm),Amtico,Vinyl,LVT,2.5,2.5,114,457,"Amber Oak, Bergen Oak, Bister Oak, Boardwalk Oak, Bureau Oak, Burnished Timber, Carved Oak, Cottage Limed Wood, Cowrie Oak, Dimmet Oak, Drift Oak, Dusted Oak, Eventide Oak, Fawn Oak, Gotland Oak, Kalmar Oak, Native Grey Wood, Rural Oak, Seaboard Oak, Shell Oak, Skerry Oak, Strand Oak, Valley Oak",35.25,54.158333333333324,64.99,,,,Yes
RE78329AMT,Form Artisan Ceramic (610mm x 305mm),Amtico,Vinyl,LVT,2.5,2.61,305,610,"Sepia, Cinder, Tidal, Mineral, Crema, Opal",35.25,54.158333333333324,64.99,,,,Yes
RE67826AMT,Form Artisan Acoustic (915mm x 152mm),Amtico,Vinyl,LVT,2.5,2.5,152,915,"Amber Oak, Bergen Oak, Bister Oak, Boardwalk Oak, Bureau Oak, Burnished Timber, Carved Oak, Cottage Limed Wood, Cowrie Oak, Dimmet Oak, Drift Oak, Dusted Oak, Eventide Oak, Fawn Oak, Gotland Oak, Kalmar Oak, Native Grey Wood, Rural Oak, Seaboard Oak, Shell Oak, Skerry Oak, Strand Oak, Valley Oak",41.25,60.83333333333333,73.0,,,,Yes
RE66495AMT,Form Artisan Acoustic (1220mm x 185mm),Amtico,Vinyl,LVT,2.5,2,185,1220,"Amber Oak, Bergen Oak, Bister Oak, Boardwalk Oak, Bureau Oak, Burnished Timber, Carved Oak, Cottage Limed Wood, Cowrie Oak, Dimmet Oak, Drift Oak, Dusted Oak, Eventide Oak, Fawn Oak, Gotland Oak, Kalmar Oak, Native Grey Wood, Rural Oak, Seaboard Oak, Shell Oak, Skerry Oak, Strand Oak, Valley Oak",41.25,60.83333333333333,73.0,,,,Yes
RE40579AMT,Form Artisan Acoustic (229mm x 76mm),Amtico,Vinyl,LVT,2.5,2.5,76,229,"Amber Oak, Bergen Oak, Bister Oak, Boardwalk Oak, Bureau Oak, Burnished Timber, Carved Oak, Cottage Limed Wood, Cowrie Oak, Dimmet Oak, Drift Oak, Dusted Oak, Eventide Oak, Fawn Oak, Gotland Oak, Kalmar Oak, Native Grey Wood, Rural Oak, Seaboard Oak, Shell Oak, Skerry Oak, Strand Oak, Valley Oak",41.25,60.83333333333333,73.0,,,,Yes
RE70100AMT,Form Artisan Acoustic (457mm x 114mm),Amtico,Vinyl,LVT,2.5,2.5,114,457,"Amber Oak, Bergen Oak, Bister Oak, Boardwalk Oak, Bureau Oak, Burnished Timber, Carved Oak, Cottage Limed Wood, Cowrie Oak, Dimmet Oak, Drift Oak, Dusted Oak, Eventide Oak, Fawn Oak, Gotland Oak, Kalmar Oak, Native Grey Wood, Rural Oak, Seaboard Oak, Shell Oak, Skerry Oak, Strand Oak, Valley Oak",41.25,60.83333333333333,73.0,,,,Yes
RE78325AMT,Form Artisan Acoustic (610mm x 305mm),Amtico,Vinyl,LVT,2.5,2.61,305,610,"Sepia, Cinder, Tidal, Mineral, Crema, Opal",60.16,60.83333333333333,73.0,,,,Yes
RE52598AMT,Form Barrel Oak (1220.4mm x 177.8mm),Amtico,Vinyl,LVT,2.5,3.25,117.8,1220.4,"Barrel Oak Ashen, Barrel Oak Cotton, Barrel Oak Dune, Barrel Oak Grey, Barrel Oak Rye, Barrel Oak Sand, Barrel Oak Smoke",35.25,54.158333333333324,64.99,,,,Yes
RE42222AMT,Form Barrel Oak (1505mm x 235mm),Amtico,Vinyl,LVT,2.5,3.54,235,1505,"Barrel Oak Ashen, Barrel Oak Cotton, Barrel Oak Dune, Barrel Oak Grey, Barrel Oak Rye, Barrel Oak Sand, Barrel Oak Smoke",35.25,54.158333333333324,64.99,,,,Yes
RE38261AMT,Form Artisan Basket Weave (305mm x 75mm),Amtico,Vinyl,LVT,2.5,2.5,75,305,"Gotland Oak, Fawn Oak, Kalmar Oak, Cowrie Oak, Valley Oak, Rural Oak, Carved Oak",35.25,54.158333333333324,64.99,,,,Yes
RE99826AMT,Form Artisan Basket Weave (114mm x 114mm),Amtico,Vinyl,LVT,2.5,2.5,114,114,"Gotland Oak, Fawn Oak, Kalmar Oak, Cowrie Oak, Valley Oak, Rural Oak, Carved Oak",35.25,54.158333333333324,64.99,,,,Yes
RE82677AMT,Form Pavestone (305mm x 152mm),Amtico,Vinyl,LVT,2.5,2.5,152,305,"Sepia, Cinder, Tidal, Mineral, Crema",35.25,54.158333333333324,64.99,,,,Yes
RE94129AMT,Form Pavestone (305mm x 305mm),Amtico,Vinyl,LVT,2.5,2.5,305,305,"Sepia, Cinder, Tidal, Mineral, Crema",35.25,54.158333333333324,64.99,,,,Yes
RE32850AMT,Form Pavestone (457mm x 305mm),Amtico,Vinyl,LVT,2.5,2.5,305,457,"Sepia, Cinder, Tidal, Mineral, Crema",35.25,54.158333333333324,64.99,,,,Yes
RE28869AMT,Form Hex (176mm x 152mm),Amtico,Vinyl,LVT,2.5,1.81,152,176,"Sepia, Cinder, Tidal, Mineral, Crema, Opal",35.25,54.158333333333324,64.99,,,,Yes
RE16987AMT,Spacia Acoustic (915mm x 102mm),Amtico,Vinyl,LVT,2.5,1.86,102,915,"Black Walnut, Blackened Spa Wood, Bleached Elm, Canopy Oak, Coastal Pine, Credenza Oak, Drift Pine, Dry Cedar, Dusky Walnut, Eden Oak, Estuary Pine, Exotic Walnut, Featured Oak, Hampton Oak, Haven Oak, Honey Oak, Limed Wood Natural, New England Oak, Noble Oak, Nordic Oak, Pale Ash, Royal Oak, Rustic Barn Wood, Sash Oak, Scorched Timber, Sherwood Oak, Smoked Timber, Smoothbark Hickory, Sun Bleached Oak, Traditional Oak, Warm Maple, Weathered Oak, White Ash, White Maple, White Oak, Worn Ash, Mirus Cotton, Mirus Feather, Mirus Hemp",33.0,46.65833333333333,55.99,,,,Yes
RE92970AMT,Spacia Acoustic (1220mm x 185mm),Amtico,Vinyl,LVT,2.5,1.34,185,1220,"Black Walnut, Blackened Spa Wood, Bleached Elm, Canopy Oak, Carriage Oak, Coastal Pine, Credenza Oak, Drift Pine, Dry Cedar, Dusky Walnut, Eden Oak, Estuary Pine, Exotic Walnut, Featured Oak, Forge Oak, Granary Oak, Hampton Oak, Haven Oak, Honey Oak, Iced Oak, Limed Wood Natural, Malthouse Oak, Mulled Oak, Muted Oak, New England Oak, Noble Oak, Nordic Oak, Pale Ash, Powdered Oak, Royal Oak, Rustic Barn Wood, Sash Oak, Scorched Timber, Sherwood Oak, Smoked Timber, Smoothbark Hickory, Sun Bleached Oak, Traditional Oak, Urban Salvaged Timber, Warm Maple, Washed Salvaged Timber, Weathered Oak, White Ash, White Maple, White Oak, Worn Ash, Mirus Cotton, Mirus Feather, Mirus Hemp",33.0,46.65833333333333,55.99,,,,Yes
RE65634AMT,Spacia Stones (915mm x 102mm),Amtico,Vinyl,LVT,2.5,2.5,229,915,"Mirus Cotton, Mirus Feather, Mirus Hemp",26.9,46.65833333333333,55.99,,,,Yes
RE17307AMT,Spacia Stones (305mm x 305mm),Amtico,Vinyl,LVT,2.5,2.5,305,305,"Black Marble, Ceramic Dark, Ceramic Ecru, Ceramic Flint, Ceramic Frost, Ceramic Light, Ceramic Sable, Dry Stone Alba, Earth, Fairford Stone, Gallery Concrete, Gibson, Grey Marble, Highball, Horizon, Julep, Kingham Stone, Lichen, Limestone Cool, Linear Stone Shale, Mimosa, Monmouth Slate, Negroni, Pampas, Peak, Plaza Concrete, Rialto Concrete, Rose Marble, Salt, Sea, Sidecar, Snow, Stanton Stone, Villa Concrete, Vista, White Marble",26.9,38.325,45.99,,,,Yes
RE67255AMT,Spacia Stones (457mm x 305mm),Amtico,Vinyl,LVT,2.5,2.5,305,457,"Black Marble, Bronze, Century Concrete, Ceramic Dark, Ceramic Ecru, Ceramic Flint, Ceramic Frost, Ceramic Light, Ceramic Sable, Dry Stone Alba, Earth, Fairford Stone, Gallery Concrete, Grey Marble, Horizon, Kingham Stone, Lichen, Limestone Cool, Linear Stone Shale, Metropolis Ice, Metropolis Smoke, Monmouth Slate, Monument Concrete, Pampas, Peak, Plaza Concrete, Rialto Concrete, Rose Marble, Salt, Sea, Snow, Stanton Stone, Steel, Villa Concrete, Vista, White Marble, Zinc",26.9,38.325,45.99,,,,Yes
