SKU,Product,Manufacturer,Supplier,Category,Type,Material,Widths,Colours,Cost ex VAT,Sell ex VAT,Sell inc VAT,Twickenham,Richmond,Show on Website?,Discontinued?
CA13115ALT,AF Sisal Malay,Alternative Flooring,Alternative Flooring,Carpet,Sisal,100% Sisal,"4, 5","Beijing, Canton, Changan, Chen, Dragon Grass, Jin, Lhasa, Macau, Shanghai, Shaolin, Taiping, Tigers Eye, Tongli",28.22,48.33333333333333,58.0,,,Yes,
CA41238ALT,AF Sisal Metallics,Alternative Flooring,Alternative Flooring,Carpet,Sisal,100% Sisal,4,,49.17,74.16666666666667,89.0,,,Yes,Yes
CA14337ALT,AF Sisal Panama,Alternative Flooring,Alternative Flooring,Carpet,Sisal,100% Sisal,"4, 5","Donegal, Penwood, Pershore, Pilsbury",28.31,48.33333333333333,58.0,,,Yes,
CA90993ALT,AF Sisal Panama Acapulco,Alternative Flooring,Alternative Flooring,Carpet,Sisal,100% Sisal,4,,36.13,57.5,69.0,,,,
CA27692ALT,AF Sisal Super Boucle,Alternative Flooring,Alternative Flooring,Carpet,Sisal,100% Sisal,4,"Barton, Bodmin, Brancaster, Bulford",27.06,45.83333333333333,55.0,,,Yes,
CA43984ALT,AF Sisal Tweed,Alternative Flooring,Alternative Flooring,Carpet,Sisal,100% Sisal,4,"Tarvie, Tomatin",29.06,49.16666666666667,59.0,,,Yes,
CA75815ALT,AF Woosie Boucle,Alternative Flooring,Alternative Flooring,Carpet,Sisal,100% Sisal,4,"Winsome, Wistful",40.98,61.66666666666667,74.0,,,,
CA37644ALT,AF Woosie Check,Alternative Flooring,Alternative Flooring,Carpet,Sisal,100% Sisal,4,"Wild, Wonderful",40.98,61.66666666666667,74.0,,,,
CA62090ALT,AF Woosie Panama,Alternative Flooring,Alternative Flooring,Carpet,Sisal,100% Sisal,4,"Whimsical, Wise",40.98,61.66666666666667,74.0,,,,
CA16793ALT,Anywhere Boucle,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Polyproylene,4,"Caramel, Cocoa, Copper, Ice, Slate",24.49,42.79166666666667,51.35,,,Yes,
CA91956ALT,Anywhere Herringbone,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Polyproylene,4,"Caramel, Cocoa, Copper, Ice, Slate",24.49,44.16666666666667,53.0,,,,
CA27475ALT,Anywhere Panama,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Polyproylene,4,"Caramel, Cocoa, Copper, Ice, Slate",24.49,44.16666666666667,53.0,,,,
CA75988ALT,Anywhere Rope,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Polyproylene,4,"Grey, Limestone, Natural",24.49,44.16666666666667,53.0,,,,
CA31428ALT,Anywhere Shadow,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Polyproylene,4,"Cast, Umbria",24.49,44.16666666666667,53.0,,,,
CA72208ALT,Barefoot Ahstanga Silk,Alternative Flooring,Alternative Flooring,Carpet,Carpet,"70% Wool, 30% Rayon Silk","4, 5","Hero, Firefly, Crane",54.62,81.66666666666666,98.0,,Yes,,
CA19230ALT,Barefoot Bikram,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Undyed Wool,"4, 5","Chakra, Karma, Laya, Samsara, Tadasana, Janu",43.88,65.83333333333333,79.0,,Yes,Yes,
CA50186ALT,Barefoot Hatha,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Undyed Wool,"4, 5","Japa, Mantra, Sanskrit, Vedas, Linga, Karani",43.88,65.83333333333333,79.0,,Yes,,
CA16819ALT,Margo Selby Frolic,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Wool,4,"Minnis, Pegwell, Westbrook",42.37,63.33333333333333,76.0,,,Yes,
CA47164ALT,Margo Selby Rock,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Wool,4,"Lydden, Reculver, Shakespeare",42.37,63.33333333333333,76.0,,,Yes,
CA86103ALT,Margo Selby Sun,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Wool,4,"Seasalter, Shellness, Whitstable",42.37,63.33333333333333,76.0,,,,
CA61448ALT,Margo Selby Surf,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Wool,4,"Botany, Joss, Viking",42.37,63.33333333333333,76.0,,,,
CA31190ALT,No Bother Sisal Boucle,Alternative Flooring,Alternative Flooring,Carpet,Sisal,100% Sisal,"4, 5","Neatham, Netley, Norleywood, Nursling",27.88,47.5,57.0,,,Yes,
CA13022ALT,No Bother Sisal Super Boucle,Alternative Flooring,Alternative Flooring,Carpet,Sisal,100% Sisal,4,"Nether Wallop, Netherton, Newbridge, Northington",30.42,51.66666666666667,62.0,,,Yes,
CA35868ALT,Plush Sheer,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Polyamide,"4, 5",,52.44,78.33333333333333,94.0,,,,
CA32801ALT,Plush Stripe,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Polyamide,"4, 5","Agate, Aquamarine, Moonstone, Pearl, Sapphire, Topaz, ourmaline, White Jasper",52.44,78.33333333333333,94.0,,,,
CA84862ALT,Plush Velvet,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Polyamide,"4, 5","Agate, Aquamarine, Moonstone, Pearl, Sapphire, Topaz, Tourmaline, White Jasper",52.44,78.33333333333333,94.0,,,,
CA46008ALT,Quirky Ashley Hicks Daisy,Alternative Flooring,Alternative Flooring,Carpet,Carpet,"80% Wool, 20% Nylon",3.66,"Cosmos, Gerbera, Gloriosa",64.69,96.66666666666666,116.0,,,,
CA41480ALT,Quirky Ben Pentreath Cube,Alternative Flooring,Alternative Flooring,Carpet,Carpet,"80% Wool, 20% Nylon",3.66,,64.69,96.66666666666666,116.0,,,,
CA98808ALT,Quirky Ben Pentreath Deco,Alternative Flooring,Alternative Flooring,Carpet,Carpet,"80% Wool, 20% Nylon",3.66,,64.69,96.66666666666666,116.0,,,,
CA54668ALT,Quirky Ben Pentreath Lattice,Alternative Flooring,Alternative Flooring,Carpet,Carpet,"80% Wool, 20% Nylon",3.66,,64.69,96.66666666666666,116.0,,,,
CA95530ALT,Quirky Ben Pentreath Tetra,Alternative Flooring,Alternative Flooring,Carpet,Carpet,"80% Wool, 20% Nylon",3.66,,64.69,96.66666666666666,116.0,,,,
CA54153ALT,Quirky Geo,Alternative Flooring,Alternative Flooring,Carpet,Carpet,"80% Wool, 20% Nylon",3.66,"Black, Damson, Duck Egg, Grey",59.51,89.16666666666666,107.0,,,,
CA69689ALT,Quirky Honeycomb,Alternative Flooring,Alternative Flooring,Carpet,Carpet,"80% Wool, 20% Nylon",3.66,"Black, Duck Egg, Grey, Moss",59.51,89.16666666666666,107.0,,,,
CA78548ALT,Quirky Hot Herring,Alternative Flooring,Alternative Flooring,Carpet,Carpet,"80% Wool, 20% Nylon",3.66,"Ebony, Gray, Mocha, Ruby",59.51,89.16666666666666,107.0,,,,
CA38144ALT,Quirky Leopard,Alternative Flooring,Alternative Flooring,Carpet,Carpet,"80% Wool, 20% Nylon",3.66,"Java, Snow",59.51,89.16666666666666,107.0,,,,
CA90186ALT,Quirky Margo Selby Button,Alternative Flooring,Alternative Flooring,Carpet,Carpet,"80% Wool, 20% Nylon",3.66,"Black, Grey",64.69,96.66666666666666,116.0,,,,
CA50488ALT,Quirky Margo Selby Fair Isle,Alternative Flooring,Alternative Flooring,Carpet,Carpet,"80% Wool, 20% Nylon",3.66,"Annie, Reiko, Sutton",64.69,96.66666666666666,116.0,,,,
CA35908ALT,Quirky Margo Selby Patch,Alternative Flooring,Alternative Flooring,Carpet,Carpet,"80% Wool, 20% Nylon",3.66,"Blue, Red",64.69,96.66666666666666,116.0,,,,
CA32304ALT,Quirky Margo Selby Ribbon,Alternative Flooring,Alternative Flooring,Carpet,Carpet,"80% Wool, 20% Nylon",3.66,"Black, Magenta",64.69,96.66666666666666,116.0,,,,
CA77536ALT,Quirky Margo Selby Shuttle,Alternative Flooring,Alternative Flooring,Carpet,Carpet,"80% Wool, 20% Nylon",3.66,"Jack, Peter, Silas",64.69,96.66666666666666,116.0,,,,
CA63134ALT,Quirky Spotty,Alternative Flooring,Alternative Flooring,Carpet,Carpet,"80% Wool, 20% Nylon",3.66,"Black, Damson, Duck Egg, Grey Patterned, Red",59.51,89.16666666666666,107.0,,,,
CA26164ALT,Quirky Tartan,Alternative Flooring,Alternative Flooring,Carpet,Carpet,"80% Wool, 20% Nylon",3.66,"Gallant Weaver, Mountain Daisy, Red Red Rose, Silver Tassie, Tam O'Shanter, To a Mouse",59.51,89.16666666666666,107.0,,,,
CA64312ALT,Quirky Zebo,Alternative Flooring,Alternative Flooring,Carpet,Carpet,"80% Wool, 20% Nylon",3.66,"Black, Grey, Moss",59.51,89.16666666666666,107.0,,,,
CA24255ALT,Rock 'n' Roll,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Wool,4,"Back in Black, London Calling, Moondance, Mr Blue Sky, Parklife, Perfect Day, Respect, Tainted Love",38.5,61.66666666666667,74.0,,,Yes,
CA77361ALT,Wool Berber,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Wool,"4, 5","Tawny, Boreal, Marsh, Omani, Sunda, Spruce, Buru, Palau",27.9,47.5,57.0,,,,
CA39898ALT,Wool Croft,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Wool,"4, 5","Arran, Islay, Jura, Skye, Iona, Kilda, Stronsay",36.41,58.33333333333333,70.0,,,,
CA20671ALT,Wool Herringbone,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Wool,"4, 5","Button, Morel, Mushroom, Natural, Portabella",30.13,50.83333333333333,61.0,,,,
CA69645ALT,Wool Hygge Fika,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Wool,"4, 5","Earl Grey, Kaffe, Kakao, Mokka, Warm Milk",27.41,46.66666666666667,56.0,,,,
CA52869ALT,Wool Hygge Koselig,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Wool,"4, 5","Earl Grey, Kaffe, Kakao, Mokka, Warm Milk",27.41,46.66666666666667,56.0,,,,
CA45624ALT,Wool Hygge Sisu,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Wool,"4, 5","Earl Grey, Kaffe, Kakao, Mokka, Warm Milk",27.41,46.66666666666667,56.0,,,,
CA11892ALT,Wool Iconic Chevron,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Wool,"4, 5","Brooklyn, Helix, Rialto, Tower",41.17,61.66666666666667,74.0,,,Yes,
CA20058ALT,Wool Iconic Herringbone,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Wool,4,"Brando, Coburn, Dean, Fonda, Gable, Grant, Heston, Newman, Niro, Niven, Pacino",41.17,61.66666666666667,74.0,,,Yes,
CA29981ALT,Wool Iconic Herringstripe,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Wool,4,"Arova, Behrs, Devi, Fonteyn, Mamaki, Nerina",41.17,61.66666666666667,74.0,,,,
CA14312ALT,Wool Knot,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Wool,"4, 5","Arbor, Lariat, Reef, Snuggle, Timber",41.1,61.66666666666667,74.0,,,Yes,
CA13214ALT,Wool Milkshake,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Wool,"4, 5","Blueberry, Coconut, Marshmallow, Peanut, Raspberry, Rhubarb, Vanilla",41.38,61.66666666666667,74.0,,,Yes,
CA60034ALT,Wool Motown,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Wool,"4, 5","Brenda, Diana, Florence, Gladys, Mable, Martha, Mary, Tammi, Thelma, Valerie",34.77,59.16666666666667,71.0,,,,
CA11326ALT,Wool Pebble,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Wool,4,"Alby, Birdling, Brighton, Omaha, Portloe",53.91,80.83333333333334,97.0,,,Yes,
CA59746ALT,Wool Rhythm,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Wool,4,"Antoine, Chester, Curtis, Ellas, Louis, Luther, Marvin, Otis, Ray, Riley, Temptation",34.77,59.16666666666667,71.0,,,,
CA54639ALT,Wool Rib,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Wool,"4, 5","Ash, Cedar, Elm, Grey Oak, Hornbeam, Maple, Scandi Pine, Silver Birch",22.49,40.83333333333333,49.0,,,,
CA59298ALT,Wool Skein,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Wool,"4, 5","Adler, Brant, Embden, Landes, Swan, Tula",24.3,43.33333333333333,52.0,,,,
CA13611ALT,Wool Tipple,Alternative Flooring,Alternative Flooring,Carpet,Carpet,100% Wool,"4, 5","Amaro, Aurum, Galliano, Kahlua, Mesi, Moonshine, Prunelle",33.51,56.66666666666667,68.0,,,Yes,
CA91217ART,Alora,Artisan Luxury Flooring,Artisan Luxury Flooring,Carpet,Carpet,100% Nylon,4,"Amaro, Cadini, Capanne, Cervati, Cresto, Grivola, Sirente, Solaro, Stromboli, Velino, Vulcano",69.95,105.0,126.0,,,,
CA45860ART,Eleganza,Artisan Luxury Flooring,Artisan Luxury Flooring,Carpet,Carpet,100% Polyester,"4, 5","Avena, Balena, Bianco, Nebbia, Nero, Panna, Zanna",20.95,37.5,45.0,Yes,Yes,Yes,
CA86482ART,Lusso,Artisan Luxury Flooring,Artisan Luxury Flooring,Carpet,Carpet,100% Nylon,"4, 5","Alessia, Cristina, Elenora, Eva, Fabiana, Francesca, Lucia, Maria, Mia, Serafina, Stella",44.95,67.5,81.0,Yes,Yes,Yes,
CA25381ART,Seta,Artisan Luxury Flooring,Artisan Luxury Flooring,Carpet,Carpet,100% Nylon,"4, 5","Florence, Genoa, Milan, Modena, Monza, Naples, Parma, Roma, Venice, Verona",25.99,44.16666666666667,53.0,Yes,Yes,Yes,
CA76431ASS,AWs California Dreams,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Nylon,"4, 5","New 03, New 10, New 26, New 29, New 36, New 39, New 40, New 49, New 67, New 88, New 90, New 94",18.74725,37.5,45.0,,,,
CA73578ASS,AWs Gladiator,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Polypropylene,"4, 5","28, 96, 98, 80, 33, 39, 93, 99, 92, 77",8.20725,16.666666666666668,20.0,,,,
CA49849ASS,AWs Island Weave [Rolls Only],Associated Weavers,Associated Weavers,Carpet,Carpet,100% Polypropylene,"4, 5","Orkney 03 Portland Stone, Orkney 04 Silk Grey, Orkney 32 Eggshell, Orkney 50 Crystal Gold, Orkney 53 Glace Sand, Orkney 91 Platinum, Orkney 92 Slate, Orkney 96 Graphite, Skye 03 Portland Stone, Skye 04 Silk Grey, Skye 32 Eggshell, Skye 50 Crystal Gold, Skye 53 Glace Sand, Skye 91 Platinum, Skye 92 Slate, Skye 96 Graphite",6.19225,12.5,15.0,,,,
CA62180ASS,AWs Promenade,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Polypropylene,"3, 4, 5","05 Cornflower White, 07 Silver, 09 Steel, 29 Linden, 30 Portland Stone, 32 Clevertone, 34 Mellow Mocha, 39 Basswood, 75 Shadow Grey, 90 Cashmere, 91 Ocean Mist, 93 Rockyslope, 95 Canvas, 99 Lamp Black",11.4855,23.333333333333336,28.0,,,,
CA53203ASS,AWs Sophistication,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Polypropylene,"3, 4, 5","05, 07, 09, 30, 31, 41, 45, 62, 75, 76, 90, 91, 95, 99",13.83375,27.5,33.0,,,,
CA82045ASS,AWs Stainaway Harvest Heathers,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Polypropylene,"3, 4, 5","04, 06, 31, 33, 34, 42, 44, 47, 48, 90, 91, 95, 98, 99",9.61,19.166666666666668,23.0,,,,
CA73742ASS,AWs Stainaway Tweed,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Polypropylene,"3, 4, 5","24, 32, 35, 42, 48, 50, 78, 92, 93, 94, 96, 97",13.12075,25.833333333333336,31.0,,,,
CA45948ASS,AWs Stainguard Harvest Heathers,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Polypropylene,"3, 4, 5","04, 06, 31, 33, 34, 42, 44, 47, 48, 90, 91, 95, 98, 99",11.4855,23.333333333333336,28.0,,,,
CA49504ASS,AWs Temptation,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Polypropylene,"3, 4, 5","03, 07, 09, 30, 32, 34, 35, 39, 46, 47, 59, 72, 90, 91, 94, 96",15.934,31.666666666666664,38.0,,,,
CA76864ASS,AWs Tuftex [Rolls Only],Associated Weavers,Associated Weavers,Carpet,Carpet,100% Polypropylene,"4, 5","03, 07, 09, 30, 32, 34, 35, 39, 45, 46, 47, 53, 59, 72, 90, 91, 92, 94, 95, 96",6.78125,13.333333333333332,16.0,,,,
CA62218ASS,AWs Ultimate Harvest Heathers,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Polypropylene,"3, 4, 5","04, 06, 31, 33, 34, 42, 44, 47, 48, 90, 91, 95, 98, 99",16.182,32.5,39.0,,,,
CA47852ASS,Gaia Dorado,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Micro Polyester,"4, 5","27 - Sage Green, 30 - Blanched Almond, 33 - Doeskin, 35 - Barbados, 40 - Attic, 49 - Safari, 75 - Juniper Ash, 82 - Buff, 90 - Silver Moon, 91 - Pearl, 92 - Morning Mist, 95 - Shoreline, 98 - Baltic Sea, 99 - Raven",15.86,31.666666666666664,38.0,,Yes,,
CA77211ASS,Gaia Ganges,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Micro Polyester,"4, 5","20 - Canopy Green, 30 - Sand Tan, 32 - Spanish Olive, 33 - Bathstone, 35 - Teddy Bear, 37 - Rolling Fog, 49 - London Roof, 74 - Goa, 90 - Iron Grey, 94 - Chimney Smoke, 95 - Wren Feather, 97 - Amsterdam Grey, 98 - Graphite, 99 - Blackjack",10.7725,21.666666666666664,26.0,,,,
CA93188ASS,Gaia Indus,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Micro Polyester,"4, 5","40 - Attic, 49 - Safari, 27 - Sage Green, 30 - Blanched Almond, 33 - Doeskin, 35 - Barbados, 75 - Juniper Ash, 82 - Buff, 90 - Silver Moon, 91 - Pearl, 92 - Morning Mist, 95 - Shoreline, 98 - Baltic Sea, 99 - Raven",14.99625,30.0,36.0,,,,
