SKU,Product,Manufacturer,Supplier,Category,Type,Cost ex VAT,Sell ex VAT,Sell inc VAT,Notes,Discontinued?
AN51148CAT,Standard Door Bar - Silver - Double (900 mm),CAT,Ballister,Ancillaries,Profile,1.92,6.67,8.004,,
AN51408CAT,CAT Solid Brass - Antique Brass -  Z-Section (900 mm),CAT,Ballister,Ancillaries,Profile,30.83,54.17,65.004,,
AN52153CAT,AR6 SF 6mm Ramp - Brushed Stainless (2715 mm),CAT,Ballister,Ancillaries,Profile,28.01,87.5,105.0,,
AN52892CAT,CAT Designer Home - Bright - Z-Section (A/10) (2715 mm),CAT,Ballister,Ancillaries,Profile,41.54,65.83,78.996,,
AN54913CAT,CAT Designer Home - Satin - Double (A/9/2) (900 mm),CAT,Ballister,Ancillaries,Profile,15.47,24.17,29.004,,
AN54983CAT,Feline BNF Single Profile - Satin Chrome (900 mm),CAT,Ballister,Ancillaries,Profile,23.66,40.83,48.995999999999995,,
AN55690CAT,CAT Designer Home - Pewter - Z-Section (A/10) (2715 mm),CAT,Ballister,Ancillaries,Profile,41.54,65.83,78.996,,
AN55887CAT,FAB 2 Twin Top / Double Leg Carpet Trim - Satin Brass (900 mm),CAT,Ballister,Ancillaries,Profile,14.89,45.83,54.995999999999995,,
AN57296CAT,AR6 SF 6mm Ramp - Onyx (900 mm),CAT,Ballister,Ancillaries,Profile,9.33,35.0,42.0,,
AN58072CAT,CAT Solid Brass - Satin Brass - Double (2715 mm),CAT,Ballister,Ancillaries,Profile,87.16,145.83,174.996,,
AN58234CAT,CAT Designer Home - Onyx - Z-Section (A/10) (900 mm),CAT,Ballister,Ancillaries,Profile,13.84,24.17,29.004,,
AN58918CAT,CAT Solid Brass - Polished Brass - Double (2715 mm),CAT,Ballister,Ancillaries,Profile,87.16,145.83,174.996,,
AN59190CAT,AC38 SF Cover Plate - Designer Satin (900 mm),CAT,Ballister,Ancillaries,Profile,9.99,35.0,42.0,,
AN59359CAT,CAT Solid Brass - Polished Brass - Single (2715 mm),CAT,Ballister,Ancillaries,Profile,47.57,104.17,125.00399999999999,,
AN59520CAT,FAB 1 Twin Top Single Leg Carpet Trim - Satin Brass (900 mm),CAT,Ballister,Ancillaries,Profile,13.46,45.83,54.995999999999995,,
AN60438CAT,CAT Designer Home - Light Bronze - Z-Section (A/10) (2715 mm),CAT,Ballister,Ancillaries,Profile,41.54,65.83,78.996,,
AN61875CAT,Standard Door Bar - Silver - Z-Section (900 mm),CAT,Ballister,Ancillaries,Profile,1.92,6.67,8.004,,
AN62720CAT,AR6 SF 6mm Ramp - Bronze (2715 mm),CAT,Ballister,Ancillaries,Profile,28.01,87.5,105.0,,
AN62880CAT,CAT Designer Home - Piano Black - Z-Section (A/10) (900 mm),CAT,Ballister,Ancillaries,Profile,13.84,24.17,29.004,,Yes
AN63401CAT,CAT Solid Brass - Polished Brass -  Z-Section (2715 mm),CAT,Ballister,Ancillaries,Profile,86.76,145.83,174.996,,
AN63745CAT,Standard Door Bar - Silver - Double (2715 mm),CAT,Ballister,Ancillaries,Profile,5.04,17.5,21.0,,
AN64455CAT,Standard Door Bar - Silver - Single (900 mm),CAT,Ballister,Ancillaries,Profile,1.92,6.67,8.004,,
AN64605CAT,FAB 1 Twin Top Single Leg Carpet Trim - Satin Chrome (900 mm),CAT,Ballister,Ancillaries,Profile,16.44,45.83,54.995999999999995,,
AN65076CAT,CAT Designer Home - Brushed Stainless - Double (A/9/2) (2715 mm),CAT,Ballister,Ancillaries,Profile,46.44,65.83,78.996,,
AN65169CAT,FAB 2 Twin Top / Double Leg Carpet Trim - Polished Brass (900 mm),CAT,Ballister,Ancillaries,Profile,14.89,45.83,54.995999999999995,,
AN66646CAT,CAT Designer Home - Onyx - Single (ANF) (2715 mm),CAT,Ballister,Ancillaries,Profile,30.02,65.83,78.996,,
AN66648CAT,FAB 1 Twin Top Single Leg Carpet Trim - Antique Brass (900 mm),CAT,Ballister,Ancillaries,Profile,13.46,45.83,54.995999999999995,,
AN67309CAT,CAT Solid Brass - Polished Brass - Double (900 mm),CAT,Ballister,Ancillaries,Profile,31.75,54.17,65.004,,
AN67396CAT,AR6 SF 6mm Ramp - Pewter (900 mm),CAT,Ballister,Ancillaries,Profile,9.33,35.0,42.0,,
AN67800CAT,FAB 1 Twin Top Single Leg Carpet Trim - Polished Brass (900 mm),CAT,Ballister,Ancillaries,Profile,13.46,45.83,54.995999999999995,,
AN68018CAT,AC38 SF Cover Plate - Light Bronze (900 mm),CAT,Ballister,Ancillaries,Profile,9.99,35.0,42.0,,
AN68037CAT,AR6 SF 6mm Ramp - Bronze (900 mm),CAT,Ballister,Ancillaries,Profile,9.33,35.0,42.0,,
AN68656CAT,AC38 SF Cover Plate - Piano Black (2715 mm),CAT,Ballister,Ancillaries,Profile,29.96,87.5,105.0,,Yes
AN71216CAT,AR6 SF 6mm Ramp - Light Bronze (900 mm),CAT,Ballister,Ancillaries,Profile,9.33,35.0,42.0,,
AN71483CAT,Feline BNF Single Profile - Antique Bronze (900 mm),CAT,Ballister,Ancillaries,Profile,15.07,40.83,48.995999999999995,,
AN72407CAT,CAT Designer Home - Piano Black - Single (ANF) (900 mm),CAT,Ballister,Ancillaries,Profile,10.01,24.17,29.004,,Yes
AN72896CAT,AC38 SF Cover Plate - Pewter (2715 mm),CAT,Ballister,Ancillaries,Profile,29.96,87.5,105.0,,
AN74898CAT,FAB 2 Twin Top / Double Leg Carpet Trim - Antique Brass (900 mm),CAT,Ballister,Ancillaries,Profile,14.89,45.83,54.995999999999995,,
AN74911CAT,FAB 2 Twin Top / Double Leg Carpet Trim - Chrome (900 mm),CAT,Ballister,Ancillaries,Profile,21.63,45.83,54.995999999999995,,
AN75551CAT,CAT Designer Home - Piano Black - Double (A/9/2) (900 mm),CAT,Ballister,Ancillaries,Profile,15.47,24.17,29.004,,Yes
AN75580CAT,AR6 SF 6mm Ramp - Onyx (2715 mm),CAT,Ballister,Ancillaries,Profile,28.01,87.5,105.0,,
AN77107CAT,AC38 SF Cover Plate - Onyx (900 mm),CAT,Ballister,Ancillaries,Profile,9.99,35.0,42.0,,
AN78867CAT,AC38 SF Cover Plate - Onyx (2715 mm),CAT,Ballister,Ancillaries,Profile,29.96,87.5,105.0,,
AN79183CAT,CAT Designer Home - Bronze - Double (A/9/2) (900 mm),CAT,Ballister,Ancillaries,Profile,15.47,24.17,29.004,,
AN79412CAT,CAT Designer Home - Pewter - Single (ANF) (900 mm),CAT,Ballister,Ancillaries,Profile,10.01,24.17,29.004,,
AN80803CAT,CAT Solid Brass - Antique Brass - Single (2715 mm),CAT,Ballister,Ancillaries,Profile,47.92,104.17,125.00399999999999,,
AN80915CAT,CAT Designer Home - Bronze - Single (ANF) (900 mm),CAT,Ballister,Ancillaries,Profile,10.01,24.17,29.004,,
AN82033CAT,AR6 SF 6mm Ramp - Satin Bright (2715 mm),CAT,Ballister,Ancillaries,Profile,28.01,87.5,105.0,,
AN82260CAT,AR3 SF 3mm Ramp - Brushed Stainless (2715 mm),CAT,Ballister,Ancillaries,Profile,28.01,87.5,105.0,,
AN82455CAT,CAT Designer Home - Bronze - Z-Section (A/10) (900 mm),CAT,Ballister,Ancillaries,Profile,13.84,24.17,29.004,,
AN83110CAT,CAT Designer Home - Onyx - Single (ANF) (900 mm),CAT,Ballister,Ancillaries,Profile,10.01,24.17,29.004,,
AN83193CAT,CAT Designer Home - Light Bronze - Single (ANF) (2715 mm),CAT,Ballister,Ancillaries,Profile,30.02,65.83,78.996,,
AN83442CAT,AC38 SF Cover Plate - Satin Bright (900 mm),CAT,Ballister,Ancillaries,Profile,9.99,35.0,42.0,,
AN83553CAT,CAT Designer Home - Pewter - Double (A/9/2) (900 mm),CAT,Ballister,Ancillaries,Profile,15.47,24.17,29.004,,
AN85156CAT,AC38 SF Cover Plate - Bronze (900 mm),CAT,Ballister,Ancillaries,Profile,9.99,35.0,42.0,,
AN85893CAT,AR6 SF 6mm Ramp - Designer Satin (900 mm),CAT,Ballister,Ancillaries,Profile,9.33,35.0,42.0,,
AN87432CAT,AC38 SF Cover Plate - Light Bronze (2715 mm),CAT,Ballister,Ancillaries,Profile,29.96,87.5,105.0,,
AN87775CAT,CAT Solid Brass - Antique Brass -  Z-Section(2715 mm),CAT,Ballister,Ancillaries,Profile,88.16,145.83,174.996,,
AN88004CAT,CAT Designer Home - Pewter - Double (A/9/2) (2715 mm),CAT,Ballister,Ancillaries,Profile,46.44,65.83,78.996,,
AN90938CAT,CAT Designer Home - Pewter - Single (ANF) (2715 mm),CAT,Ballister,Ancillaries,Profile,30.02,65.83,78.996,,
AN91278CAT,AR6 SF 6mm Ramp - Light Bronze (2715 mm),CAT,Ballister,Ancillaries,Profile,28.01,87.5,105.0,,
AN91449CAT,CAT Designer Home - Brushed Stainless - Single (ANF) (900 mm),CAT,Ballister,Ancillaries,Profile,10.01,24.17,29.004,,
AN92063CAT,Feline Z Profile - Chrome (900 mm),CAT,Ballister,Ancillaries,Profile,41.27,52.08,62.495999999999995,,
AN92225CAT,AC38 SF Cover Plate - Pewter (900 mm),CAT,Ballister,Ancillaries,Profile,9.99,35.0,42.0,,
AN92482CAT,CAT Designer Home - Pewter - Z-Section (A/10) (900 mm),CAT,Ballister,Ancillaries,Profile,13.84,24.17,29.004,,
AN92643CAT,AR3 SF 3mm Ramp - Piano Black (900 mm),CAT,Ballister,Ancillaries,Profile,9.33,35.0,42.0,,Yes
AN92761CAT,FAB 2 Twin Top / Double Leg Carpet Trim - Antique Bronze (900 mm),CAT,Ballister,Ancillaries,Profile,14.89,45.83,54.995999999999995,,
AN94006CAT,CAT Designer Home - Piano Black - Z-Section (A/10) (2715 mm),CAT,Ballister,Ancillaries,Profile,41.54,65.83,78.996,,Yes
AN94225CAT,Feline Double Profile - Satin Chrome (900 mm),CAT,Ballister,Ancillaries,Profile,41.37,52.08,62.495999999999995,,
