Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA31963ULS,Ulster,Habitus Strond Sail (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA32141ULS,Ulster,Habitus Strond Sail (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA25433ULS,Ulster,Habitus Strond Shoal (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA52442ULS,Ulster,Habitus Strond Shoal (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA79730ULS,Ulster,Habitus Strond Shoal (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA43548ULS,Ulster,Habitus Strond Shoal (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA50927ULS,Ulster,Habitus Strond Shoal (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA51422ULS,Ulster,Habitus Strond Shore (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA76315ULS,Ulster,Habitus Strond Shore (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA44524ULS,Ulster,Habitus Strond Shore (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA30236ULS,Ulster,Habitus Strond Shore (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA99657ULS,Ulster,Habitus Strond Shore (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA90320ULS,Ulster,Open Spaces Auckland Anvil (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA97338ULS,Ulster,Open Spaces Auckland Anvil (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA51540ULS,Ulster,Open Spaces Auckland Anvil (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA44686ULS,Ulster,Open Spaces Auckland Anvil (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA61599ULS,Ulster,Open Spaces Auckland Anvil (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA19336ULS,Ulster,Open Spaces Auckland Calico (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA12530ULS,Ulster,Open Spaces Auckland Calico (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA12478ULS,Ulster,Open Spaces Auckland Calico (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA93524ULS,Ulster,Open Spaces Auckland Calico (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA31059ULS,Ulster,Open Spaces Auckland Calico (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA95023ULS,Ulster,Open Spaces Auckland Coast (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA30676ULS,Ulster,Open Spaces Auckland Coast (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA97397ULS,Ulster,Open Spaces Auckland Coast (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA66563ULS,Ulster,Open Spaces Auckland Coast (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA69708ULS,Ulster,Open Spaces Auckland Coast (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA69418ULS,Ulster,Open Spaces Auckland Concrete (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA28237ULS,Ulster,Open Spaces Auckland Concrete (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA24238ULS,Ulster,Open Spaces Auckland Concrete (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA95000ULS,Ulster,Open Spaces Auckland Concrete (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA41847ULS,Ulster,Open Spaces Auckland Concrete (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA11529ULS,Ulster,Open Spaces Auckland Driftwood (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA90966ULS,Ulster,Open Spaces Auckland Driftwood (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA90176ULS,Ulster,Open Spaces Auckland Driftwood (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA16348ULS,Ulster,Open Spaces Auckland Driftwood (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA87712ULS,Ulster,Open Spaces Auckland Driftwood (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA15589ULS,Ulster,Open Spaces Auckland Ermine (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA58081ULS,Ulster,Open Spaces Auckland Ermine (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA82607ULS,Ulster,Open Spaces Auckland Ermine (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA25121ULS,Ulster,Open Spaces Auckland Ermine (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA91507ULS,Ulster,Open Spaces Auckland Ermine (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA84532ULS,Ulster,Open Spaces Auckland Glint (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA71342ULS,Ulster,Open Spaces Auckland Glint (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA68689ULS,Ulster,Open Spaces Auckland Glint (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA20703ULS,Ulster,Open Spaces Auckland Glint (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA64778ULS,Ulster,Open Spaces Auckland Glint (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA87922ULS,Ulster,Open Spaces Auckland Grayling (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA41269ULS,Ulster,Open Spaces Auckland Grayling (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA99314ULS,Ulster,Open Spaces Auckland Grayling (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA46387ULS,Ulster,Open Spaces Auckland Grayling (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA58067ULS,Ulster,Open Spaces Auckland Grayling (5 M),,,5.0,28.5,55.0,Carpet,Wool,
CA80151ULS,Ulster,Open Spaces Auckland Hammock (1 M),,,1.0,28.5,55.0,Carpet,Wool,
CA73270ULS,Ulster,Open Spaces Auckland Hammock (2 M),,,2.0,28.5,55.0,Carpet,Wool,
CA54279ULS,Ulster,Open Spaces Auckland Hammock (3 M),,,3.0,28.5,55.0,Carpet,Wool,
CA31862ULS,Ulster,Open Spaces Auckland Hammock (4 M),,,4.0,28.5,55.0,Carpet,Wool,
CA95189ULS,Ulster,Open Spaces Auckland Hammock (5 M),,,5.0,28.5,55.0,Carpet,Wool,
