Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA93375CRU,Crucial Trading,CT Sisal Big Boucle Classics Coco E313 (4 M),CT Sisal Big Boucle Classics,Coco E313,4.0,27.76,57.0,Carpet,Sisal,
CA87559CRU,Crucial Trading,CT Sisal Big Boucle Classics Corn E312 (4 M),CT Sisal Big Boucle Classics,Corn E312,4.0,27.76,57.0,Carpet,Sisal,
CA19493CRU,Crucial Trading,CT Sisal Divine Golden Sands SD106 (4 M),CT Sisal Divine,Golden Sands SD106,4.0,61.41,111.0,Carpet,Sisal,
CA15067CRU,Crucial Trading,CT Sisal Divine Grey Pearl SD101 (4 M),CT Sisal Divine,Grey Pearl SD101,4.0,61.41,111.0,Carpet,Sisal,
CA36939CRU,Crucial Trading,CT Sisal Divine Morning Frost SD100 (4 M),CT Sisal Divine,Morning Frost SD100,4.0,61.41,111.0,Carpet,Sisal,
CA79348CRU,Crucial Trading,CT Sisal Divine Rich Caramel SD103 (4 M),CT Sisal Divine,Rich Caramel SD103,4.0,61.41,111.0,Carpet,Sisal,
CA83709CRU,Crucial Trading,CT Sisal Divine Roasted Coffee SD104 (4 M),CT Sisal Divine,Roasted Coffee SD104,4.0,61.41,111.0,Carpet,Sisal,
CA69851CRU,Crucial Trading,CT Sisal Divine Sandstone SD105 (4 M),CT Sisal Divine,Sandstone SD105,4.0,61.41,111.0,Carpet,Sisal,
CA74701CRU,Crucial Trading,CT Sisal Divine Soft Praline SD102 (4 M),CT Sisal Divine,Soft Praline SD102,4.0,61.41,111.0,Carpet,Sisal,
CA78482CRU,Crucial Trading,CT Sisal Grand Herringbone Chestnut GH101 (4 M),CT Sisal Grand Herringbone,Chestnut GH101,4.0,51.4,93.0,Carpet,Sisal,
CA37063CRU,Crucial Trading,CT Sisal Grand Herringbone Fossil GH105 (4 M),CT Sisal Grand Herringbone,Fossil GH105,4.0,51.4,93.0,Carpet,Sisal,
CA19669CRU,Crucial Trading,CT Sisal Grand Herringbone Golden Sands GH103 (4 M),CT Sisal Grand Herringbone,Golden Sands GH103,4.0,51.4,93.0,Carpet,Sisal,
CA70364CRU,Crucial Trading,CT Sisal Grand Herringbone Light Ash GH102 (4 M),CT Sisal Grand Herringbone,Light Ash GH102,4.0,51.4,93.0,Carpet,Sisal,
CA79226CRU,Crucial Trading,CT Sisal Grand Herringbone Pearl GH104 (4 M),CT Sisal Grand Herringbone,Pearl GH104,4.0,51.4,93.0,Carpet,Sisal,
CA72574CRU,Crucial Trading,CT Sisal Grand Herringbone Praline GH100 (4 M),CT Sisal Grand Herringbone,Praline GH100,4.0,51.4,93.0,Carpet,Sisal,
CA27465CRU,Crucial Trading,CT Sisal Grand Oriental Cinder Grey GO803 (4 M),CT Sisal Grand Oriental,Cinder Grey GO803,4.0,52.46,94.0,Carpet,Sisal,
CA63297CRU,Crucial Trading,CT Sisal Grand Oriental Dark Skies GO800 (4 M),CT Sisal Grand Oriental,Dark Skies GO800,4.0,52.46,94.0,Carpet,Sisal,
CA68776CRU,Crucial Trading,CT Sisal Grand Oriental Fresh Mist GO802 (4 M),CT Sisal Grand Oriental,Fresh Mist GO802,4.0,52.46,94.0,Carpet,Sisal,
CA42191CRU,Crucial Trading,CT Sisal Grand Oriental Rich Caramel GO801 (4 M),CT Sisal Grand Oriental,Rich Caramel GO801,4.0,52.46,94.0,Carpet,Sisal,
CA13718CRU,Crucial Trading,CT Sisal Harmony Boucle Dusty Stone HB264 (5 M),CT Sisal Harmony Boucle,Dusty Stone HB264,5.0,22.4,48.0,Carpet,Sisal,
CA70143CRU,Crucial Trading,CT Sisal Harmony Boucle Elegant Iron HB260 (5 M),CT Sisal Harmony Boucle,Elegant Iron HB260,5.0,22.4,48.0,Carpet,Sisal,
CA52544CRU,Crucial Trading,CT Sisal Harmony Boucle Fresh Silver HB261 (5 M),CT Sisal Harmony Boucle,Fresh Silver HB261,5.0,22.4,48.0,Carpet,Sisal,
CA69755CRU,Crucial Trading,CT Sisal Harmony Boucle Gentle Fawn HB265 (5 M),CT Sisal Harmony Boucle,Gentle Fawn HB265,5.0,22.4,48.0,Carpet,Sisal,
CA63058CRU,Crucial Trading,CT Sisal Harmony Boucle Light Caramel HB255 (5 M),CT Sisal Harmony Boucle,Light Caramel HB255,5.0,22.4,48.0,Carpet,Sisal,
CA94382CRU,Crucial Trading,CT Sisal Harmony Boucle Moon Frost HB257 (5 M),CT Sisal Harmony Boucle,Moon Frost HB257,5.0,22.4,48.0,Carpet,Sisal,
