Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA40527WES,Westex,Barrington Loop Rum And Raisin (1 M),Barrington Loop,Rum And Raisin,1.0,35.03,65.0,Carpet,Wool,
CA19761WES,Westex,Barrington Loop Rum And Raisin (3.66 M),Barrington Loop,Rum And Raisin,3.66,35.03,65.0,Carpet,Wool,
CA61259WES,Westex,Barrington Loop Rum And Raisin (4 M),Barrington Loop,Rum And Raisin,4.0,35.03,65.0,Carpet,Wool,
CA70814WES,Westex,Barrington Loop Rum And Raisin (4.57 M),Barrington Loop,Rum And Raisin,4.57,35.03,65.0,Carpet,Wool,
CA17637WES,Westex,Barrington Loop Rum And Raisin (5 M),Barrington Loop,Rum And Raisin,5.0,35.03,65.0,Carpet,Wool,
CA71490WES,Westex,Barrington Loop Rustic (1 M),Barrington Loop,Rustic,1.0,35.03,65.0,Carpet,Wool,
CA30690WES,Westex,Barrington Loop Rustic (3.66 M),Barrington Loop,Rustic,3.66,35.03,65.0,Carpet,Wool,
CA75371WES,Westex,Barrington Loop Rustic (4 M),Barrington Loop,Rustic,4.0,35.03,65.0,Carpet,Wool,
CA26078WES,Westex,Barrington Loop Rustic (4.57 M),Barrington Loop,Rustic,4.57,35.03,65.0,Carpet,Wool,
CA53546WES,Westex,Barrington Loop Rustic (5 M),Barrington Loop,Rustic,5.0,35.03,65.0,Carpet,Wool,
CA25125WES,Westex,Barrington Loop Sandcastle (1 M),Barrington Loop,Sandcastle,1.0,35.03,65.0,Carpet,Wool,
CA39978WES,Westex,Barrington Loop Sandcastle (3.66 M),Barrington Loop,Sandcastle,3.66,35.03,65.0,Carpet,Wool,
CA70960WES,Westex,Barrington Loop Sandcastle (4 M),Barrington Loop,Sandcastle,4.0,35.03,65.0,Carpet,Wool,
CA23220WES,Westex,Barrington Loop Sandcastle (4.57 M),Barrington Loop,Sandcastle,4.57,35.03,65.0,Carpet,Wool,
CA78798WES,Westex,Barrington Loop Sandcastle (5 M),Barrington Loop,Sandcastle,5.0,35.03,65.0,Carpet,Wool,
CA24066WES,Westex,Barrington Loop Shingle (1 M),Barrington Loop,Shingle,1.0,35.03,65.0,Carpet,Wool,
CA70012WES,Westex,Barrington Loop Shingle (3.66 M),Barrington Loop,Shingle,3.66,35.03,65.0,Carpet,Wool,
CA53434WES,Westex,Barrington Loop Shingle (4 M),Barrington Loop,Shingle,4.0,35.03,65.0,Carpet,Wool,
CA89919WES,Westex,Barrington Loop Shingle (4.57 M),Barrington Loop,Shingle,4.57,35.03,65.0,Carpet,Wool,
CA21890WES,Westex,Barrington Loop Shingle (5 M),Barrington Loop,Shingle,5.0,35.03,65.0,Carpet,Wool,
CA97507WES,Westex,Barrington Loop Soya (1 M),Barrington Loop,Soya,1.0,35.03,65.0,Carpet,Wool,
CA48124WES,Westex,Barrington Loop Soya (3.66 M),Barrington Loop,Soya,3.66,35.03,65.0,Carpet,Wool,
CA23292WES,Westex,Barrington Loop Soya (4 M),Barrington Loop,Soya,4.0,35.03,65.0,Carpet,Wool,
CA53762WES,Westex,Barrington Loop Soya (4.57 M),Barrington Loop,Soya,4.57,35.03,65.0,Carpet,Wool,
CA97623WES,Westex,Barrington Loop Soya (5 M),Barrington Loop,Soya,5.0,35.03,65.0,Carpet,Wool,
CA87610WES,Westex,Barrington Loop Stucco (1 M),Barrington Loop,Stucco,1.0,35.03,65.0,Carpet,Wool,
CA56717WES,Westex,Barrington Loop Stucco (3.66 M),Barrington Loop,Stucco,3.66,35.03,65.0,Carpet,Wool,
CA34729WES,Westex,Barrington Loop Stucco (4 M),Barrington Loop,Stucco,4.0,35.03,65.0,Carpet,Wool,
CA56495WES,Westex,Barrington Loop Stucco (4.57 M),Barrington Loop,Stucco,4.57,35.03,65.0,Carpet,Wool,
CA77752WES,Westex,Barrington Loop Stucco (5 M),Barrington Loop,Stucco,5.0,35.03,65.0,Carpet,Wool,
CA41266WES,Westex,Barrington Loop Tallow (1 M),Barrington Loop,Tallow,1.0,35.03,65.0,Carpet,Wool,
CA50554WES,Westex,Barrington Loop Tallow (3.66 M),Barrington Loop,Tallow,3.66,35.03,65.0,Carpet,Wool,
CA18223WES,Westex,Barrington Loop Tallow (4 M),Barrington Loop,Tallow,4.0,35.03,65.0,Carpet,Wool,
CA47343WES,Westex,Barrington Loop Tallow (4.57 M),Barrington Loop,Tallow,4.57,35.03,65.0,Carpet,Wool,
CA53520WES,Westex,Barrington Loop Tallow (5 M),Barrington Loop,Tallow,5.0,35.03,65.0,Carpet,Wool,
CA91753WES,Westex,Barrington Loop Thatch (1 M),Barrington Loop,Thatch,1.0,35.03,65.0,Carpet,Wool,
CA74491WES,Westex,Barrington Loop Thatch (3.66 M),Barrington Loop,Thatch,3.66,35.03,65.0,Carpet,Wool,
CA36848WES,Westex,Barrington Loop Thatch (4 M),Barrington Loop,Thatch,4.0,35.03,65.0,Carpet,Wool,
CA53309WES,Westex,Barrington Loop Thatch (4.57 M),Barrington Loop,Thatch,4.57,35.03,65.0,Carpet,Wool,
CA70612WES,Westex,Barrington Loop Thatch (5 M),Barrington Loop,Thatch,5.0,35.03,65.0,Carpet,Wool,
CA92539WES,Westex,Boucle Natural Loop Chrome (1 M),,,1.0,35.03,65.0,Carpet,Wool,
CA82380WES,Westex,Boucle Natural Loop Chrome (3.66 M),,,3.66,35.03,65.0,Carpet,Wool,
CA33895WES,Westex,Boucle Natural Loop Chrome (4 M),,,4.0,35.03,65.0,Carpet,Wool,
CA95458WES,Westex,Boucle Natural Loop Chrome (4.57 M),,,4.57,35.03,65.0,Carpet,Wool,
CA17595WES,Westex,Boucle Natural Loop Chrome (5 M),,,5.0,35.03,65.0,Carpet,Wool,
CA86003WES,Westex,Boucle Natural Loop Cobble (1 M),,,1.0,35.03,65.0,Carpet,Wool,
CA23421WES,Westex,Boucle Natural Loop Cobble (3.66 M),,,3.66,35.03,65.0,Carpet,Wool,
CA44753WES,Westex,Boucle Natural Loop Cobble (4 M),,,4.0,35.03,65.0,Carpet,Wool,
CA73518WES,Westex,Boucle Natural Loop Cobble (4.57 M),,,4.57,35.03,65.0,Carpet,Wool,
CA76440WES,Westex,Boucle Natural Loop Cobble (5 M),,,5.0,35.03,65.0,Carpet,Wool,
CA65196WES,Westex,Boucle Natural Loop Coffee And Cream (1 M),,,1.0,35.03,65.0,Carpet,Wool,
CA41088WES,Westex,Boucle Natural Loop Coffee And Cream (3.66 M),,,3.66,35.03,65.0,Carpet,Wool,
CA26249WES,Westex,Boucle Natural Loop Coffee And Cream (4 M),,,4.0,35.03,65.0,Carpet,Wool,
CA52708WES,Westex,Boucle Natural Loop Coffee And Cream (4.57 M),,,4.57,35.03,65.0,Carpet,Wool,
CA88783WES,Westex,Boucle Natural Loop Coffee And Cream (5 M),,,5.0,35.03,65.0,Carpet,Wool,
CA94522WES,Westex,Boucle Natural Loop Cord (1 M),,,1.0,35.03,65.0,Carpet,Wool,
CA65017WES,Westex,Boucle Natural Loop Cord (3.66 M),,,3.66,35.03,65.0,Carpet,Wool,
CA26147WES,Westex,Boucle Natural Loop Cord (4 M),,,4.0,35.03,65.0,Carpet,Wool,
CA71596WES,Westex,Boucle Natural Loop Cord (4.57 M),,,4.57,35.03,65.0,Carpet,Wool,
CA47054WES,Westex,Boucle Natural Loop Cord (5 M),,,5.0,35.03,65.0,Carpet,Wool,
CA41476WES,Westex,Boucle Natural Loop Corn (1 M),,,1.0,35.03,65.0,Carpet,Wool,
CA68969WES,Westex,Boucle Natural Loop Corn (3.66 M),,,3.66,35.03,65.0,Carpet,Wool,
CA59280WES,Westex,Boucle Natural Loop Corn (4 M),,,4.0,35.03,65.0,Carpet,Wool,
CA25446WES,Westex,Boucle Natural Loop Corn (4.57 M),,,4.57,35.03,65.0,Carpet,Wool,
CA22417WES,Westex,Boucle Natural Loop Corn (5 M),,,5.0,35.03,65.0,Carpet,Wool,
CA18979WES,Westex,Boucle Natural Loop Flax (1 M),,,1.0,35.03,65.0,Carpet,Wool,
CA25417WES,Westex,Boucle Natural Loop Flax (3.66 M),,,3.66,35.03,65.0,Carpet,Wool,
CA52768WES,Westex,Boucle Natural Loop Flax (4 M),,,4.0,35.03,65.0,Carpet,Wool,
CA25426WES,Westex,Boucle Natural Loop Flax (4.57 M),,,4.57,35.03,65.0,Carpet,Wool,
CA33449WES,Westex,Boucle Natural Loop Flax (5 M),,,5.0,35.03,65.0,Carpet,Wool,
CA79151WES,Westex,Boucle Natural Loop Furrow (1 M),,,1.0,35.03,65.0,Carpet,Wool,
CA71364WES,Westex,Boucle Natural Loop Furrow (3.66 M),,,3.66,35.03,65.0,Carpet,Wool,
CA59945WES,Westex,Boucle Natural Loop Furrow (4 M),,,4.0,35.03,65.0,Carpet,Wool,
CA66067WES,Westex,Boucle Natural Loop Furrow (4.57 M),,,4.57,35.03,65.0,Carpet,Wool,
CA60078WES,Westex,Boucle Natural Loop Furrow (5 M),,,5.0,35.03,65.0,Carpet,Wool,
CA93762WES,Westex,Boucle Natural Loop Hardwick (1 M),,,1.0,35.03,65.0,Carpet,Wool,
CA86051WES,Westex,Boucle Natural Loop Hardwick (3.66 M),,,3.66,35.03,65.0,Carpet,Wool,
CA65275WES,Westex,Boucle Natural Loop Hardwick (4 M),,,4.0,35.03,65.0,Carpet,Wool,
CA92402WES,Westex,Boucle Natural Loop Hardwick (4.57 M),,,4.57,35.03,65.0,Carpet,Wool,
CA33961WES,Westex,Boucle Natural Loop Hardwick (5 M),,,5.0,35.03,65.0,Carpet,Wool,
CA96657WES,Westex,Boucle Natural Loop Honeycomb (1 M),,,1.0,35.03,65.0,Carpet,Wool,
CA56152WES,Westex,Boucle Natural Loop Honeycomb (3.66 M),,,3.66,35.03,65.0,Carpet,Wool,
CA11455WES,Westex,Boucle Natural Loop Honeycomb (4 M),,,4.0,35.03,65.0,Carpet,Wool,
CA49344WES,Westex,Boucle Natural Loop Honeycomb (4.57 M),,,4.57,35.03,65.0,Carpet,Wool,
CA40774WES,Westex,Boucle Natural Loop Honeycomb (5 M),,,5.0,35.03,65.0,Carpet,Wool,
CA56362WES,Westex,Boucle Natural Loop Maple (1 M),,,1.0,35.03,65.0,Carpet,Wool,
CA35347WES,Westex,Boucle Natural Loop Maple (3.66 M),,,3.66,35.03,65.0,Carpet,Wool,
CA36265WES,Westex,Boucle Natural Loop Maple (4 M),,,4.0,35.03,65.0,Carpet,Wool,
CA62312WES,Westex,Boucle Natural Loop Maple (4.57 M),,,4.57,35.03,65.0,Carpet,Wool,
CA66976WES,Westex,Boucle Natural Loop Maple (5 M),,,5.0,35.03,65.0,Carpet,Wool,
CA50490WES,Westex,Boucle Natural Loop Nordic (1 M),,,1.0,35.03,65.0,Carpet,Wool,
CA13509WES,Westex,Boucle Natural Loop Nordic (3.66 M),,,3.66,35.03,65.0,Carpet,Wool,
CA49333WES,Westex,Boucle Natural Loop Nordic (4 M),,,4.0,35.03,65.0,Carpet,Wool,
CA78810WES,Westex,Boucle Natural Loop Nordic (4.57 M),,,4.57,35.03,65.0,Carpet,Wool,
CA99014WES,Westex,Boucle Natural Loop Nordic (5 M),,,5.0,35.03,65.0,Carpet,Wool,
CA72491WES,Westex,Boucle Natural Loop Pewter (1 M),,,1.0,35.03,65.0,Carpet,Wool,
CA61269WES,Westex,Boucle Natural Loop Pewter (3.66 M),,,3.66,35.03,65.0,Carpet,Wool,
CA65747WES,Westex,Boucle Natural Loop Pewter (4 M),,,4.0,35.03,65.0,Carpet,Wool,
CA90499WES,Westex,Boucle Natural Loop Pewter (4.57 M),,,4.57,35.03,65.0,Carpet,Wool,
CA36286WES,Westex,Boucle Natural Loop Pewter (5 M),,,5.0,35.03,65.0,Carpet,Wool,
CA19485WES,Westex,Boucle Natural Loop Rum And Raisin (1 M),,,1.0,35.03,65.0,Carpet,Wool,
CA42704WES,Westex,Boucle Natural Loop Rum And Raisin (3.66 M),,,3.66,35.03,65.0,Carpet,Wool,
CA80706WES,Westex,Boucle Natural Loop Rum And Raisin (4 M),,,4.0,35.03,65.0,Carpet,Wool,
CA47176WES,Westex,Boucle Natural Loop Rum And Raisin (4.57 M),,,4.57,35.03,65.0,Carpet,Wool,
CA61270WES,Westex,Boucle Natural Loop Rum And Raisin (5 M),,,5.0,35.03,65.0,Carpet,Wool,
CA77830WES,Westex,Boucle Natural Loop Rustic (1 M),,,1.0,35.03,65.0,Carpet,Wool,
CA32081WES,Westex,Boucle Natural Loop Rustic (3.66 M),,,3.66,35.03,65.0,Carpet,Wool,
CA23477WES,Westex,Boucle Natural Loop Rustic (4 M),,,4.0,35.03,65.0,Carpet,Wool,
CA65972WES,Westex,Boucle Natural Loop Rustic (4.57 M),,,4.57,35.03,65.0,Carpet,Wool,
CA65570WES,Westex,Boucle Natural Loop Rustic (5 M),,,5.0,35.03,65.0,Carpet,Wool,
CA92049WES,Westex,Boucle Natural Loop Sandcastle (1 M),,,1.0,35.03,65.0,Carpet,Wool,
CA42400WES,Westex,Boucle Natural Loop Sandcastle (3.66 M),,,3.66,35.03,65.0,Carpet,Wool,
CA99349WES,Westex,Boucle Natural Loop Sandcastle (4 M),,,4.0,35.03,65.0,Carpet,Wool,
CA69536WES,Westex,Boucle Natural Loop Sandcastle (4.57 M),,,4.57,35.03,65.0,Carpet,Wool,
CA98084WES,Westex,Boucle Natural Loop Sandcastle (5 M),,,5.0,35.03,65.0,Carpet,Wool,
CA74648WES,Westex,Boucle Natural Loop Shingle (1 M),,,1.0,35.03,65.0,Carpet,Wool,
CA72389WES,Westex,Boucle Natural Loop Shingle (3.66 M),,,3.66,35.03,65.0,Carpet,Wool,
CA57481WES,Westex,Boucle Natural Loop Shingle (4 M),,,4.0,35.03,65.0,Carpet,Wool,
CA98969WES,Westex,Boucle Natural Loop Shingle (4.57 M),,,4.57,35.03,65.0,Carpet,Wool,
CA82859WES,Westex,Boucle Natural Loop Shingle (5 M),,,5.0,35.03,65.0,Carpet,Wool,
CA59905WES,Westex,Boucle Natural Loop Soya (1 M),,,1.0,35.03,65.0,Carpet,Wool,
CA30696WES,Westex,Boucle Natural Loop Soya (3.66 M),,,3.66,35.03,65.0,Carpet,Wool,
CA29388WES,Westex,Boucle Natural Loop Soya (4 M),,,4.0,35.03,65.0,Carpet,Wool,
CA50254WES,Westex,Boucle Natural Loop Soya (4.57 M),,,4.57,35.03,65.0,Carpet,Wool,
CA69956WES,Westex,Boucle Natural Loop Soya (5 M),,,5.0,35.03,65.0,Carpet,Wool,
CA54615WES,Westex,Boucle Natural Loop Stucco (1 M),,,1.0,35.03,65.0,Carpet,Wool,
CA63925WES,Westex,Boucle Natural Loop Stucco (3.66 M),,,3.66,35.03,65.0,Carpet,Wool,
CA30206WES,Westex,Boucle Natural Loop Stucco (4 M),,,4.0,35.03,65.0,Carpet,Wool,
CA80716WES,Westex,Boucle Natural Loop Stucco (4.57 M),,,4.57,35.03,65.0,Carpet,Wool,
CA49316WES,Westex,Boucle Natural Loop Stucco (5 M),,,5.0,35.03,65.0,Carpet,Wool,
CA75593WES,Westex,Boucle Natural Loop Tallow (1 M),,,1.0,35.03,65.0,Carpet,Wool,
CA50097WES,Westex,Boucle Natural Loop Tallow (3.66 M),,,3.66,35.03,65.0,Carpet,Wool,
CA91946WES,Westex,Boucle Natural Loop Tallow (4 M),,,4.0,35.03,65.0,Carpet,Wool,
CA56601WES,Westex,Boucle Natural Loop Tallow (4.57 M),,,4.57,35.03,65.0,Carpet,Wool,
CA80495WES,Westex,Boucle Natural Loop Tallow (5 M),,,5.0,35.03,65.0,Carpet,Wool,
CA71688WES,Westex,Boucle Natural Loop Thatch (1 M),,,1.0,35.03,65.0,Carpet,Wool,
CA48041WES,Westex,Boucle Natural Loop Thatch (3.66 M),,,3.66,35.03,65.0,Carpet,Wool,
CA86477WES,Westex,Boucle Natural Loop Thatch (4 M),,,4.0,35.03,65.0,Carpet,Wool,
CA87997WES,Westex,Boucle Natural Loop Thatch (4.57 M),,,4.57,35.03,65.0,Carpet,Wool,
CA46468WES,Westex,Boucle Natural Loop Thatch (5 M),,,5.0,35.03,65.0,Carpet,Wool,
CA84034WES,Westex,Briar Natural Loop Chrome (1 M),Briar Natural Loop,Chrome,1.0,35.03,65.0,Carpet,Wool,
CA85988WES,Westex,Briar Natural Loop Chrome (3.66 M),Briar Natural Loop,Chrome,3.66,35.03,65.0,Carpet,Wool,
CA31707WES,Westex,Briar Natural Loop Chrome (4 M),Briar Natural Loop,Chrome,4.0,35.03,65.0,Carpet,Wool,
CA69474WES,Westex,Briar Natural Loop Chrome (4.57 M),Briar Natural Loop,Chrome,4.57,35.03,65.0,Carpet,Wool,
CA53097WES,Westex,Briar Natural Loop Chrome (5 M),Briar Natural Loop,Chrome,5.0,35.03,65.0,Carpet,Wool,
CA29797WES,Westex,Briar Natural Loop Cobble (1 M),Briar Natural Loop,Cobble,1.0,35.03,65.0,Carpet,Wool,
CA40644WES,Westex,Briar Natural Loop Cobble (3.66 M),Briar Natural Loop,Cobble,3.66,35.03,65.0,Carpet,Wool,
CA32138WES,Westex,Briar Natural Loop Cobble (4 M),Briar Natural Loop,Cobble,4.0,35.03,65.0,Carpet,Wool,
CA79204WES,Westex,Briar Natural Loop Cobble (4.57 M),Briar Natural Loop,Cobble,4.57,35.03,65.0,Carpet,Wool,
CA93562WES,Westex,Briar Natural Loop Cobble (5 M),Briar Natural Loop,Cobble,5.0,35.03,65.0,Carpet,Wool,
CA15177WES,Westex,Briar Natural Loop Coffee And Cream (1 M),Briar Natural Loop,Coffee And Cream,1.0,35.03,65.0,Carpet,Wool,
CA54348WES,Westex,Briar Natural Loop Coffee And Cream (3.66 M),Briar Natural Loop,Coffee And Cream,3.66,35.03,65.0,Carpet,Wool,
CA19921WES,Westex,Briar Natural Loop Coffee And Cream (4 M),Briar Natural Loop,Coffee And Cream,4.0,35.03,65.0,Carpet,Wool,
CA88460WES,Westex,Briar Natural Loop Coffee And Cream (4.57 M),Briar Natural Loop,Coffee And Cream,4.57,35.03,65.0,Carpet,Wool,
CA99275WES,Westex,Briar Natural Loop Coffee And Cream (5 M),Briar Natural Loop,Coffee And Cream,5.0,35.03,65.0,Carpet,Wool,
CA77688WES,Westex,Briar Natural Loop Cord (1 M),Briar Natural Loop,Cord,1.0,35.03,65.0,Carpet,Wool,
CA75558WES,Westex,Briar Natural Loop Cord (3.66 M),Briar Natural Loop,Cord,3.66,35.03,65.0,Carpet,Wool,
CA23737WES,Westex,Briar Natural Loop Cord (4 M),Briar Natural Loop,Cord,4.0,35.03,65.0,Carpet,Wool,
CA54406WES,Westex,Briar Natural Loop Cord (4.57 M),Briar Natural Loop,Cord,4.57,35.03,65.0,Carpet,Wool,
CA14427WES,Westex,Briar Natural Loop Cord (5 M),Briar Natural Loop,Cord,5.0,35.03,65.0,Carpet,Wool,
CA78585WES,Westex,Briar Natural Loop Corn (1 M),Briar Natural Loop,Corn,1.0,35.03,65.0,Carpet,Wool,
CA58083WES,Westex,Briar Natural Loop Corn (3.66 M),Briar Natural Loop,Corn,3.66,35.03,65.0,Carpet,Wool,
CA82830WES,Westex,Briar Natural Loop Corn (4 M),Briar Natural Loop,Corn,4.0,35.03,65.0,Carpet,Wool,
CA92444WES,Westex,Briar Natural Loop Corn (4.57 M),Briar Natural Loop,Corn,4.57,35.03,65.0,Carpet,Wool,
CA87120WES,Westex,Briar Natural Loop Corn (5 M),Briar Natural Loop,Corn,5.0,35.03,65.0,Carpet,Wool,
CA74906WES,Westex,Briar Natural Loop Flax (1 M),Briar Natural Loop,Flax,1.0,35.03,65.0,Carpet,Wool,
CA49497WES,Westex,Briar Natural Loop Flax (3.66 M),Briar Natural Loop,Flax,3.66,35.03,65.0,Carpet,Wool,
CA14042WES,Westex,Briar Natural Loop Flax (4 M),Briar Natural Loop,Flax,4.0,35.03,65.0,Carpet,Wool,
