Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA23743KER,Kersaint Cobb,Sisal Tigers Eye Pewter (4 M),,,4.0,27.4,56.0,Carpet,Sisal,
CA69890KER,Kersaint Cobb,Sisal Tigers Eye Pewter (5 M),,,5.0,27.4,56.0,Carpet,Sisal,
CA18109KER,Kersaint Cobb,Sisal Tigers Eye Silver (4 M),,,4.0,27.4,56.0,Carpet,Sisal,
CA16342KER,Kersaint Cobb,Sisal Tigers Eye Silver (5 M),,,5.0,27.4,56.0,Carpet,Sisal,
CA42791KER,Kersaint Cobb,Sisal Tigers Eye Tig-Sis (4 M),,,4.0,27.4,56.0,Carpet,Sisal,
CA15325KER,Kersaint Cobb,Sisal Tigers Eye Tig-Sis (5 M),,,5.0,27.4,56.0,Carpet,Sisal,
CA34541KER,Kersaint Cobb,Sisal Tigers Eye Titanium (4 M),,,4.0,27.4,56.0,Carpet,Sisal,
CA51597KER,Kersaint Cobb,Sisal Tigers Eye Titanium (5 M),,,5.0,27.4,56.0,Carpet,Sisal,
CA34088KER,Kersaint Cobb,Studio Craft Handcrafted (4 M),Studio Craft,Handcrafted,4.0,25.55,52.0,Carpet,Wool,
CA76814KER,Kersaint Cobb,Studio Craft Handcrafted (5 M),Studio Craft,Handcrafted,5.0,25.55,52.0,Carpet,Wool,
CA40263KER,Kersaint Cobb,Studio Craft Metal Work (4 M),Studio Craft,Metal Work,4.0,25.55,52.0,Carpet,Wool,
CA91790KER,Kersaint Cobb,Studio Craft Metal Work (5 M),Studio Craft,Metal Work,5.0,25.55,52.0,Carpet,Wool,
CA48661KER,Kersaint Cobb,Studio Craft Tapestry (4 M),Studio Craft,Tapestry,4.0,25.55,52.0,Carpet,Wool,
CA75096KER,Kersaint Cobb,Studio Craft Tapestry (5 M),Studio Craft,Tapestry,5.0,25.55,52.0,Carpet,Wool,
CA33503KER,Kersaint Cobb,Studio Craft Woven Tone (4 M),Studio Craft,Woven Tone,4.0,25.55,52.0,Carpet,Wool,
CA13922KER,Kersaint Cobb,Studio Craft Woven Tone (5 M),Studio Craft,Woven Tone,5.0,25.55,52.0,Carpet,Wool,
CA69255KER,Kersaint Cobb,Textured Repeat Continuous Line (4 M),Textured Repeat,Continuous Line,4.0,31.1,63.0,Carpet,Wool,
CA24968KER,Kersaint Cobb,Textured Repeat Continuous Line (5 M),Textured Repeat,Continuous Line,5.0,31.1,63.0,Carpet,Wool,
CA55659KER,Kersaint Cobb,Textured Repeat Formation (4 M),Textured Repeat,Formation,4.0,31.1,63.0,Carpet,Wool,
CA89679KER,Kersaint Cobb,Textured Repeat Formation (5 M),Textured Repeat,Formation,5.0,31.1,63.0,Carpet,Wool,
CA64537KER,Kersaint Cobb,Textured Repeat Gray Echo (4 M),Textured Repeat,Gray Echo,4.0,31.1,63.0,Carpet,Wool,
CA35007KER,Kersaint Cobb,Textured Repeat Gray Echo (5 M),Textured Repeat,Gray Echo,5.0,31.1,63.0,Carpet,Wool,
CA57912KER,Kersaint Cobb,Textured Repeat Impasto (4 M),Textured Repeat,Impasto,4.0,31.1,63.0,Carpet,Wool,
CA30549KER,Kersaint Cobb,Textured Repeat Impasto (5 M),Textured Repeat,Impasto,5.0,31.1,63.0,Carpet,Wool,
CA36845KER,Kersaint Cobb,Textured Repeat Interwoven Shade (4 M),Textured Repeat,Interwoven Shade,4.0,31.1,63.0,Carpet,Wool,
CA35521KER,Kersaint Cobb,Textured Repeat Interwoven Shade (5 M),Textured Repeat,Interwoven Shade,5.0,31.1,63.0,Carpet,Wool,
CA70334KER,Kersaint Cobb,Textured Repeat Natural Repitition (4 M),Textured Repeat,Natural Repitition,4.0,31.1,63.0,Carpet,Wool,
CA56892KER,Kersaint Cobb,Textured Repeat Natural Repitition (5 M),Textured Repeat,Natural Repitition,5.0,31.1,63.0,Carpet,Wool,
CA71456KER,Kersaint Cobb,Textured Repeat Replay (4 M),Textured Repeat,Replay,4.0,31.1,63.0,Carpet,Wool,
CA59165KER,Kersaint Cobb,Textured Repeat Replay (5 M),Textured Repeat,Replay,5.0,31.1,63.0,Carpet,Wool,
