Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA33157RIV,Riviera,Rustic Croft Crushed Hessian (4 M),Rustic Croft,Crushed Hessian,4.0,31.25,64.0,Carpet,Wool,
CA59850RIV,Riviera,Rustic Croft Pumice (4 M),Rustic Croft,Pumice,4.0,31.25,64.0,Carpet,Wool,
CA98486RIV,Riviera,Rustic Croft Soft Lime (4 M),Rustic Croft,Soft Lime,4.0,31.25,64.0,Carpet,Wool,
CA55755RIV,Riviera,Rustic Croft Wood Ash (4 M),Rustic Croft,Wood Ash,4.0,31.25,64.0,Carpet,Wool,
CA86035RIV,Riviera,Shetland Weave Lang Ayre (5 M),Shetland Weave,Lang Ayre,5.0,55.25,99.0,Carpet,Wool,
CA66269RIV,Riviera,Shetland Weave Monk’s Stone (5 M),Shetland Weave,Monk’s Stone,5.0,55.25,99.0,Carpet,Wool,
CA80470RIV,Riviera,Shetland Weave Natural Fleece (5 M),Shetland Weave,Natural Fleece,5.0,55.25,99.0,Carpet,Wool,
CA93828RIV,Riviera,Shetland Weave Quendale Sand (5 M),Shetland Weave,Quendale Sand,5.0,55.25,99.0,Carpet,Wool,
CA38972RIV,Riviera,Shetland Weave Sandwick (5 M),Shetland Weave,Sandwick,5.0,55.25,99.0,Carpet,Wool,
CA81319RIV,Riviera,Shetland Weave White Ness (5 M),Shetland Weave,White Ness,5.0,55.25,99.0,Carpet,Wool,
CA74020RIV,Riviera,Siena Parchment (5 M),Siena,Parchment,5.0,38.0,73.0,Carpet,Wool,
CA72803RIV,Riviera,Siena Sand (5 M),Siena,Sand,5.0,38.0,73.0,Carpet,Wool,
CA43210RIV,Riviera,Siena Walnut (5 M),Siena,Walnut,5.0,38.0,73.0,Carpet,Wool,
CA21585RIV,Riviera,Sorrento Bronzo (5 M),Sorrento,Bronzo,5.0,41.6,75.0,Carpet,Wool,
CA30684RIV,Riviera,Sorrento Canella (5 M),Sorrento,Canella,5.0,41.6,75.0,Carpet,Wool,
CA76304RIV,Riviera,Sorrento Columba (5 M),Sorrento,Columba,5.0,41.6,75.0,Carpet,Wool,
CA64953RIV,Riviera,Sorrento Naturale (5 M),Sorrento,Naturale,5.0,41.6,75.0,Carpet,Wool,
CA31212RIV,Riviera,Sorrento Saggio (5 M),Sorrento,Saggio,5.0,41.6,75.0,Carpet,Wool,
CA64514RIV,Riviera,Sorrento Tortora (5 M),Sorrento,Tortora,5.0,41.6,75.0,Carpet,Wool,
CA55484RIV,Riviera,St Tropez Bronze Tan (5 M),St Tropez,Bronze Tan,5.0,64.95,117.0,Carpet,Synthetic,
CA80805RIV,Riviera,St Tropez Cliff View (5 M),St Tropez,Cliff View,5.0,64.95,117.0,Carpet,Synthetic,
CA61280RIV,Riviera,St Tropez Silver Sail (5 M),St Tropez,Silver Sail,5.0,64.95,117.0,Carpet,Synthetic,
CA22645RIV,Riviera,St Tropez Soft Mink (5 M),St Tropez,Soft Mink,5.0,64.95,117.0,Carpet,Synthetic,
CA99533RIV,Riviera,St Tropez Vanilla (5 M),St Tropez,Vanilla,5.0,64.95,117.0,Carpet,Synthetic,
CA80913RIV,Riviera,St Tropez Warm Sand (5 M),St Tropez,Warm Sand,5.0,64.95,117.0,Carpet,Synthetic,
CA67820RIV,Riviera,Tetbury Buff (4 M),Tetbury,Buff,4.0,35.0,67.0,Carpet,Wool,
CA71492RIV,Riviera,Tetbury Castle Grey (4 M),Tetbury,Castle Grey,4.0,35.0,67.0,Carpet,Wool,
CA74148RIV,Riviera,Tetbury Flint (4 M),Tetbury,Flint,4.0,35.0,67.0,Carpet,Wool,
CA89655RIV,Riviera,Tetbury Oatmeal (4 M),Tetbury,Oatmeal,4.0,35.0,67.0,Carpet,Wool,
CA16836RIV,Riviera,Tetbury Old Lace (4 M),Tetbury,Old Lace,4.0,35.0,67.0,Carpet,Wool,
CA72079RIV,Riviera,Tetbury Pebble Stone (4 M),Tetbury,Pebble Stone,4.0,35.0,67.0,Carpet,Wool,
CA79559RIV,Riviera,Turin Camel (5 M),Turin,Camel,5.0,35.5,68.0,Carpet,Wool,
CA46771RIV,Riviera,Turin Oatmeal (5 M),Turin,Oatmeal,5.0,35.5,68.0,Carpet,Wool,
CA19285RIV,Riviera,Turin Powder (5 M),Turin,Powder,5.0,35.5,68.0,Carpet,Wool,
CA71769RIV,Riviera,Turin Wheat (5 M),Turin,Wheat,5.0,35.5,68.0,Carpet,Wool,
CA89942RIV,Riviera,Witney Bath Stone (4 M),Witney,Bath Stone,4.0,39.4,76.0,Carpet,Wool,
CA89604RIV,Riviera,Witney Mercury (4 M),Witney,Mercury,4.0,39.4,76.0,Carpet,Wool,
CA46486RIV,Riviera,Witney Steeple Grey (4 M),Witney,Steeple Grey,4.0,39.4,76.0,Carpet,Wool,
CA32143RIV,Riviera,Witney White Lead (4 M),Witney,White Lead,4.0,39.4,76.0,Carpet,Wool,
