Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Chartwell 373 - Chic Shadow (5 M),CA57200RIV-BD47D,Riviera,379.0,379.0,566.6666666666667,Carpet,Carpet,Riviera Chartwell  373 - Chic Shadow 5,Price per SQM: £136.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Chartwell 374 - White Mist (5 M),CA57200RIV-75299,Riviera,379.0,379.0,566.6666666666667,Carpet,Carpet,Riviera Chartwell  374 - White Mist 5,Price per SQM: £136.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Chartwell 375 - Stormy Seas (5 M),CA57200RIV-61B6D,Riviera,379.0,379.0,566.6666666666667,Carpet,Carpet,Riviera Chartwell  375 - Stormy Seas 5,Price per SQM: £136.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Florence 551 - Grano (5 M),CA82768RIV-6A862,Riviera,218.75,218.75,329.16666666666663,Carpet,Carpet,Riviera Florence 551 - Grano 5,"Price per SQM: £79.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Florence 552 - Cashemire (5 M),CA82768RIV-39D9F,Riviera,218.75,218.75,329.16666666666663,Carpet,Carpet,Riviera Florence  552 - Cashemire 5,"Price per SQM: £79.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Florence 553 - Calcare (5 M),CA82768RIV-ABBBA,Riviera,218.75,218.75,329.16666666666663,Carpet,Carpet,Riviera Florence  553 - Calcare 5,"Price per SQM: £79.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Florence 554 - Nebbia (5 M),CA82768RIV-C5AFA,Riviera,218.75,218.75,329.16666666666663,Carpet,Carpet,Riviera Florence  554 - Nebbia 5,"Price per SQM: £79.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Florence 555 - Ombra (5 M),CA82768RIV-DF456,Riviera,218.75,218.75,329.16666666666663,Carpet,Carpet,Riviera Florence  555 - Ombra 5,"Price per SQM: £79.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Florence 556 - Granito (5 M),CA82768RIV-D2A70,Riviera,218.75,218.75,329.16666666666663,Carpet,Carpet,Riviera Florence  556 - Granito 5,"Price per SQM: £79.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Genoa 241 - Pearl (5 M),CA46324RIV-24100,Riviera,177.5,177.5,283.33333333333337,Carpet,Carpet,Riviera Genoa 241 - Pearl 5,Price per SQM: £68.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
