Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Flatweave Classic Small Boucle Cable (5 M),CA27881FIB-AB8B4,Fibre,115.5,115.5,208.33333333333337,Carpet,Carpet,Fibre Flatweave Classic Small Boucle  Cable  5,"Price per SQM: £50.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Small Boucle Limestone (4 M),CA27881FIB-BE7B7,Fibre,92.4,92.4,166.66666666666669,Carpet,Carpet,Fibre Flatweave Classic Small Boucle  Limestone 4,"Price per SQM: £50.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Small Boucle Limestone (5 M),CA27881FIB-864F1,Fibre,115.5,115.5,208.33333333333337,Carpet,Carpet,Fibre Flatweave Classic Small Boucle  Limestone  5,"Price per SQM: £50.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Small Boucle Ochre (4 M),CA27881FIB-948BC,Fibre,92.4,92.4,166.66666666666669,Carpet,Carpet,Fibre Flatweave Classic Small Boucle  Ochre 4,"Price per SQM: £50.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Small Boucle Ochre (5 M),CA27881FIB-FC674,Fibre,115.5,115.5,208.33333333333337,Carpet,Carpet,Fibre Flatweave Classic Small Boucle  Ochre  5,"Price per SQM: £50.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Small Boucle Pearl (4 M),CA27881FIB-0D80E,Fibre,92.4,92.4,166.66666666666669,Carpet,Carpet,Fibre Flatweave Classic Small Boucle  Pearl 4,"Price per SQM: £50.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Small Boucle Pearl (5 M),CA27881FIB-161E8,Fibre,115.5,115.5,208.33333333333337,Carpet,Carpet,Fibre Flatweave Classic Small Boucle  Pearl  5,"Price per SQM: £50.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Small Boucle Scree (4 M),CA27881FIB-5D35A,Fibre,92.4,92.4,166.66666666666669,Carpet,Carpet,Fibre Flatweave Classic Small Boucle  Scree 4,"Price per SQM: £50.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Flatweave Classic Small Boucle Scree (5 M),CA27881FIB-CE154,Fibre,115.5,115.5,208.33333333333337,Carpet,Carpet,Fibre Flatweave Classic Small Boucle  Scree  5,"Price per SQM: £50.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Helios Aurora (4 M),CA23271FIB-F8858,Fibre,185.0,185.0,276.6666666666667,Carpet,Carpet,Fibre Helios Aurora 4,Price per SQM: £83.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Helios Luminous (4 M),CA23271FIB-A63C1,Fibre,185.0,185.0,276.6666666666667,Carpet,Carpet,Fibre Helios  Luminous 4,Price per SQM: £83.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Helios Radiant (4 M),CA23271FIB-42776,Fibre,185.0,185.0,276.6666666666667,Carpet,Carpet,Fibre Helios  Radiant 4,Price per SQM: £83.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Helios Shimmer (4 M),CA23271FIB-45615,Fibre,185.0,185.0,276.6666666666667,Carpet,Carpet,Fibre Helios  Shimmer 4,Price per SQM: £83.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Helios Shine (4 M),CA23271FIB-0A755,Fibre,185.0,185.0,276.6666666666667,Carpet,Carpet,Fibre Helios  Shine 4,Price per SQM: £83.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Seagrass Fine (4 M),CA82399FIB-1B645,Fibre,63.4,63.4,126.66666666666666,Carpet,Seagrass,Fibre Seagrass Fine 4,"Price per SQM: £38.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Seagrass Herringbone (4 M),CA57867FIB-1B645,Fibre,51.4,51.4,103.33333333333334,Carpet,Seagrass,Fibre Seagrass Herringbone 4,"Price per SQM: £31.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
