Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Invictus Centurion 95 - Slate (3 M),CA66321ASS-E057C,Associated Weavers,34.4565,34.4565,70.0,Carpet,Carpet,Associated Weavers Invictus Centurion  95 - Slate 3,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Centurion 95 - Slate (4 M),CA66321ASS-10C14,Associated Weavers,45.942,45.942,93.33333333333334,Carpet,Carpet,Associated Weavers Invictus Centurion  95 - Slate  4,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Centurion 95 - Slate (5 M),CA66321ASS-17FB8,Associated Weavers,57.4275,57.4275,116.66666666666669,Carpet,Carpet,Associated Weavers Invictus Centurion  95 - Slate  5,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Centurion 97 - Pewter (3 M),CA66321ASS-9A044,Associated Weavers,34.4565,34.4565,70.0,Carpet,Carpet,Associated Weavers Invictus Centurion  97 - Pewter 3,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Centurion 97 - Pewter (4 M),CA66321ASS-5B9BA,Associated Weavers,45.942,45.942,93.33333333333334,Carpet,Carpet,Associated Weavers Invictus Centurion  97 - Pewter  4,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Centurion 97 - Pewter (5 M),CA66321ASS-D61AD,Associated Weavers,57.4275,57.4275,116.66666666666669,Carpet,Carpet,Associated Weavers Invictus Centurion  97 - Pewter  5,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Centurion 98 - Deep Cavern (3 M),CA66321ASS-F2205,Associated Weavers,34.4565,34.4565,70.0,Carpet,Carpet,Associated Weavers Invictus Centurion  98 - Deep Cavern 3,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Centurion 98 - Deep Cavern (4 M),CA66321ASS-B48ED,Associated Weavers,45.942,45.942,93.33333333333334,Carpet,Carpet,Associated Weavers Invictus Centurion  98 - Deep Cavern  4,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Centurion 98 - Deep Cavern (5 M),CA66321ASS-B9344,Associated Weavers,57.4275,57.4275,116.66666666666669,Carpet,Carpet,Associated Weavers Invictus Centurion  98 - Deep Cavern  5,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 03 - White Swan (3 M),CA31790ASS-A9B60,Associated Weavers,41.50125,41.50125,82.5,Carpet,Carpet,Associated Weavers Invictus Darius 03 - White Swan 3,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 03 - White Swan (4 M),CA31790ASS-41E15,Associated Weavers,55.335,55.335,110.0,Carpet,Carpet,Associated Weavers Invictus Darius 03 - White Swan  4,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 03 - White Swan (5 M),CA31790ASS-33BAA,Associated Weavers,69.16875,69.16875,137.5,Carpet,Carpet,Associated Weavers Invictus Darius 03 - White Swan  5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 33 - Temple (3 M),CA31790ASS-15551,Associated Weavers,41.50125,41.50125,82.5,Carpet,Carpet,Associated Weavers Invictus Darius  33 - Temple 3,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 33 - Temple (4 M),CA31790ASS-0E00E,Associated Weavers,55.335,55.335,110.0,Carpet,Carpet,Associated Weavers Invictus Darius  33 - Temple  4,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 33 - Temple (5 M),CA31790ASS-645D5,Associated Weavers,69.16875,69.16875,137.5,Carpet,Carpet,Associated Weavers Invictus Darius  33 - Temple  5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 34 - Acacia (3 M),CA31790ASS-6A870,Associated Weavers,41.50125,41.50125,82.5,Carpet,Carpet,Associated Weavers Invictus Darius  34 - Acacia 3,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 34 - Acacia (4 M),CA31790ASS-D5B67,Associated Weavers,55.335,55.335,110.0,Carpet,Carpet,Associated Weavers Invictus Darius  34 - Acacia  4,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 34 - Acacia (5 M),CA31790ASS-57632,Associated Weavers,69.16875,69.16875,137.5,Carpet,Carpet,Associated Weavers Invictus Darius  34 - Acacia  5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 38 - Okra (3 M),CA31790ASS-EF0FB,Associated Weavers,41.50125,41.50125,82.5,Carpet,Carpet,Associated Weavers Invictus Darius  38 - Okra 3,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 38 - Okra (4 M),CA31790ASS-F07D1,Associated Weavers,55.335,55.335,110.0,Carpet,Carpet,Associated Weavers Invictus Darius  38 - Okra  4,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 38 - Okra (5 M),CA31790ASS-13A66,Associated Weavers,69.16875,69.16875,137.5,Carpet,Carpet,Associated Weavers Invictus Darius  38 - Okra  5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 39 - Wheat Straw (3 M),CA31790ASS-403AE,Associated Weavers,41.50125,41.50125,82.5,Carpet,Carpet,Associated Weavers Invictus Darius  39 - Wheat Straw 3,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 39 - Wheat Straw (4 M),CA31790ASS-4FDA2,Associated Weavers,55.335,55.335,110.0,Carpet,Carpet,Associated Weavers Invictus Darius  39 - Wheat Straw  4,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 39 - Wheat Straw (5 M),CA31790ASS-61F7A,Associated Weavers,69.16875,69.16875,137.5,Carpet,Carpet,Associated Weavers Invictus Darius  39 - Wheat Straw  5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 93 - Silver Thaw (3 M),CA31790ASS-45E77,Associated Weavers,41.50125,41.50125,82.5,Carpet,Carpet,Associated Weavers Invictus Darius  93 - Silver Thaw 3,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 93 - Silver Thaw (4 M),CA31790ASS-DD763,Associated Weavers,55.335,55.335,110.0,Carpet,Carpet,Associated Weavers Invictus Darius  93 - Silver Thaw  4,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 93 - Silver Thaw (5 M),CA31790ASS-1AA52,Associated Weavers,69.16875,69.16875,137.5,Carpet,Carpet,Associated Weavers Invictus Darius  93 - Silver Thaw  5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 94 - Duante (3 M),CA31790ASS-CA0A2,Associated Weavers,41.50125,41.50125,82.5,Carpet,Carpet,Associated Weavers Invictus Darius  94 - Duante 3,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 94 - Duante (4 M),CA31790ASS-D5E9A,Associated Weavers,55.335,55.335,110.0,Carpet,Carpet,Associated Weavers Invictus Darius  94 - Duante  4,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 94 - Duante (5 M),CA31790ASS-4F972,Associated Weavers,69.16875,69.16875,137.5,Carpet,Carpet,Associated Weavers Invictus Darius  94 - Duante  5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 95 - Kale (3 M),CA31790ASS-15CA7,Associated Weavers,41.50125,41.50125,82.5,Carpet,Carpet,Associated Weavers Invictus Darius  95 - Kale 3,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 95 - Kale (4 M),CA31790ASS-5711F,Associated Weavers,55.335,55.335,110.0,Carpet,Carpet,Associated Weavers Invictus Darius  95 - Kale  4,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 95 - Kale (5 M),CA31790ASS-768E1,Associated Weavers,69.16875,69.16875,137.5,Carpet,Carpet,Associated Weavers Invictus Darius  95 - Kale  5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 97 - Liliul (3 M),CA31790ASS-488E3,Associated Weavers,41.50125,41.50125,82.5,Carpet,Carpet,Associated Weavers Invictus Darius  97 - Liliul 3,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 97 - Liliul (4 M),CA31790ASS-094A7,Associated Weavers,55.335,55.335,110.0,Carpet,Carpet,Associated Weavers Invictus Darius  97 - Liliul  4,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 97 - Liliul (5 M),CA31790ASS-124E7,Associated Weavers,69.16875,69.16875,137.5,Carpet,Carpet,Associated Weavers Invictus Darius  97 - Liliul  5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 99 - Sesame (3 M),CA31790ASS-DD5C9,Associated Weavers,41.50125,41.50125,82.5,Carpet,Carpet,Associated Weavers Invictus Darius  99 - Sesame 3,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 99 - Sesame (4 M),CA31790ASS-52A3F,Associated Weavers,55.335,55.335,110.0,Carpet,Carpet,Associated Weavers Invictus Darius  99 - Sesame  4,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Darius 99 - Sesame (5 M),CA31790ASS-F9D30,Associated Weavers,69.16875,69.16875,137.5,Carpet,Carpet,Associated Weavers Invictus Darius  99 - Sesame  5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 09 - Granola (3 M),CA35827ASS-24F5E,Associated Weavers,51.336,51.336,102.5,Carpet,Carpet,Associated Weavers Invictus Magnificus 09 - Granola 3,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 09 - Granola (4 M),CA35827ASS-D0CC9,Associated Weavers,68.448,68.448,136.66666666666666,Carpet,Carpet,Associated Weavers Invictus Magnificus 09 - Granola  4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 09 - Granola (5 M),CA35827ASS-92340,Associated Weavers,85.55999999999999,85.55999999999999,170.83333333333331,Carpet,Carpet,Associated Weavers Invictus Magnificus 09 - Granola  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 30 - Silkworm (3 M),CA35827ASS-E8E02,Associated Weavers,51.336,51.336,102.5,Carpet,Carpet,Associated Weavers Invictus Magnificus  30 - Silkworm 3,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 30 - Silkworm (4 M),CA35827ASS-E4404,Associated Weavers,68.448,68.448,136.66666666666666,Carpet,Carpet,Associated Weavers Invictus Magnificus  30 - Silkworm  4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 30 - Silkworm (5 M),CA35827ASS-58BAE,Associated Weavers,85.55999999999999,85.55999999999999,170.83333333333331,Carpet,Carpet,Associated Weavers Invictus Magnificus  30 - Silkworm  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 31 - Shortbread (3 M),CA35827ASS-3BD73,Associated Weavers,51.336,51.336,102.5,Carpet,Carpet,Associated Weavers Invictus Magnificus  31 - Shortbread 3,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 31 - Shortbread (4 M),CA35827ASS-C2F04,Associated Weavers,68.448,68.448,136.66666666666666,Carpet,Carpet,Associated Weavers Invictus Magnificus  31 - Shortbread  4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 31 - Shortbread (5 M),CA35827ASS-90962,Associated Weavers,85.55999999999999,85.55999999999999,170.83333333333331,Carpet,Carpet,Associated Weavers Invictus Magnificus  31 - Shortbread  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 32 - Buttermilk (3 M),CA35827ASS-C0E95,Associated Weavers,51.336,51.336,102.5,Carpet,Carpet,Associated Weavers Invictus Magnificus  32 - Buttermilk 3,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 32 - Buttermilk (4 M),CA35827ASS-5811A,Associated Weavers,68.448,68.448,136.66666666666666,Carpet,Carpet,Associated Weavers Invictus Magnificus  32 - Buttermilk  4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 32 - Buttermilk (5 M),CA35827ASS-823B4,Associated Weavers,85.55999999999999,85.55999999999999,170.83333333333331,Carpet,Carpet,Associated Weavers Invictus Magnificus  32 - Buttermilk  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 33 - Cotswold Stone (3 M),CA35827ASS-CF523,Associated Weavers,51.336,51.336,102.5,Carpet,Carpet,Associated Weavers Invictus Magnificus  33 - Cotswold Stone 3,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 33 - Cotswold Stone (4 M),CA35827ASS-D72F2,Associated Weavers,68.448,68.448,136.66666666666666,Carpet,Carpet,Associated Weavers Invictus Magnificus  33 - Cotswold Stone  4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 33 - Cotswold Stone (5 M),CA35827ASS-3FE6C,Associated Weavers,85.55999999999999,85.55999999999999,170.83333333333331,Carpet,Carpet,Associated Weavers Invictus Magnificus  33 - Cotswold Stone  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 35 - Sandcastle (3 M),CA35827ASS-F495D,Associated Weavers,51.336,51.336,102.5,Carpet,Carpet,Associated Weavers Invictus Magnificus  35 - Sandcastle 3,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 35 - Sandcastle (4 M),CA35827ASS-5BF07,Associated Weavers,68.448,68.448,136.66666666666666,Carpet,Carpet,Associated Weavers Invictus Magnificus  35 - Sandcastle  4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 35 - Sandcastle (5 M),CA35827ASS-19E65,Associated Weavers,85.55999999999999,85.55999999999999,170.83333333333331,Carpet,Carpet,Associated Weavers Invictus Magnificus  35 - Sandcastle  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 37 - Macaroon (3 M),CA35827ASS-DF724,Associated Weavers,51.336,51.336,102.5,Carpet,Carpet,Associated Weavers Invictus Magnificus  37 - Macaroon 3,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 37 - Macaroon (4 M),CA35827ASS-07D1A,Associated Weavers,68.448,68.448,136.66666666666666,Carpet,Carpet,Associated Weavers Invictus Magnificus  37 - Macaroon  4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 37 - Macaroon (5 M),CA35827ASS-F4969,Associated Weavers,85.55999999999999,85.55999999999999,170.83333333333331,Carpet,Carpet,Associated Weavers Invictus Magnificus  37 - Macaroon  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 41 - Peachblossom (3 M),CA35827ASS-BF45B,Associated Weavers,51.336,51.336,102.5,Carpet,Carpet,Associated Weavers Invictus Magnificus  41 - Peachblossom 3,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 41 - Peachblossom (4 M),CA35827ASS-7C660,Associated Weavers,68.448,68.448,136.66666666666666,Carpet,Carpet,Associated Weavers Invictus Magnificus  41 - Peachblossom  4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 41 - Peachblossom (5 M),CA35827ASS-F5B42,Associated Weavers,85.55999999999999,85.55999999999999,170.83333333333331,Carpet,Carpet,Associated Weavers Invictus Magnificus  41 - Peachblossom  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 90 - Silver Moon (3 M),CA35827ASS-C8162,Associated Weavers,51.336,51.336,102.5,Carpet,Carpet,Associated Weavers Invictus Magnificus  90 - Silver Moon 3,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 90 - Silver Moon (4 M),CA35827ASS-9D4C5,Associated Weavers,68.448,68.448,136.66666666666666,Carpet,Carpet,Associated Weavers Invictus Magnificus  90 - Silver Moon  4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 90 - Silver Moon (5 M),CA35827ASS-C2ECA,Associated Weavers,85.55999999999999,85.55999999999999,170.83333333333331,Carpet,Carpet,Associated Weavers Invictus Magnificus  90 - Silver Moon  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 93 - Steel Grey (3 M),CA35827ASS-4A9DA,Associated Weavers,51.336,51.336,102.5,Carpet,Carpet,Associated Weavers Invictus Magnificus  93 - Steel Grey 3,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 93 - Steel Grey (4 M),CA35827ASS-176F5,Associated Weavers,68.448,68.448,136.66666666666666,Carpet,Carpet,Associated Weavers Invictus Magnificus  93 - Steel Grey  4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 93 - Steel Grey (5 M),CA35827ASS-2B4F2,Associated Weavers,85.55999999999999,85.55999999999999,170.83333333333331,Carpet,Carpet,Associated Weavers Invictus Magnificus  93 - Steel Grey  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 94 - Portobello Grey (3 M),CA35827ASS-815C8,Associated Weavers,51.336,51.336,102.5,Carpet,Carpet,Associated Weavers Invictus Magnificus  94 - Portobello Grey 3,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 94 - Portobello Grey (4 M),CA35827ASS-BD668,Associated Weavers,68.448,68.448,136.66666666666666,Carpet,Carpet,Associated Weavers Invictus Magnificus  94 - Portobello Grey  4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 94 - Portobello Grey (5 M),CA35827ASS-95A5F,Associated Weavers,85.55999999999999,85.55999999999999,170.83333333333331,Carpet,Carpet,Associated Weavers Invictus Magnificus  94 - Portobello Grey  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 95 - Slate (3 M),CA35827ASS-E057C,Associated Weavers,51.336,51.336,102.5,Carpet,Carpet,Associated Weavers Invictus Magnificus  95 - Slate 3,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 95 - Slate (4 M),CA35827ASS-10C14,Associated Weavers,68.448,68.448,136.66666666666666,Carpet,Carpet,Associated Weavers Invictus Magnificus  95 - Slate  4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 95 - Slate (5 M),CA35827ASS-17FB8,Associated Weavers,85.55999999999999,85.55999999999999,170.83333333333331,Carpet,Carpet,Associated Weavers Invictus Magnificus  95 - Slate  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 97 - Pewter (3 M),CA35827ASS-9A044,Associated Weavers,51.336,51.336,102.5,Carpet,Carpet,Associated Weavers Invictus Magnificus  97 - Pewter 3,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 97 - Pewter (4 M),CA35827ASS-5B9BA,Associated Weavers,68.448,68.448,136.66666666666666,Carpet,Carpet,Associated Weavers Invictus Magnificus  97 - Pewter  4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 97 - Pewter (5 M),CA35827ASS-D61AD,Associated Weavers,85.55999999999999,85.55999999999999,170.83333333333331,Carpet,Carpet,Associated Weavers Invictus Magnificus  97 - Pewter  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 98 - Deep Cavern (3 M),CA35827ASS-F2205,Associated Weavers,51.336,51.336,102.5,Carpet,Carpet,Associated Weavers Invictus Magnificus  98 - Deep Cavern 3,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 98 - Deep Cavern (4 M),CA35827ASS-B48ED,Associated Weavers,68.448,68.448,136.66666666666666,Carpet,Carpet,Associated Weavers Invictus Magnificus  98 - Deep Cavern  4,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Magnificus 98 - Deep Cavern (5 M),CA35827ASS-B9344,Associated Weavers,85.55999999999999,85.55999999999999,170.83333333333331,Carpet,Carpet,Associated Weavers Invictus Magnificus  98 - Deep Cavern  5,Price per SQM: £41.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Orion 28 - Sage Grey (3 M),CA63331ASS-380B4,Associated Weavers,41.50125,41.50125,82.5,Carpet,Carpet,Associated Weavers Invictus Orion 28 - Sage Grey 3,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Orion 28 - Sage Grey (4 M),CA63331ASS-1D7A9,Associated Weavers,55.335,55.335,110.0,Carpet,Carpet,Associated Weavers Invictus Orion 28 - Sage Grey  4,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Orion 28 - Sage Grey (5 M),CA63331ASS-5B00E,Associated Weavers,69.16875,69.16875,137.5,Carpet,Carpet,Associated Weavers Invictus Orion 28 - Sage Grey  5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Orion 30 - Blanched Almond (3 M),CA63331ASS-47A0F,Associated Weavers,41.50125,41.50125,82.5,Carpet,Carpet,Associated Weavers Invictus Orion  30 - Blanched Almond 3,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Orion 30 - Blanched Almond (4 M),CA63331ASS-95909,Associated Weavers,55.335,55.335,110.0,Carpet,Carpet,Associated Weavers Invictus Orion  30 - Blanched Almond  4,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Orion 30 - Blanched Almond (5 M),CA63331ASS-392C4,Associated Weavers,69.16875,69.16875,137.5,Carpet,Carpet,Associated Weavers Invictus Orion  30 - Blanched Almond  5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Orion 32 - Sandy Beach (3 M),CA63331ASS-14D6F,Associated Weavers,41.50125,41.50125,82.5,Carpet,Carpet,Associated Weavers Invictus Orion  32 - Sandy Beach 3,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Orion 32 - Sandy Beach (4 M),CA63331ASS-C2EB3,Associated Weavers,55.335,55.335,110.0,Carpet,Carpet,Associated Weavers Invictus Orion  32 - Sandy Beach  4,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Orion 32 - Sandy Beach (5 M),CA63331ASS-FD7A6,Associated Weavers,69.16875,69.16875,137.5,Carpet,Carpet,Associated Weavers Invictus Orion  32 - Sandy Beach  5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Orion 35 - Pale Umber (3 M),CA63331ASS-85B06,Associated Weavers,41.50125,41.50125,82.5,Carpet,Carpet,Associated Weavers Invictus Orion  35 - Pale Umber 3,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Orion 35 - Pale Umber (4 M),CA63331ASS-2713F,Associated Weavers,55.335,55.335,110.0,Carpet,Carpet,Associated Weavers Invictus Orion  35 - Pale Umber  4,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Orion 35 - Pale Umber (5 M),CA63331ASS-202C7,Associated Weavers,69.16875,69.16875,137.5,Carpet,Carpet,Associated Weavers Invictus Orion  35 - Pale Umber  5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Orion 36 - Latte (3 M),CA63331ASS-33425,Associated Weavers,41.50125,41.50125,82.5,Carpet,Carpet,Associated Weavers Invictus Orion  36 - Latte 3,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Orion 36 - Latte (4 M),CA63331ASS-E132F,Associated Weavers,55.335,55.335,110.0,Carpet,Carpet,Associated Weavers Invictus Orion  36 - Latte  4,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Orion 36 - Latte (5 M),CA63331ASS-02821,Associated Weavers,69.16875,69.16875,137.5,Carpet,Carpet,Associated Weavers Invictus Orion  36 - Latte  5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Invictus Orion 42 - Indian Summer (3 M),CA63331ASS-B1618,Associated Weavers,41.50125,41.50125,82.5,Carpet,Carpet,Associated Weavers Invictus Orion  42 - Indian Summer 3,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
