Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Aurora Arabesque (4 M),CA58748KER-D1202,Kersaint Cobb,92.4,92.4,166.66666666666669,Carpet,Carpet,Kersaint Cobb Aurora Arabesque 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Arabesque (5 M),CA58748KER-E311C,Kersaint Cobb,115.5,115.5,208.33333333333337,Carpet,Carpet,Kersaint Cobb Aurora Arabesque  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Fez (4 M),CA58748KER-D92C4,Kersaint Cobb,92.4,92.4,166.66666666666669,Carpet,Carpet,Kersaint Cobb Aurora  Fez 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Fez (5 M),CA58748KER-390F2,Kersaint Cobb,115.5,115.5,208.33333333333337,Carpet,Carpet,Kersaint Cobb Aurora  Fez  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Maroc Light (4 M),CA58748KER-A35C3,Kersaint Cobb,92.4,92.4,166.66666666666669,Carpet,Carpet,Kersaint Cobb Aurora  Maroc Light 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Maroc Light (5 M),CA58748KER-CACAD,Kersaint Cobb,115.5,115.5,208.33333333333337,Carpet,Carpet,Kersaint Cobb Aurora  Maroc Light  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Marrakech (4 M),CA58748KER-677A6,Kersaint Cobb,92.4,92.4,166.66666666666669,Carpet,Carpet,Kersaint Cobb Aurora  Marrakech 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Marrakech (5 M),CA58748KER-DAB53,Kersaint Cobb,115.5,115.5,208.33333333333337,Carpet,Carpet,Kersaint Cobb Aurora  Marrakech  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Medina (4 M),CA58748KER-B206A,Kersaint Cobb,92.4,92.4,166.66666666666669,Carpet,Carpet,Kersaint Cobb Aurora  Medina 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Medina (5 M),CA58748KER-00083,Kersaint Cobb,115.5,115.5,208.33333333333337,Carpet,Carpet,Kersaint Cobb Aurora  Medina  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Meknes (4 M),CA58748KER-7944D,Kersaint Cobb,92.4,92.4,166.66666666666669,Carpet,Carpet,Kersaint Cobb Aurora  Meknes 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Meknes (5 M),CA58748KER-AA08C,Kersaint Cobb,115.5,115.5,208.33333333333337,Carpet,Carpet,Kersaint Cobb Aurora  Meknes  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Moorish Spaces (4 M),CA58748KER-FFAA3,Kersaint Cobb,92.4,92.4,166.66666666666669,Carpet,Carpet,Kersaint Cobb Aurora  Moorish Spaces 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Moorish Spaces (5 M),CA58748KER-A3F13,Kersaint Cobb,115.5,115.5,208.33333333333337,Carpet,Carpet,Kersaint Cobb Aurora  Moorish Spaces  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Riad Hide (4 M),CA58748KER-84436,Kersaint Cobb,92.4,92.4,166.66666666666669,Carpet,Carpet,Kersaint Cobb Aurora  Riad Hide 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Riad Hide (5 M),CA58748KER-19E40,Kersaint Cobb,115.5,115.5,208.33333333333337,Carpet,Carpet,Kersaint Cobb Aurora  Riad Hide  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Rooftop Sundown (4 M),CA58748KER-8F085,Kersaint Cobb,92.4,92.4,166.66666666666669,Carpet,Carpet,Kersaint Cobb Aurora  Rooftop Sundown 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Rooftop Sundown (5 M),CA58748KER-387B7,Kersaint Cobb,115.5,115.5,208.33333333333337,Carpet,Carpet,Kersaint Cobb Aurora  Rooftop Sundown  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Rose Water (4 M),CA58748KER-4A27C,Kersaint Cobb,92.4,92.4,166.66666666666669,Carpet,Carpet,Kersaint Cobb Aurora  Rose Water 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Rose Water (5 M),CA58748KER-4B09D,Kersaint Cobb,115.5,115.5,208.33333333333337,Carpet,Carpet,Kersaint Cobb Aurora  Rose Water  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Souk Puzzle (4 M),CA58748KER-95B87,Kersaint Cobb,92.4,92.4,166.66666666666669,Carpet,Carpet,Kersaint Cobb Aurora  Souk Puzzle 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Souk Puzzle (5 M),CA58748KER-84448,Kersaint Cobb,115.5,115.5,208.33333333333337,Carpet,Carpet,Kersaint Cobb Aurora  Souk Puzzle  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Tetuoan (4 M),CA58748KER-7CE21,Kersaint Cobb,92.4,92.4,166.66666666666669,Carpet,Carpet,Kersaint Cobb Aurora  Tetuoan 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Tetuoan (5 M),CA58748KER-CEFD3,Kersaint Cobb,115.5,115.5,208.33333333333337,Carpet,Carpet,Kersaint Cobb Aurora  Tetuoan  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Capella Arctic White (4 M),CA98363KER-52BB8,Kersaint Cobb,51.8,51.8,103.33333333333334,Carpet,Carpet,Kersaint Cobb Capella Arctic White 4,Price per SQM: £31.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Capella Arctic White (5 M),CA98363KER-0DE95,Kersaint Cobb,64.75,64.75,129.16666666666669,Carpet,Carpet,Kersaint Cobb Capella Arctic White  5,Price per SQM: £31.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Capella Ivory Cream (4 M),CA98363KER-52A9F,Kersaint Cobb,51.8,51.8,103.33333333333334,Carpet,Carpet,Kersaint Cobb Capella  Ivory Cream 4,Price per SQM: £31.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Capella Ivory Cream (5 M),CA98363KER-3AC76,Kersaint Cobb,64.75,64.75,129.16666666666669,Carpet,Carpet,Kersaint Cobb Capella  Ivory Cream  5,Price per SQM: £31.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Capella Morning Frost (4 M),CA98363KER-378AF,Kersaint Cobb,51.8,51.8,103.33333333333334,Carpet,Carpet,Kersaint Cobb Capella  Morning Frost 4,Price per SQM: £31.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Capella Morning Frost (5 M),CA98363KER-3F846,Kersaint Cobb,64.75,64.75,129.16666666666669,Carpet,Carpet,Kersaint Cobb Capella  Morning Frost  5,Price per SQM: £31.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Capella Rich Earth (4 M),CA98363KER-C03A0,Kersaint Cobb,51.8,51.8,103.33333333333334,Carpet,Carpet,Kersaint Cobb Capella  Rich Earth 4,Price per SQM: £31.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Capella Rich Earth (5 M),CA98363KER-1F63F,Kersaint Cobb,64.75,64.75,129.16666666666669,Carpet,Carpet,Kersaint Cobb Capella  Rich Earth  5,Price per SQM: £31.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Capella Thunder Grey (4 M),CA98363KER-05059,Kersaint Cobb,51.8,51.8,103.33333333333334,Carpet,Carpet,Kersaint Cobb Capella  Thunder Grey 4,Price per SQM: £31.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Capella Thunder Grey (5 M),CA98363KER-CBEED,Kersaint Cobb,64.75,64.75,129.16666666666669,Carpet,Carpet,Kersaint Cobb Capella  Thunder Grey  5,Price per SQM: £31.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Capella Wildwood (4 M),CA98363KER-1746B,Kersaint Cobb,51.8,51.8,103.33333333333334,Carpet,Carpet,Kersaint Cobb Capella  Wildwood 4,Price per SQM: £31.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Capella Wildwood (5 M),CA98363KER-3B710,Kersaint Cobb,64.75,64.75,129.16666666666669,Carpet,Carpet,Kersaint Cobb Capella  Wildwood  5,Price per SQM: £31.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Cascade April Shower (4 M),CA16969KER-041DE,Kersaint Cobb,143.0,143.0,230.0,Carpet,Carpet,Kersaint Cobb Cascade April Shower 4,Price per SQM: £69.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Cascade Grey Fossil (4 M),CA16969KER-09378,Kersaint Cobb,143.0,143.0,230.0,Carpet,Carpet,Kersaint Cobb Cascade  Grey Fossil 4,Price per SQM: £69.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Cascade Light Cloud (4 M),CA16969KER-34897,Kersaint Cobb,143.0,143.0,230.0,Carpet,Carpet,Kersaint Cobb Cascade  Light Cloud 4,Price per SQM: £69.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Cascade Pale Linen (4 M),CA16969KER-045E0,Kersaint Cobb,143.0,143.0,230.0,Carpet,Carpet,Kersaint Cobb Cascade  Pale Linen 4,Price per SQM: £69.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Cascade Sand Castle (4 M),CA16969KER-694E5,Kersaint Cobb,143.0,143.0,230.0,Carpet,Carpet,Kersaint Cobb Cascade  Sand Castle 4,Price per SQM: £69.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Cascade Steel Armour (4 M),CA16969KER-BD81A,Kersaint Cobb,143.0,143.0,230.0,Carpet,Carpet,Kersaint Cobb Cascade  Steel Armour 4,Price per SQM: £69.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Country Herbs Basil (4 M),CA35879KER-B51E7,Kersaint Cobb,84.8,84.8,153.33333333333334,Carpet,Carpet,Kersaint Cobb Country Herbs Basil 4,Price per SQM: £46.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Country Herbs Basil (5 M),CA35879KER-E4FBA,Kersaint Cobb,106.0,106.0,191.66666666666669,Carpet,Carpet,Kersaint Cobb Country Herbs Basil  5,Price per SQM: £46.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Country Herbs Chamomile (4 M),CA35879KER-97089,Kersaint Cobb,84.8,84.8,153.33333333333334,Carpet,Carpet,Kersaint Cobb Country Herbs  Chamomile 4,Price per SQM: £46.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Country Herbs Chamomile (5 M),CA35879KER-87F11,Kersaint Cobb,106.0,106.0,191.66666666666669,Carpet,Carpet,Kersaint Cobb Country Herbs  Chamomile  5,Price per SQM: £46.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Country Herbs Chervil (4 M),CA35879KER-222D3,Kersaint Cobb,84.8,84.8,153.33333333333334,Carpet,Carpet,Kersaint Cobb Country Herbs  Chervil 4,Price per SQM: £46.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Country Herbs Chervil (5 M),CA35879KER-EC327,Kersaint Cobb,106.0,106.0,191.66666666666669,Carpet,Carpet,Kersaint Cobb Country Herbs  Chervil  5,Price per SQM: £46.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Country Herbs Rosemary (4 M),CA35879KER-0D9E3,Kersaint Cobb,84.8,84.8,153.33333333333334,Carpet,Carpet,Kersaint Cobb Country Herbs  Rosemary 4,Price per SQM: £46.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Country Herbs Rosemary (5 M),CA35879KER-D6B97,Kersaint Cobb,106.0,106.0,191.66666666666669,Carpet,Carpet,Kersaint Cobb Country Herbs  Rosemary  5,Price per SQM: £46.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Country Herbs Sorrel (4 M),CA35879KER-C1620,Kersaint Cobb,84.8,84.8,153.33333333333334,Carpet,Carpet,Kersaint Cobb Country Herbs  Sorrel 4,Price per SQM: £46.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Country Herbs Sorrel (5 M),CA35879KER-F6127,Kersaint Cobb,106.0,106.0,191.66666666666669,Carpet,Carpet,Kersaint Cobb Country Herbs  Sorrel  5,Price per SQM: £46.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Country Herbs Tarragon (4 M),CA35879KER-5CFB7,Kersaint Cobb,84.8,84.8,153.33333333333334,Carpet,Carpet,Kersaint Cobb Country Herbs  Tarragon 4,Price per SQM: £46.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Country Herbs Tarragon (5 M),CA35879KER-4DEBC,Kersaint Cobb,106.0,106.0,191.66666666666669,Carpet,Carpet,Kersaint Cobb Country Herbs  Tarragon  5,Price per SQM: £46.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Country Herbs Wild Garlic (4 M),CA35879KER-298F5,Kersaint Cobb,84.8,84.8,153.33333333333334,Carpet,Carpet,Kersaint Cobb Country Herbs  Wild Garlic 4,Price per SQM: £46.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Country Herbs Wild Garlic (5 M),CA35879KER-EAE30,Kersaint Cobb,106.0,106.0,191.66666666666669,Carpet,Carpet,Kersaint Cobb Country Herbs  Wild Garlic  5,Price per SQM: £46.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Elegance Marseilles (4 M),CA47981KER-B9CFA,Kersaint Cobb,113.4,113.4,193.33333333333331,Carpet,Carpet,Kersaint Cobb Elegance Marseilles 4,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Elegance Marseilles (5 M),CA47981KER-56933,Kersaint Cobb,141.75,141.75,241.66666666666663,Carpet,Carpet,Kersaint Cobb Elegance Marseilles  5,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Elegance Murcia (4 M),CA47981KER-A4710,Kersaint Cobb,113.4,113.4,193.33333333333331,Carpet,Carpet,Kersaint Cobb Elegance  Murcia 4,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Elegance Murcia (5 M),CA47981KER-EE244,Kersaint Cobb,141.75,141.75,241.66666666666663,Carpet,Carpet,Kersaint Cobb Elegance  Murcia  5,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Elegance Toulouse (4 M),CA47981KER-589AD,Kersaint Cobb,113.4,113.4,193.33333333333331,Carpet,Carpet,Kersaint Cobb Elegance  Toulouse 4,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Elegance Toulouse (5 M),CA47981KER-6E843,Kersaint Cobb,141.75,141.75,241.66666666666663,Carpet,Carpet,Kersaint Cobb Elegance  Toulouse  5,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Elegance Vienna (4 M),CA47981KER-ABD57,Kersaint Cobb,113.4,113.4,193.33333333333331,Carpet,Carpet,Kersaint Cobb Elegance  Vienna 4,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Elegance Vienna (5 M),CA47981KER-98E25,Kersaint Cobb,141.75,141.75,241.66666666666663,Carpet,Carpet,Kersaint Cobb Elegance  Vienna  5,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Exquisite Basseterre (4 M),CA23261KER-56AC8,Kersaint Cobb,113.4,113.4,193.33333333333331,Carpet,Carpet,Kersaint Cobb Exquisite Basseterre 4,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Exquisite Basseterre (5 M),CA23261KER-9CD81,Kersaint Cobb,141.75,141.75,241.66666666666663,Carpet,Carpet,Kersaint Cobb Exquisite Basseterre  5,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Exquisite Colombo (4 M),CA23261KER-9314F,Kersaint Cobb,113.4,113.4,193.33333333333331,Carpet,Carpet,Kersaint Cobb Exquisite  Colombo 4,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Exquisite Colombo (5 M),CA23261KER-0398C,Kersaint Cobb,141.75,141.75,241.66666666666663,Carpet,Carpet,Kersaint Cobb Exquisite  Colombo  5,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Exquisite Port Vila (4 M),CA23261KER-49BE8,Kersaint Cobb,113.4,113.4,193.33333333333331,Carpet,Carpet,Kersaint Cobb Exquisite  Port Vila 4,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Exquisite Port Vila (5 M),CA23261KER-A152B,Kersaint Cobb,141.75,141.75,241.66666666666663,Carpet,Carpet,Kersaint Cobb Exquisite  Port Vila  5,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Exquisite Praia (4 M),CA23261KER-3CEFC,Kersaint Cobb,113.4,113.4,193.33333333333331,Carpet,Carpet,Kersaint Cobb Exquisite  Praia 4,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Exquisite Praia (5 M),CA23261KER-94D79,Kersaint Cobb,141.75,141.75,241.66666666666663,Carpet,Carpet,Kersaint Cobb Exquisite  Praia  5,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Exquisite San Marino (4 M),CA23261KER-274C9,Kersaint Cobb,113.4,113.4,193.33333333333331,Carpet,Carpet,Kersaint Cobb Exquisite  San Marino 4,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Exquisite San Marino (5 M),CA23261KER-C45E0,Kersaint Cobb,141.75,141.75,241.66666666666663,Carpet,Carpet,Kersaint Cobb Exquisite  San Marino  5,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Exquisite Victoria (4 M),CA23261KER-3DA84,Kersaint Cobb,113.4,113.4,193.33333333333331,Carpet,Carpet,Kersaint Cobb Exquisite  Victoria 4,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Exquisite Victoria (5 M),CA23261KER-49FB3,Kersaint Cobb,141.75,141.75,241.66666666666663,Carpet,Carpet,Kersaint Cobb Exquisite  Victoria  5,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Folded Angle Chevron Architect (5 M),CA24314KER-1E3AF,Kersaint Cobb,209.75,209.75,316.66666666666663,Carpet,Carpet,Kersaint Cobb Folded Angle Chevron Architect 5,Price per SQM: £76.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Folded Angle Ivory Paper (5 M),CA24314KER-0A0FE,Kersaint Cobb,209.75,209.75,316.66666666666663,Carpet,Carpet,Kersaint Cobb Folded Angle  Ivory Paper 5,Price per SQM: £76.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Folded Angle Pleated Grey (5 M),CA24314KER-E29E1,Kersaint Cobb,209.75,209.75,316.66666666666663,Carpet,Carpet,Kersaint Cobb Folded Angle  Pleated Grey 5,Price per SQM: £76.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Folded Angle Shiro Practice (5 M),CA24314KER-2B2EC,Kersaint Cobb,209.75,209.75,316.66666666666663,Carpet,Carpet,Kersaint Cobb Folded Angle  Shiro Practice 5,Price per SQM: £76.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Folded Angle Tessellation (5 M),CA24314KER-7A844,Kersaint Cobb,209.75,209.75,316.66666666666663,Carpet,Carpet,Kersaint Cobb Folded Angle  Tessellation 5,Price per SQM: £76.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Folded Angle Washi (5 M),CA24314KER-D0B84,Kersaint Cobb,209.75,209.75,316.66666666666663,Carpet,Carpet,Kersaint Cobb Folded Angle  Washi 5,Price per SQM: £76.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Grandeur Buenos Aires (4 M),CA12859KER-8D555,Kersaint Cobb,113.4,113.4,193.33333333333331,Carpet,Carpet,Kersaint Cobb Grandeur Buenos Aires 4,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Grandeur Buenos Aires (5 M),CA12859KER-26086,Kersaint Cobb,141.75,141.75,241.66666666666663,Carpet,Carpet,Kersaint Cobb Grandeur Buenos Aires  5,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Grandeur Kingston (4 M),CA12859KER-C9E93,Kersaint Cobb,113.4,113.4,193.33333333333331,Carpet,Carpet,Kersaint Cobb Grandeur  Kingston 4,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Grandeur Kingston (5 M),CA12859KER-0C165,Kersaint Cobb,141.75,141.75,241.66666666666663,Carpet,Carpet,Kersaint Cobb Grandeur  Kingston  5,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Grandeur Nairobi (4 M),CA12859KER-1E14E,Kersaint Cobb,113.4,113.4,193.33333333333331,Carpet,Carpet,Kersaint Cobb Grandeur  Nairobi 4,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Grandeur Nairobi (5 M),CA12859KER-52651,Kersaint Cobb,141.75,141.75,241.66666666666663,Carpet,Carpet,Kersaint Cobb Grandeur  Nairobi  5,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Grandeur Nassau (4 M),CA12859KER-4C890,Kersaint Cobb,113.4,113.4,193.33333333333331,Carpet,Carpet,Kersaint Cobb Grandeur  Nassau 4,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Grandeur Nassau (5 M),CA12859KER-D5A9D,Kersaint Cobb,141.75,141.75,241.66666666666663,Carpet,Carpet,Kersaint Cobb Grandeur  Nassau  5,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Grandeur San Jose (4 M),CA12859KER-8B936,Kersaint Cobb,113.4,113.4,193.33333333333331,Carpet,Carpet,Kersaint Cobb Grandeur  San Jose 4,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Grandeur San Jose (5 M),CA12859KER-A3FF5,Kersaint Cobb,141.75,141.75,241.66666666666663,Carpet,Carpet,Kersaint Cobb Grandeur  San Jose  5,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Grandeur Santiago (4 M),CA12859KER-77F15,Kersaint Cobb,113.4,113.4,193.33333333333331,Carpet,Carpet,Kersaint Cobb Grandeur  Santiago 4,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Grandeur Santiago (5 M),CA12859KER-D082D,Kersaint Cobb,141.75,141.75,241.66666666666663,Carpet,Carpet,Kersaint Cobb Grandeur  Santiago  5,Price per SQM: £58.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Inspired Directions Cafe Culture (4 M),CA33597KER-7D557,Kersaint Cobb,89.4,89.4,160.0,Carpet,Carpet,Kersaint Cobb Inspired Directions  Cafe Culture 4,Price per SQM: £48.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Inspired Directions Cafe Culture (5 M),CA33597KER-C43E0,Kersaint Cobb,111.75,111.75,200.0,Carpet,Carpet,Kersaint Cobb Inspired Directions  Cafe Culture  5,Price per SQM: £48.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Inspired Directions City Guide (4 M),CA33597KER-1F640,Kersaint Cobb,89.4,89.4,160.0,Carpet,Carpet,Kersaint Cobb Inspired Directions   City Guide 4,Price per SQM: £48.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Inspired Directions City Guide (5 M),CA33597KER-28699,Kersaint Cobb,111.75,111.75,200.0,Carpet,Carpet,Kersaint Cobb Inspired Directions   City Guide  5,Price per SQM: £48.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Inspired Directions Design Tripper (4 M),CA33597KER-966CB,Kersaint Cobb,89.4,89.4,160.0,Carpet,Carpet,Kersaint Cobb Inspired Directions   Design Tripper 4,Price per SQM: £48.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Inspired Directions Design Tripper (5 M),CA33597KER-52F3D,Kersaint Cobb,111.75,111.75,200.0,Carpet,Carpet,Kersaint Cobb Inspired Directions   Design Tripper  5,Price per SQM: £48.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Inspired Directions Fine Art (4 M),CA33597KER-4FFCC,Kersaint Cobb,89.4,89.4,160.0,Carpet,Carpet,Kersaint Cobb Inspired Directions   Fine Art 4,Price per SQM: £48.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Inspired Directions Fine Art (5 M),CA33597KER-62847,Kersaint Cobb,111.75,111.75,200.0,Carpet,Carpet,Kersaint Cobb Inspired Directions   Fine Art  5,Price per SQM: £48.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Inspired Directions Flemish Grey (4 M),CA33597KER-62574,Kersaint Cobb,89.4,89.4,160.0,Carpet,Carpet,Kersaint Cobb Inspired Directions   Flemish Grey 4,Price per SQM: £48.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Inspired Directions Flemish Grey (5 M),CA33597KER-15DC1,Kersaint Cobb,111.75,111.75,200.0,Carpet,Carpet,Kersaint Cobb Inspired Directions   Flemish Grey  5,Price per SQM: £48.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
