Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Annabelle III 843 (2 M),CA91106ROL-55B1A,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  843 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 843 (4 M),CA91106ROL-7D8A2,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  843  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 844 (2 M),CA91106ROL-A557E,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  844 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 844 (4 M),CA91106ROL-7F509,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  844  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 845 (2 M),CA91106ROL-E247B,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  845 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 845 (4 M),CA91106ROL-9A50C,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  845  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 846 (2 M),CA91106ROL-03964,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  846 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 846 (4 M),CA91106ROL-4CE58,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  846  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 847 (2 M),CA91106ROL-32251,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  847 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 847 (4 M),CA91106ROL-21C7C,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  847  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 848 (2 M),CA91106ROL-A664D,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  848 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
