Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Topaze - Authentic (Sonate 140) 1000034,WO80712PAN,Panaget,65.82,65.82,92.5,Wood,Plank,Panaget Topaze - Authentic (Sonate 140) 1000034,Price per SQM: £111.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Topaze - Classic (Chevron 90) 1005735,WO73772PAN,Panaget,69.95,69.95,98.33333333333334,Wood,Chevron,Panaget Topaze - Classic (Chevron 90) 1005735,Price per SQM: £118.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Topaze - Classic (Diva 184) 1006158,WO77551PAN,Panaget,59.0,59.0,82.5,Wood,Plank,Panaget Topaze - Classic (Diva 184) 1006158,Price per SQM: £99.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Topaze - Classic/Authentic (Herringbone 90) 1020644,WO11235PAN,Panaget,44.2,44.2,66.66666666666667,Wood,Herringbone,Panaget Topaze - Classic/Authentic (Herringbone 90) 1020644,Price per SQM: £80.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Topaze - Tradition (Alto 139) 1017700,WO29524PAN,Panaget,46.52,46.52,70.0,Wood,Plank,Panaget Topaze - Tradition (Alto 139) 1017700,Price per SQM: £84.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Tourbe - Zenitude (Diva 184) 1014165,WO62056PAN,Panaget,52.75,52.75,74.16666666666667,Wood,Plank,Panaget Tourbe - Zenitude (Diva 184) 1014165,Price per SQM: £89.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Tourbe - Zenitude/Origine (Diva 184) 1006552,WO86987PAN,Panaget,57.75,57.75,80.83333333333334,Wood,Plank,Panaget Tourbe - Zenitude/Origine (Diva 184) 1006552,Price per SQM: £97.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Tufeau - Authentic (Diva 139) 1019707,WO96380PAN,Panaget,41.4,41.4,62.5,Wood,Plank,Panaget Tufeau - Authentic (Diva 139) 1019707,Price per SQM: £75.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Tufeau - Authentic (Diva 184) 1014185,WO75688PAN,Panaget,77.23,77.23,108.33333333333334,Wood,Plank,Panaget Tufeau - Authentic (Diva 184) 1014185,Price per SQM: £130.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Tufeau - Authentic (Herringbone 90) 1016743,WO88305PAN,Panaget,44.2,44.2,66.66666666666667,Wood,Herringbone,Panaget Tufeau - Authentic (Herringbone 90) 1016743,"Price per SQM: £80.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Tufeau - Zenitude (Diva 184) 1006551,WO73968PAN,Panaget,57.75,57.75,80.83333333333334,Wood,Plank,Panaget Tufeau - Zenitude (Diva 184) 1006551,Price per SQM: £97.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Tufeau - Zenitude (Diva 184) 1007326,WO31883PAN,Panaget,52.75,52.75,74.16666666666667,Wood,Plank,Panaget Tufeau - Zenitude (Diva 184) 1007326,Price per SQM: £89.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Tufeau - Zenitude/Origine (Herringbone 139) 1007658,WO91511PAN,Panaget,52.75,52.75,74.16666666666667,Wood,Herringbone,Panaget Tufeau - Zenitude/Origine (Herringbone 139) 1007658,Price per SQM: £89.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
White Oil - Zenitude (Diva 184) 1007644,WO28556PAN,Panaget,37.65,37.65,58.33333333333333,Wood,Plank,Panaget White Oil - Zenitude (Diva 184) 1007644,Price per SQM: £70.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
