Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Trendtime 8 - Handscraped & Brushed 1739953,WO65782PAR,Parador,42.438,42.438,68.33333333333333,Wood,Plank,Parador Trendtime 8 - Handscraped & Brushed 1739953,Price per SQM: £82.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 8 - Limed Handcrafted 1739950,WO49160PAR,Parador,36.65475,36.65475,61.66666666666667,Wood,Plank,Parador Trendtime 8 - Limed Handcrafted 1739950,Price per SQM: £74.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 8 - Multiplank 1744429,WO68083PAR,Parador,43.4775,43.4775,70.0,Wood,Plank,Parador Trendtime 8 - Multiplank 1744429,Price per SQM: £84.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 8 - Natural Oil Handcrafted 1739944,WO86852PAR,Parador,36.65475,36.65475,61.66666666666667,Wood,Plank,Parador Trendtime 8 - Natural Oil Handcrafted 1739944,Price per SQM: £74.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 8 - Pinot Loft Plank 1744430,WO79651PAR,Parador,43.4775,43.4775,70.0,Wood,Plank,Parador Trendtime 8 - Pinot Loft Plank 1744430,Price per SQM: £84.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 8 - Smoked Elephant Skin 1739954,WO32931PAR,Parador,47.16525,47.16525,70.83333333333333,Wood,Plank,Parador Trendtime 8 - Smoked Elephant Skin 1739954,Price per SQM: £85.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 8 - Smoked Grey Handcrafted 1739951,WO70582PAR,Parador,37.488,37.488,60.83333333333333,Wood,Plank,Parador Trendtime 8 - Smoked Grey Handcrafted 1739951,Price per SQM: £73.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 8 - Smoked Handscraped 1739955,WO23978PAR,Parador,45.44925,45.44925,73.33333333333333,Wood,Plank,Parador Trendtime 8 - Smoked Handscraped 1739955,Price per SQM: £88.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 8 - Smoked Natural Oil 1739945,WO14785PAR,Parador,37.488,37.488,60.83333333333333,Wood,Plank,Parador Trendtime 8 - Smoked Natural Oil 1739945,Price per SQM: £73.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 8 - Smoked Stone Handcrafted 1744432,WO25683PAR,Parador,37.488,37.488,60.83333333333333,Wood,Plank,Parador Trendtime 8 - Smoked Stone Handcrafted 1744432,Price per SQM: £73.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 8 - Smoked Trre Plank 1739956,WO72228PAR,Parador,47.34675,47.34675,70.83333333333333,Wood,Plank,Parador Trendtime 8 - Smoked Trre Plank 1739956,Price per SQM: £85.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 8 - Tree Plank 1739957,WO34247PAR,Parador,43.4775,43.4775,70.0,Wood,Plank,Parador Trendtime 8 - Tree Plank 1739957,Price per SQM: £84.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 8 - White Oil Handscraped 1739959,WO14044PAR,Parador,42.95775,42.95775,69.16666666666667,Wood,Plank,Parador Trendtime 8 - White Oil Handscraped 1739959,Price per SQM: £83.00 inc VAT; Locations: None; Data synced from Rakata
