Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Harlech Smoked Oak,WO19484WOO,Woodpecker,49.0,49.0,73.33333333333333,Wood,Plank,Woodpecker Harlech Smoked Oak,"Price per SQM: £88.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Harlech Biscotti Oak,WO68453WOO,Woodpecker,49.0,49.0,73.33333333333333,Wood,Plank,Woodpecker Harlech Biscotti Oak,"Price per SQM: £88.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Harlech Coffee Oak,WO40045WOO,Woodpecker,49.0,49.0,73.33333333333333,Wood,Plank,Woodpecker Harlech Coffee Oak,Price per SQM: £88.00 inc VAT; Locations: None; Data synced from Rakata
Harlech Cognac Oak,WO94140WOO,Woodpecker,49.0,49.0,73.33333333333333,Wood,Plank,Woodpecker Harlech Cognac Oak,"Price per SQM: £88.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Harlech Chocolate Oak,WO98332WOO,Woodpecker,49.0,49.0,73.33333333333333,Wood,Plank,Woodpecker Harlech Chocolate Oak,"Price per SQM: £88.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Harlech Stormy Oak,WO75708WOO,Woodpecker,59.0,59.0,82.5,Wood,Plank,Woodpecker Harlech Stormy Oak,"Price per SQM: £99.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Goodrich Whitened Oak,WO68715WOO,Woodpecker,54.5,54.5,76.66666666666667,Wood,Herringbone,Woodpecker Goodrich Whitened Oak,"Price per SQM: £92.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Goodrich Feather Oak,WO72878WOO,Woodpecker,56.5,56.5,79.16666666666667,Wood,Herringbone,Woodpecker Goodrich Feather Oak,"Price per SQM: £95.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Goodrich Feather Oak (Chevron),WO19400WOO,Woodpecker,66.5,66.5,93.33333333333334,Wood,Chevron,Woodpecker Goodrich Feather Oak (Chevron),Price per SQM: £112.00 inc VAT; Locations: None; Data synced from Rakata
Goodrich Biscotti Oak,WO80021WOO,Woodpecker,56.5,56.5,79.16666666666667,Wood,Herringbone,Woodpecker Goodrich Biscotti Oak,"Price per SQM: £95.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
