Description,Part Number,Manufacturer,Supplier,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
AR6 SF 6mm Ramp - Pewter (900 mm),AN67396CAT,CAT,Ballister,9.33,9.33,35.0,Ancillaries,Profile,Ballister CAT AR6 SF 6mm Ramp - Pewter (900 mm),Data synced from Rakata
FAB 1 Twin Top Single Leg Carpet Trim - Polished Brass (900 mm),AN67800CAT,CAT,Ballister,13.46,13.46,45.83,Ancillaries,Profile,Ballister CAT FAB 1 Twin Top Single Leg Carpet Trim - Polished Brass (900 mm),Data synced from Rakata
AC38 SF Cover Plate - Light Bronze (900 mm),AN68018CAT,CAT,Ballister,9.99,9.99,35.0,Ancillaries,Profile,Ballister CAT AC38 SF Cover Plate - Light Bronze (900 mm),Data synced from Rakata
AR6 SF 6mm Ramp - Bronze (900 mm),AN68037CAT,CAT,Ballister,9.33,9.33,35.0,Ancillaries,Profile,Ballister CAT AR6 SF 6mm Ramp - Bronze (900 mm),Data synced from Rakata
AR6 SF 6mm Ramp - Light Bronze (900 mm),AN71216CAT,CAT,Ballister,9.33,9.33,35.0,Ancillaries,Profile,Ballister CAT AR6 SF 6mm Ramp - Light Bronze (900 mm),Data synced from Rakata
Feline BNF Single Profile - Antique Bronze (900 mm),AN71483CAT,CAT,Ballister,15.07,15.07,40.83,Ancillaries,Profile,Ballister CAT Feline BNF Single Profile - Antique Bronze (900 mm),Data synced from Rakata
AC38 SF Cover Plate - Pewter (2715 mm),AN72896CAT,CAT,Ballister,29.96,29.96,87.5,Ancillaries,Profile,Ballister CAT AC38 SF Cover Plate - Pewter (2715 mm),Data synced from Rakata
FAB 2 Twin Top / Double Leg Carpet Trim - Antique Brass (900 mm),AN74898CAT,CAT,Ballister,14.89,14.89,45.83,Ancillaries,Profile,Ballister CAT FAB 2 Twin Top / Double Leg Carpet Trim - Antique Brass (900 mm),Data synced from Rakata
FAB 2 Twin Top / Double Leg Carpet Trim - Chrome (900 mm),AN74911CAT,CAT,Ballister,21.63,21.63,45.83,Ancillaries,Profile,Ballister CAT FAB 2 Twin Top / Double Leg Carpet Trim - Chrome (900 mm),Data synced from Rakata
AR6 SF 6mm Ramp - Onyx (2715 mm),AN75580CAT,CAT,Ballister,28.01,28.01,87.5,Ancillaries,Profile,Ballister CAT AR6 SF 6mm Ramp - Onyx (2715 mm),Data synced from Rakata
AC38 SF Cover Plate - Onyx (900 mm),AN77107CAT,CAT,Ballister,9.99,9.99,35.0,Ancillaries,Profile,Ballister CAT AC38 SF Cover Plate - Onyx (900 mm),Data synced from Rakata
AC38 SF Cover Plate - Onyx (2715 mm),AN78867CAT,CAT,Ballister,29.96,29.96,87.5,Ancillaries,Profile,Ballister CAT AC38 SF Cover Plate - Onyx (2715 mm),Data synced from Rakata
CAT Designer Home - Bronze - Double (A/9/2) (900 mm),AN79183CAT,CAT,Ballister,15.47,15.47,24.17,Ancillaries,Profile,Ballister CAT CAT Designer Home - Bronze - Double (A/9/2) (900 mm),Data synced from Rakata
CAT Designer Home - Pewter - Single (ANF) (900 mm),AN79412CAT,CAT,Ballister,10.01,10.01,24.17,Ancillaries,Profile,Ballister CAT CAT Designer Home - Pewter - Single (ANF) (900 mm),Data synced from Rakata
CAT Solid Brass - Antique Brass - Single (2715 mm),AN80803CAT,CAT,Ballister,47.92,47.92,104.17,Ancillaries,Profile,Ballister CAT CAT Solid Brass - Antique Brass - Single (2715 mm),Data synced from Rakata
CAT Designer Home - Bronze - Single (ANF) (900 mm),AN80915CAT,CAT,Ballister,10.01,10.01,24.17,Ancillaries,Profile,Ballister CAT CAT Designer Home - Bronze - Single (ANF) (900 mm),Data synced from Rakata
AR6 SF 6mm Ramp - Satin Bright (2715 mm),AN82033CAT,CAT,Ballister,28.01,28.01,87.5,Ancillaries,Profile,Ballister CAT AR6 SF 6mm Ramp - Satin Bright (2715 mm),Data synced from Rakata
AR3 SF 3mm Ramp - Brushed Stainless (2715 mm),AN82260CAT,CAT,Ballister,28.01,28.01,87.5,Ancillaries,Profile,Ballister CAT AR3 SF 3mm Ramp - Brushed Stainless (2715 mm),Data synced from Rakata
CAT Designer Home - Bronze - Z-Section (A/10) (900 mm),AN82455CAT,CAT,Ballister,13.84,13.84,24.17,Ancillaries,Profile,Ballister CAT CAT Designer Home - Bronze - Z-Section (A/10) (900 mm),Data synced from Rakata
CAT Designer Home - Onyx - Single (ANF) (900 mm),AN83110CAT,CAT,Ballister,10.01,10.01,24.17,Ancillaries,Profile,Ballister CAT CAT Designer Home - Onyx - Single (ANF) (900 mm),Data synced from Rakata
CAT Designer Home - Light Bronze - Single (ANF) (2715 mm),AN83193CAT,CAT,Ballister,30.02,30.02,65.83,Ancillaries,Profile,Ballister CAT CAT Designer Home - Light Bronze - Single (ANF) (2715 mm),Data synced from Rakata
