Description,Part Number,Manufacturer,Supplier,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Homepride Runner Stair Rod - Bronze (1200 mm),AN73074STA,Stairrods,Ballister,12.19,12.19,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Bronze (1200 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Brass (890 mm),AN73039STA,Stairrods,Ballister,9.47,9.47,21.67,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Brass (890 mm),Data synced from Rakata
Homepride Runner Stair Rod - Bronze (890 mm),AN28529STA,Stairrods,Ballister,10.11,10.11,21.25,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Bronze (890 mm),Data synced from Rakata
Jubilee Stair Rod - Brass (1200 mm),AN50708STA,Stairrods,Ballister,7.18,7.18,18.33,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Brass (1200 mm),Data synced from Rakata
Jubilee Stair Rod - Bronze (1500 mm),AN13446STA,Stairrods,Ballister,8.22,8.22,19.17,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Bronze (1500 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Brass (700 mm),AN51407STA,Stairrods,Ballister,7.46,7.46,19.17,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Brass (700 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Black (890 mm),AN72882STA,Stairrods,Ballister,9.47,9.47,21.67,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Black (890 mm),Data synced from Rakata
Jubilee Stair Rod - Antique (1200 mm),AN43924STA,Stairrods,Ballister,7.18,7.18,18.33,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Antique (1200 mm),Data synced from Rakata
Jubilee Stair Rod - Ivory (700 mm),AN17766STA,Stairrods,Ballister,5.1,5.1,15.83,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Ivory (700 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Chrome (1200 mm),AN52937STA,Stairrods,Ballister,11.56,11.56,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Chrome (1200 mm),Data synced from Rakata
Jubilee Stair Rod - Ivory (1200 mm),AN28197STA,Stairrods,Ballister,7.18,7.18,18.33,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Ivory (1200 mm),Data synced from Rakata
Jubilee Stair Rod - Black (890 mm),AN19200STA,Stairrods,Ballister,6.14,6.14,17.08,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Black (890 mm),Data synced from Rakata
Jubilee Stair Rod - Chrome (1200 mm),AN54052STA,Stairrods,Ballister,7.18,7.18,18.33,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Chrome (1200 mm),Data synced from Rakata
Homepride Runner Stair Rod - Brass (890 mm),AN54082STA,Stairrods,Ballister,10.11,10.11,21.25,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Brass (890 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Antique (700 mm),AN54404STA,Stairrods,Ballister,7.46,7.46,19.17,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Antique (700 mm),Data synced from Rakata
Jubilee Stair Rod - Pewter (890 mm),AN27730STA,Stairrods,Ballister,6.14,6.14,17.08,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Pewter (890 mm),Data synced from Rakata
Homepride Runner Stair Rod - Black (700 mm),AN27199STA,Stairrods,Ballister,8.03,8.03,19.58,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Black (700 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Antique (890 mm),AN75546STA,Stairrods,Ballister,9.47,9.47,21.67,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Antique (890 mm),Data synced from Rakata
Homepride Runner Stair Rod - Ivory (1200 mm),AN21690STA,Stairrods,Ballister,12.19,12.19,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Ivory (1200 mm),Data synced from Rakata
Homepride Runner Stair Rod - Pewter (1200 mm),AN39578STA,Stairrods,Ballister,12.19,12.19,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Pewter (1200 mm),Data synced from Rakata
Homepride Runner Stair Rod - Antique (1500 mm),AN55432STA,Stairrods,Ballister,14.27,14.27,25.0,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Antique (1500 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Ivory (1200 mm),AN14081STA,Stairrods,Ballister,11.56,11.56,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Ivory (1200 mm),Data synced from Rakata
Homepride Runner Stair Rod - Antique (890 mm),AN93127STA,Stairrods,Ballister,10.11,10.11,21.25,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Antique (890 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Pewter (700 mm),AN63939STA,Stairrods,Ballister,7.46,7.46,19.17,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Pewter (700 mm),Data synced from Rakata
Jubilee Stair Rod - Brass (700 mm),AN56014STA,Stairrods,Ballister,5.1,5.1,15.83,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Brass (700 mm),Data synced from Rakata
Jubilee Stair Rod - Pewter (700 mm),AN41898STA,Stairrods,Ballister,5.1,5.1,15.83,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Pewter (700 mm),Data synced from Rakata
Homepride Runner Stair Rod - Chrome (1500 mm),AN76590STA,Stairrods,Ballister,14.27,14.27,25.0,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Chrome (1500 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Pewter (1200 mm),AN44758STA,Stairrods,Ballister,11.56,11.56,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Pewter (1200 mm),Data synced from Rakata
Jubilee Stair Rod - Black (1200 mm),AN57596STA,Stairrods,Ballister,7.18,7.18,18.33,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Black (1200 mm),Data synced from Rakata
Homepride Runner Stair Rod - Brass (700 mm),AN57804STA,Stairrods,Ballister,8.03,8.03,19.58,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Brass (700 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Black (700 mm),AN93712STA,Stairrods,Ballister,7.46,7.46,19.17,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Black (700 mm),Data synced from Rakata
Homepride Runner Stair Rod - Chrome (890 mm),AN78144STA,Stairrods,Ballister,10.11,10.11,21.25,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Chrome (890 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Bronze (890 mm),AN39127STA,Stairrods,Ballister,9.47,9.47,21.67,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Bronze (890 mm),Data synced from Rakata
Jubilee Stair Rod - Antique (890 mm),AN39101STA,Stairrods,Ballister,6.14,6.14,17.08,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Antique (890 mm),Data synced from Rakata
Jubilee Stair Rod - Satin (890 mm),AN78791STA,Stairrods,Ballister,6.14,6.14,17.08,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Satin (890 mm),Data synced from Rakata
Jubilee Stair Rod - Satin (1500 mm),AN59223STA,Stairrods,Ballister,8.22,8.22,19.17,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Satin (1500 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Antique (1200 mm),AN15822STA,Stairrods,Ballister,11.56,11.56,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Antique (1200 mm),Data synced from Rakata
Jubilee Stair Rod - Antique (1500 mm),AN79001STA,Stairrods,Ballister,8.22,8.22,19.17,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Antique (1500 mm),Data synced from Rakata
Homepride Runner Stair Rod - Brass (1500 mm),AN27171STA,Stairrods,Ballister,14.27,14.27,25.0,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Brass (1500 mm),Data synced from Rakata
Jubilee Stair Rod - Brass (1500 mm),AN79170STA,Stairrods,Ballister,8.22,8.22,19.17,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Brass (1500 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Chrome (890 mm),AN26932STA,Stairrods,Ballister,9.47,9.47,21.67,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Chrome (890 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Bronze (700 mm),AN61364STA,Stairrods,Ballister,7.46,7.46,19.17,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Bronze (700 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Black (1200 mm),AN13963STA,Stairrods,Ballister,11.56,11.56,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Black (1200 mm),Data synced from Rakata
Homepride Runner Stair Rod - Pewter (700 mm),AN26868STA,Stairrods,Ballister,8.03,8.03,19.58,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Pewter (700 mm),Data synced from Rakata
Jubilee Stair Rod - Chrome (890 mm),AN97188STA,Stairrods,Ballister,6.14,6.14,17.08,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Chrome (890 mm),Data synced from Rakata
Homepride Runner Stair Rod - Satin Nickel (1200 mm),AN80426STA,Stairrods,Ballister,12.19,12.19,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Satin Nickel (1200 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Satin Nickel (1200 mm),AN91747STA,Stairrods,Ballister,11.56,11.56,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Satin Nickel (1200 mm),Data synced from Rakata
Jubilee Stair Rod - Antique (700 mm),AN63239STA,Stairrods,Ballister,5.1,5.1,15.83,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Antique (700 mm),Data synced from Rakata
Homepride Runner Stair Rod - Antique (1200 mm),AN37297STA,Stairrods,Ballister,12.19,12.19,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Antique (1200 mm),Data synced from Rakata
Jubilee Stair Rod - Black (700 mm),AN64306STA,Stairrods,Ballister,5.1,5.1,15.83,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Black (700 mm),Data synced from Rakata
Jubilee Stair Rod - Ivory (1500 mm),AN16765STA,Stairrods,Ballister,8.22,8.22,19.17,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Ivory (1500 mm),Data synced from Rakata
Homepride Runner Stair Rod - Black (890 mm),AN25679STA,Stairrods,Ballister,10.11,10.11,21.25,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Black (890 mm),Data synced from Rakata
Homepride Runner Stair Rod - Brass (1200 mm),AN24033STA,Stairrods,Ballister,12.19,12.19,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Brass (1200 mm),Data synced from Rakata
Homepride Runner Stair Rod - Chrome (700 mm),AN37263STA,Stairrods,Ballister,8.03,8.03,19.58,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Chrome (700 mm),Data synced from Rakata
Homepride Runner Stair Rod - Pewter (890 mm),AN22205STA,Stairrods,Ballister,10.11,10.11,21.25,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Pewter (890 mm),Data synced from Rakata
Homepride Runner Stair Rod - Pewter (1500 mm),AN21587STA,Stairrods,Ballister,14.27,14.27,25.0,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Pewter (1500 mm),Data synced from Rakata
Homepride Runner Stair Rod - Bronze (700 mm),AN37099STA,Stairrods,Ballister,8.03,8.03,19.58,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Bronze (700 mm),Data synced from Rakata
Homepride Runner Stair Rod - Satin Nickel (890 mm),AN12499STA,Stairrods,Ballister,10.11,10.11,21.25,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Satin Nickel (890 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Brass (1200 mm),AN36087STA,Stairrods,Ballister,11.56,11.56,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Brass (1200 mm),Data synced from Rakata
Homepride Runner Stair Rod - Satin Nickel (1500 mm),AN82516STA,Stairrods,Ballister,14.27,14.27,25.0,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Satin Nickel (1500 mm),Data synced from Rakata
Jubilee Stair Rod - Satin (1200 mm),AN82618STA,Stairrods,Ballister,7.18,7.18,18.33,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Satin (1200 mm),Data synced from Rakata
Homepride Runner Stair Rod - Chrome (1200 mm),AN17904STA,Stairrods,Ballister,12.19,12.19,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Chrome (1200 mm),Data synced from Rakata
Homepride Runner Stair Rod - Satin Nickel (700 mm),AN34864STA,Stairrods,Ballister,8.03,8.03,19.58,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Satin Nickel (700 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Bronze (1200 mm),AN83237STA,Stairrods,Ballister,11.56,11.56,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Bronze (1200 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Satin Nickel (890 mm),AN31122STA,Stairrods,Ballister,9.47,9.47,21.67,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Satin Nickel (890 mm),Data synced from Rakata
Jubilee Stair Rod - Bronze (700 mm),AN68013STA,Stairrods,Ballister,5.1,5.1,15.83,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Bronze (700 mm),Data synced from Rakata
Jubilee Stair Rod - Pewter (1200 mm),AN16405STA,Stairrods,Ballister,7.18,7.18,18.33,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Pewter (1200 mm),Data synced from Rakata
Homepride Runner Stair Rod - Ivory (700 mm),AN84903STA,Stairrods,Ballister,8.03,8.03,19.58,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Ivory (700 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Satin Nickel (700 mm),AN69315STA,Stairrods,Ballister,7.46,7.46,19.17,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Satin Nickel (700 mm),Data synced from Rakata
Jubilee Stair Rod - Bronze (1200 mm),AN85297STA,Stairrods,Ballister,7.18,7.18,18.33,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Bronze (1200 mm),Data synced from Rakata
