Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Sava Herringbone Almond,RE22525LAM-04B7D,Lamett,23.6,23.6,45.0,Vinyl,SPC,Lamett Sava Herringbone  Almond,Price per SQM: £54.00 inc VAT; Locations: Twickenham
Tarn Canyon,RE77492LAM-C8303,Lamett,24.44,24.44,49.16666666666667,Vinyl,SPC,Lamett Tarn Canyon,Price per SQM: £59.00 inc VAT; Locations: Twickenham
Tarn Chestnut,RE77492LAM-C712B,Lamett,24.44,24.44,49.16666666666667,Vinyl,SPC,Lamett Tarn  Chestnut,Price per SQM: £59.00 inc VAT; Locations: Twickenham
Tarn Cider,RE77492LAM-F6933,Lamett,24.44,24.44,49.16666666666667,Vinyl,SPC,Lamett Tarn  Cider,Price per SQM: £59.00 inc VAT; Locations: Twickenham
Tarn Clay,RE77492LAM-E00D5,Lamett,24.44,24.44,49.16666666666667,Vinyl,SPC,Lamett Tarn  Clay,Price per SQM: £59.00 inc VAT; Locations: Twickenham
Tarn Copper,RE77492LAM-39269,Lamett,24.44,24.44,49.16666666666667,Vinyl,SPC,Lamett Tarn  Copper,Price per SQM: £59.00 inc VAT; Locations: Twickenham
Tarn Vanilla Fudge,RE77492LAM-3760F,Lamett,24.44,24.44,49.16666666666667,Vinyl,SPC,Lamett Tarn  Vanilla Fudge,Price per SQM: £59.00 inc VAT; Locations: Twickenham
Tarn Whiskey,RE77492LAM-087C9,Lamett,24.44,24.44,49.16666666666667,Vinyl,SPC,Lamett Tarn  Whiskey,Price per SQM: £59.00 inc VAT; Locations: Twickenham
Mantaro Fossil,RE54420LAM-8B705,Lamett,24.43,24.43,46.66666666666667,Vinyl,SPC,Lamett Mantaro Fossil,Price per SQM: £56.00 inc VAT; Locations: Twickenham
Mantaro Hay,RE54420LAM-1D854,Lamett,24.43,24.43,46.66666666666667,Vinyl,SPC,Lamett Mantaro  Hay,Price per SQM: £56.00 inc VAT; Locations: Twickenham
Mantaro Inca,RE54420LAM-15B26,Lamett,24.43,24.43,46.66666666666667,Vinyl,SPC,Lamett Mantaro  Inca,Price per SQM: £56.00 inc VAT; Locations: Twickenham
Mantaro Mink,RE54420LAM-3CBAA,Lamett,24.43,24.43,46.66666666666667,Vinyl,SPC,Lamett Mantaro  Mink,Price per SQM: £56.00 inc VAT; Locations: Twickenham
Mantaro Mocha,RE54420LAM-814D5,Lamett,24.43,24.43,46.66666666666667,Vinyl,SPC,Lamett Mantaro  Mocha,Price per SQM: £56.00 inc VAT; Locations: Twickenham
Mantaro Pecan,RE54420LAM-F95A8,Lamett,24.43,24.43,46.66666666666667,Vinyl,SPC,Lamett Mantaro  Pecan,Price per SQM: £56.00 inc VAT; Locations: Twickenham
Mantaro Spice,RE54420LAM-0B713,Lamett,24.43,24.43,46.66666666666667,Vinyl,SPC,Lamett Mantaro  Spice,Price per SQM: £56.00 inc VAT; Locations: Twickenham
Mantaro Herringbone Fossil,RE20293LAM-8B705,Lamett,25.32,25.32,48.33333333333333,Vinyl,SPC,Lamett Mantaro Herringbone Fossil,Price per SQM: £58.00 inc VAT; Locations: Twickenham
Mantaro Herringbone Hay,RE20293LAM-1D854,Lamett,25.32,25.32,48.33333333333333,Vinyl,SPC,Lamett Mantaro Herringbone  Hay,Price per SQM: £58.00 inc VAT; Locations: Twickenham
Mantaro Herringbone Inca,RE20293LAM-15B26,Lamett,25.32,25.32,48.33333333333333,Vinyl,SPC,Lamett Mantaro Herringbone  Inca,Price per SQM: £58.00 inc VAT; Locations: Twickenham
Mantaro Herringbone Pecan,RE20293LAM-F95A8,Lamett,25.32,25.32,48.33333333333333,Vinyl,SPC,Lamett Mantaro Herringbone  Pecan,Price per SQM: £58.00 inc VAT; Locations: Twickenham
Mantaro Herringbone Spice,RE20293LAM-0B713,Lamett,25.32,25.32,48.33333333333333,Vinyl,SPC,Lamett Mantaro Herringbone  Spice,Price per SQM: £58.00 inc VAT; Locations: Twickenham
Nakuru Baboon,RE99184LAM-59633,Lamett,29.4,29.4,54.16666666666667,Vinyl,SPC,Lamett Nakuru Baboon,Price per SQM: £65.00 inc VAT; Locations: Twickenham
Nakuru Impala,RE99184LAM-0AB88,Lamett,29.4,29.4,54.16666666666667,Vinyl,SPC,Lamett Nakuru  Impala,Price per SQM: £65.00 inc VAT; Locations: Twickenham
Nakuru Ivory,RE99184LAM-39973,Lamett,29.4,29.4,54.16666666666667,Vinyl,SPC,Lamett Nakuru  Ivory,Price per SQM: £65.00 inc VAT; Locations: Twickenham
